class path,method name,method arguments,version1,version2,LOC1,Cyclomatic1,Time1,OwnTime1,Count1,Layer1,Callees1,CalleeInvocations1,Callers1,CallerInvocations1,LOC2,Cyclomatic2,Time2,OwnTime2,Count2,Layer2,Callees2,CalleeInvocations2,Callers2,CallerInvocations2,delta AvgTime,delta AvgOwnTime
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,setBoolean,"COSName, boolean",pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,0,0,8,9,2,9,5,8,4,1,0,0,8,10,2,9,5,8,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,setItem,"String, COSBase",pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,0,0,9,3,2,18,3,9,4,1,0,0,9,3,2,18,3,9,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,setName,"String, String",pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,0,0,28,4,2,56,2,28,4,1,0,0,28,4,2,56,2,28,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,setName,"COSName, String",pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,9,2,0,0,74,3,2,148,6,74,9,2,0,0,64,3,2,128,6,64,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,setDate,"COSName, Calendar",pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,35,0,14,3,5,37,2,14,4,1,47,0,14,3,5,37,2,14,0.8571428571428572,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,setString,"String, String",pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,0,0,4,9,2,8,1,4,4,1,0,0,4,10,2,8,1,4,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,setString,"COSName, String",pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,9,2,1,0,69,2,2,138,10,69,9,2,1,0,71,2,2,142,10,71,-0.00040824658093488453,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,setInt,"String, int",pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,0,0,2,9,2,4,1,2,4,1,0,0,2,10,2,4,1,2,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,setInt,"COSName, int",pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,0,0,23,4,2,46,4,23,4,1,0,0,160,4,2,320,9,160,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,setLong,"COSName, long",pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,6,1,0,0,26,4,2,52,2,26,6,1,0,0,80,4,2,160,2,80,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,getNameAsString,String,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,0,0,2,9,2,4,1,2,4,1,0,0,2,10,2,4,1,2,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,getNameAsString,COSName,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,17,4,0,0,297,1,1,297,10,297,17,4,0,0,239,1,1,239,11,239,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,getString,String,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,2,0,2,9,2,4,1,2,4,1,0,0,2,10,2,4,1,2,-1.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,getString,COSName,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,10,2,135,0,118,2,2,217,14,118,10,2,4,0,121,2,2,222,14,121,-1.1110099453705002,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,getDate,COSName,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,5,1,4,0,18,9,2,36,2,18,5,1,3,0,18,10,2,36,2,18,-0.05555555555555555,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,getBoolean,"COSName, boolean",pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,0,0,126,2,1,126,4,126,4,1,0,0,147,2,1,147,5,147,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,getBoolean,"COSName, COSName, boolean",pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,10,2,0,0,126,2,1,126,1,126,10,2,0,0,147,2,1,147,1,147,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,getInt,String,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,0,0,7,7,2,14,1,7,4,1,0,0,6,7,2,12,1,6,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,getInt,COSName,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,0,0,202,3,1,202,6,202,4,1,0,0,55,3,1,55,5,55,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,getInt,"COSName, int",pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,12,1,4084,2,1,4084,10,4084,4,1,2,0,736,2,1,736,14,736,-0.0002209044840948771,-0.0002448579823702253
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,getInt,"COSName, COSName, int",pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,10,2,10,1,4108,2,1,4108,2,4108,10,2,2,0,814,2,1,814,3,814,2.2727870829136396e-05,-0.00024342745861733204
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,getLong,COSName,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,0,0,8,9,1,8,1,8,4,1,0,0,24,10,1,24,1,24,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,getLong,"COSName, long",pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,10,2,0,0,76,1,1,76,2,76,10,2,0,0,101,1,1,101,2,101,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,getFloat,"COSName, float",pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,10,2,0,0,66,7,2,122,4,66,10,2,0,0,6,8,1,6,3,6,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,removeItem,COSName,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,0,0,47,0,1,47,5,47,4,1,0,0,82,0,1,82,5,82,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,getItem,COSName,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,2,0,3563,0,1,3563,22,3563,4,1,3,1,3723,0,1,3723,23,3723,0.0002444770464097041,0.00026860059092130003
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,keySet,,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,0,0,167,0,1,167,7,167,4,1,0,0,31,0,1,31,5,31,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,entrySet,,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,0,0,141,0,1,141,5,141,4,1,0,0,319,0,1,319,6,319,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,getValues,,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,0,0,8,7,1,8,2,8,4,1,0,0,165,0,1,165,3,165,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,accept,ICOSVisitor,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,38,0,60,9,1,60,3,60,4,1,119,0,152,10,1,152,3,152,0.149561403508772,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,addAll,COSDictionary,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,11,3,0,0,68,6,9,1089,1,68,11,3,1,0,77,6,9,1189,1,77,0.012987012987012988,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,getObjectFromPath,String,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,19,4,0,0,2,9,2,6,1,2,19,4,0,0,4,10,2,11,1,4,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSObject.java,<init>,COSBase,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,1,1,4189,1,1,4189,11,4189,4,1,1,1,4059,1,1,4059,12,4059,7.645641681356595e-06,7.645641681356595e-06
pdfbox\src\main\java\org\apache\pdfbox\cos\COSObject.java,getItem,COSName,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,9,2,0,0,72,1,1,64,3,72,9,2,0,0,116,1,1,93,3,116,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSObject.java,accept,ICOSVisitor,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,2,4,0,14,9,2,14,1,14,4,2,5,0,59,10,2,59,1,59,-0.2009685230024213,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSStream.java,clone,RandomAccess,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,9,3,9,0,440,1,2,442,2,440,9,3,10,0,459,1,2,457,2,459,0.0013319469201822157,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSStream.java,<init>,RandomAccess,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,5,1,0,0,8,2,2,16,2,8,5,1,1,0,73,2,2,146,2,73,0.0136986301369863,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSStream.java,<init>,"COSDictionary, RandomAccess",pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,5,1,17,0,432,1,2,864,4,432,5,1,17,0,386,2,2,772,5,386,0.004689598925350216,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSStream.java,getFilteredStream,,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,12,2,0,0,8,9,4,31,1,8,12,2,16,0,77,2,4,262,3,77,0.2077922077922078,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSStream.java,getUnfilteredStream,,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,21,3,142,0,180,4,4,600,7,180,21,3,95,0,109,4,3,270,8,109,0.08267074413863407,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSStream.java,accept,ICOSVisitor,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,3,0,8,9,1,8,1,8,4,1,79,0,56,10,1,56,1,56,1.0357142857142858,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSStream.java,doDecode,,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,25,5,141,0,60,4,4,142,1,60,25,5,94,0,52,4,2,97,1,52,-0.5423076923076924,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSStream.java,doDecode,"COSName, int",pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,71,8,141,0,62,4,10,558,1,62,71,8,94,0,45,4,10,405,1,45,-0.18530465949820796,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSStream.java,doEncode,,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,21,5,0,0,7,9,1,7,1,7,21,5,39,0,47,2,4,71,2,47,0.8297872340425532,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSStream.java,getFilters,,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,0,0,92,1,1,92,3,92,4,1,0,0,176,1,1,176,3,176,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSStream.java,createFilteredStream,COSBase,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,9,1,4,0,427,7,5,1711,1,427,9,1,7,1,377,6,4,1509,2,377,0.00919995775846539,0.002652519893899204
pdfbox\src\main\java\org\apache\pdfbox\cos\COSStream.java,createUnfilteredStream,,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,8,1,0,0,11,2,3,44,4,11,8,1,0,0,53,2,3,212,5,53,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSStream.java,close,,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,24,5,0,0,325,9,3,1035,1,325,24,5,0,0,275,1,3,872,1,275,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\pdfparser\PDFObjectStreamParser.java,<init>,"COSStream, COSDocument, boolean",pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,8,1,0,0,7,7,2,14,1,7,8,1,1,0,6,7,2,12,1,6,0.16666666666666666,0.0
pdfbox\src\main\java\org\apache\pdfbox\pdfparser\PDFObjectStreamParser.java,parse,,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,36,4,31,0,7,7,13,846,1,7,36,4,28,0,6,7,12,720,1,6,0.23809523809523814,0.0
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,<init>,,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,16,1,7,0,22,9,9,292,11,22,16,1,10,0,49,10,9,642,34,49,-0.11410018552875695,0.0
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,generatePageMap,,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,5,1,0,0,1,9,5,5,1,1,5,1,0,0,1,10,5,5,1,1,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,processListOfPageReferences,List<Object>,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,17,4,0,0,1,9,6,21,1,1,17,4,0,0,1,10,6,21,1,1,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,parseCatalogObject,COSObject,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,50,9,0,0,4,9,8,52,1,4,50,9,0,0,4,10,8,52,1,4,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,getPageMap,,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,8,2,0,0,10,9,1,1,2,10,8,2,0,0,10,10,1,1,2,10,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,addPage,PDPage,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,7,1,8,0,10,9,6,60,9,10,7,1,8,0,32,5,6,192,26,32,-0.55,0.0
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,<init>,COSDocument,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,0,0,33,9,1,33,1,33,4,1,0,0,33,10,1,33,1,33,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,<init>,"COSDocument, BaseParser",pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,5,1,0,0,91,0,0,0,2,91,5,1,0,0,101,0,0,0,2,101,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,getDocumentInformation,,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,15,3,1,0,22,9,5,52,3,22,15,3,1,0,28,2,5,68,6,28,-0.009740259740259744,0.0
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,getDocumentCatalog,,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,17,3,2,0,94,1,3,69,15,94,17,3,2,0,109,1,3,107,23,109,-0.0029279718914698404,0.0
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,isEncrypted,,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,0,0,4,9,1,4,2,4,4,1,0,0,8,2,1,8,3,8,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,load,URL,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,431,0,2,9,4,6,2,2,4,1,428,0,2,10,4,6,2,2,-1.5,0.0
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,load,String,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,21,0,1,9,2,2,1,1,4,1,35,0,3,10,2,6,2,3,-9.333333333333334,0.0
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,load,"String, boolean",pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,66,0,1,9,2,2,1,1,4,1,68,0,1,10,2,2,1,1,2.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,load,File,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,364,0,13,9,2,26,3,13,4,1,26,0,4,10,2,8,2,4,-21.5,0.0
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,load,"File, RandomAccess",pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,3,0,1,9,2,2,1,1,4,1,21,0,1,10,2,2,1,1,18.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,load,InputStream,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,2552,0,54,8,1,54,7,54,4,1,2559,0,48,8,1,48,8,48,6.0532407407407405,0.0
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,load,"InputStream, boolean",pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,66,0,1,9,1,1,1,1,4,1,68,0,1,10,1,1,1,1,2.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,load,"InputStream, RandomAccess",pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,6,1,2569,0,56,7,8,238,3,56,6,1,2584,0,50,7,8,220,3,50,5.805,0.0
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,load,"InputStream, RandomAccess, boolean",pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,6,1,66,0,1,9,4,4,1,1,6,1,68,0,1,10,4,4,1,1,2.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,loadNonSeq,"File, RandomAccess",pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,3,0,1,9,1,1,1,1,4,1,129,0,17,10,1,17,15,17,4.588235294117647,0.0
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,loadNonSeq,"File, RandomAccess, String",pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,6,1,3,0,1,9,3,3,1,1,6,1,129,0,17,10,3,51,1,17,4.588235294117647,0.0
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,loadNonSeq,"InputStream, RandomAccess",pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,117,0,1,9,1,1,1,1,4,1,81,0,1,10,1,1,1,1,-36.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,loadNonSeq,"InputStream, RandomAccess, String",pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,6,1,117,0,1,9,6,11,1,1,6,1,81,0,1,10,6,10,1,1,-36.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,save,String,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,55,0,4,9,2,8,4,4,4,1,148,0,8,10,2,16,7,8,4.75,0.0
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,save,File,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,73,0,6,9,2,12,3,6,4,1,340,0,22,10,2,44,14,22,3.287878787878789,0.0
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,save,OutputStream,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,18,2,93,0,8,9,6,56,3,8,18,2,326,0,24,10,6,168,3,24,1.958333333333334,0.0
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,getNumberOfPages,,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,5,1,0,0,26,9,3,78,8,26,5,1,0,0,26,10,3,78,8,26,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,close,,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,22,4,9,0,46,9,5,80,19,46,22,4,10,0,78,10,5,121,40,78,-0.06744704570791529,0.0
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,getCurrentAccessPermission,,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,8,2,1,0,2,9,2,3,1,2,8,2,1,0,2,10,2,3,1,2,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\persistence\util\COSObjectKey.java,<init>,COSObject,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,0,0,99,2,1,99,13,99,4,1,0,0,87,2,1,87,13,87,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\persistence\util\COSObjectKey.java,<init>,"long, long",pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,5,1,1,1,11208,1,0,0,10,11208,5,1,1,1,11122,1,0,0,10,11122,6.899020544448863e-07,6.899020544448863e-07
pdfbox\src\main\java\org\apache\pdfbox\persistence\util\COSObjectKey.java,equals,Object,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,6,1,1,1,5992,,0,0,2,5992,6,1,1,1,6147,,0,0,2,6147,-4.208202987639485e-06,-4.208202987639485e-06
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDocument.java,<init>,"RandomAccess, boolean",pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,6,1,6,0,93,1,7,652,3,93,6,1,7,0,130,1,7,911,3,130,-0.010669975186104214,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDocument.java,<init>,,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,10,0,89,2,3,182,9,89,4,1,10,0,110,2,3,224,9,110,-0.021450459652706838,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDocument.java,<init>,RandomAccess,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,0,0,2,7,1,2,1,2,4,1,0,0,2,7,1,2,1,2,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDocument.java,getScratchFile,,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,12,2,0,0,436,0,0,0,3,436,12,2,0,0,451,0,0,0,4,451,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDocument.java,createCOSStream,,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,0,0,7,2,2,14,2,7,4,1,2,0,72,2,2,144,2,72,0.027777777777777776,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDocument.java,createCOSStream,COSDictionary,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,0,0,2,9,2,4,1,2,4,1,0,0,2,10,2,4,1,2,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDocument.java,getObjectByType,COSName,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,24,5,0,0,4,7,5,20,1,4,32,7,0,0,36,7,5,180,1,36,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDocument.java,getObjectsByType,COSName,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,25,5,4,1,56,7,7,5676,1,56,33,7,4,1,50,7,7,5028,1,50,0.008571428571428577,0.0021428571428571443
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDocument.java,setVersion,float,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,8,2,0,0,56,7,2,33,1,56,8,2,0,0,68,6,2,15,1,68,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDocument.java,isEncrypted,,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,13,3,0,0,60,7,1,60,2,60,13,3,0,0,58,1,1,58,2,58,0.0,0.0
