method,pattern,space,score,target,issue
org.apache.pdfbox.pdmodel.fdf.FDFAnnotation.FDFAnnotation(Element),,org.apache.pdfbox.pdmodel.fdf.FDFAnnotation.FDFAnnotation(Element),0.14337366345314217,,
org.apache.pdfbox.pdmodel.encryption.PublicKeySecurityHandler.prepareDocumentForEncryption(PDDocument),HotCallee,org.apache.pdfbox.pdmodel.encryption.PublicKeySecurityHandler.prepareDocumentForEncryption(PDDocument),0.1329569504917088,org.apache.pdfbox.pdmodel.encryption.PublicKeySecurityHandler.prepareDocumentForEncryption(PDDocument),PDFBOX-1973
org.apache.pdfbox.util.PDFCloneUtility.cloneForNewDocument(Object),,org.apache.pdfbox.util.PDFCloneUtility.cloneForNewDocument(Object),0.13163729093457702,,
"org.apache.pdfbox.pdmodel.encryption.PublicKeySecurityHandler.prepareForDecryption(PDEncryptionDictionary, COSArray, DecryptionMaterial)",,"org.apache.pdfbox.pdmodel.encryption.PublicKeySecurityHandler.prepareForDecryption(PDEncryptionDictionary, COSArray, DecryptionMaterial)",0.13039845441757328,"org.apache.pdfbox.pdmodel.encryption.PublicKeySecurityHandler.prepareForDecryption(PDEncryptionDictionary, COSArray, DecryptionMaterial)",PDFBOX-1973
org.apache.pdfbox.TextToPDF.createPDFFromText(Reader),,org.apache.pdfbox.TextToPDF.createPDFFromText(Reader),0.12928276978557673,,
org.apache.pdfbox.ExtractImages.extractImages(String[]),,org.apache.pdfbox.ExtractImages.extractImages(String[]),0.12870762647796513,,
org.apache.pdfbox.pdmodel.graphics.PDExtendedGraphicsState.copyIntoGraphicsState(PDGraphicsState),,org.apache.pdfbox.pdmodel.graphics.PDExtendedGraphicsState.copyIntoGraphicsState(PDGraphicsState),0.12808820186212508,,
org.apache.pdfbox.pdfwriter.ContentStreamWriter.writeObject(Object),,org.apache.pdfbox.pdfwriter.ContentStreamWriter.writeObject(Object),0.12729743218203343,org.apache.pdfbox.pdfwriter.ContentStreamWriter.writeObject(Object),PDFBOX-1893
"org.apache.pdfbox.filter.TIFFFaxDecoder.decodeNextScanline(byte[], int, int)",,"org.apache.pdfbox.filter.TIFFFaxDecoder.decodeNextScanline(byte[], int, int)",0.12656188304877544,,
org.apache.pdfbox.pdfparser.PDFParser.parse(),HotCallee,"org.apache.pdfbox.pdfparser.PDFParser.parse(), org.apache.pdfbox.pdfparser.PDFParser.parseObject(), org.apache.pdfbox.pdfparser.BaseParser.skipSpaces()",0.12591588893924385,org.apache.pdfbox.pdfparser.BaseParser.skipSpaces(),PDFBOX-2893
org.apache.pdfbox.preflight.parser.PreflightParser.parseXrefTable(long),,org.apache.pdfbox.preflight.parser.PreflightParser.parseXrefTable(long),0.1247259120908343,org.apache.pdfbox.preflight.parser.PreflightParser.parseXrefTable(long),PDFBOX-2893
org.apache.pdfbox.pdmodel.interactive.form.PDField.importFDF(FDFField),,org.apache.pdfbox.pdmodel.interactive.form.PDField.importFDF(FDFField),0.12312789798118418,,
org.apache.pdfbox.pdmodel.common.function.PDFunctionType0.getSamples(),,org.apache.pdfbox.pdmodel.common.function.PDFunctionType0.getSamples(),0.12127255778448058,,
org.apache.pdfbox.pdmodel.fdf.FDFDictionary.FDFDictionary(Element),,org.apache.pdfbox.pdmodel.fdf.FDFDictionary.FDFDictionary(Element),0.12025733391646942,,
org.apache.pdfbox.preflight.Validator_A1b.main(String[]),,org.apache.pdfbox.preflight.Validator_A1b.main(String[]),0.119866538059283,,
"org.apache.pdfbox.util.operator.pagedrawer.Invoke.process(PDFOperator, List<COSBase>)",HotCallee,"org.apache.pdfbox.util.operator.pagedrawer.Invoke.process(PDFOperator, List<COSBase>), org.apache.pdfbox.util.PDFStreamEngine.processSubStream(PDPage, PDResources, COSStream), org.apache.pdfbox.pdmodel.graphics.xobject.PDPixelMap.getRGBImage()",0.11944000145602551,"org.apache.pdfbox.util.operator.pagedrawer.Invoke.process(PDFOperator, List<COSBase>), org.apache.pdfbox.util.operator.pagedrawer.Invoke.process(PDFOperator, List<COSBase>), org.apache.pdfbox.util.PDFStreamEngine.processSubStream(PDPage, PDResources, COSStream)","PDFBOX-2126, PDFBOX-1893, PDFBOX-2126"
org.apache.pdfbox.Decrypt.decrypt(String[]),,org.apache.pdfbox.Decrypt.decrypt(String[]),0.1191484355625408,,
