method1,method2,method_score1,method_score2
org.apache.pdfbox.cos.COSDocument.COSDocument(RandomAccess),org.apache.pdfbox.cos.COSDocument.COSDocument(),3.195684471537733e-08,1.4168645122694211e-05
org.apache.pdfbox.pdmodel.PDDocumentCatalog.getPages(),org.apache.pdfbox.pdmodel.PDDocumentCatalog.getPages(),5.500222778686419e-07,9.019611382310192e-08
org.apache.pdfbox.pdmodel.PDResources.PDResources(COSDictionary),org.apache.pdfbox.pdmodel.PDResources.PDResources(COSDictionary),1.6661328642101827e-08,1.9590933993518423e-09
org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDObjectReference.getReferencedObject(),org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDObjectReference.getReferencedObject(),2.3382200460909674e-08,4.128001879587698e-11
"org.apache.pdfbox.preflight.process.reflect.ResourcesValidationProcess.validateXObjects(PreflightContext, PDResources)","org.apache.pdfbox.preflight.process.reflect.ResourcesValidationProcess.validateXObjects(PreflightContext, PDResources)",3.080404654473373e-09,2.1158970840836453e-06
org.apache.pdfbox.io.RandomAccessBufferedFileInputStream.close(),org.apache.pdfbox.io.RandomAccessBufferedFileInputStream.close(),5.0867365101016815e-23,5.197392027268368e-09
org.apache.pdfbox.pdmodel.PDDocument.close(),org.apache.pdfbox.pdmodel.PDDocument.close(),4.283549822156011e-06,6.076662354570222e-06
org.apache.pdfbox.pdmodel.graphics.optionalcontent.PDOptionalContentGroup.getName(),org.apache.pdfbox.pdmodel.graphics.optionalcontent.PDOptionalContentGroup.getName(),5.607011381624455e-09,5.266090800648507e-12
org.apache.pdfbox.pdmodel.graphics.optionalcontent.PDOptionalContentGroup.setName(String),org.apache.pdfbox.pdmodel.graphics.optionalcontent.PDOptionalContentGroup.setName(String),6.229121744063549e-11,1.64958778460819e-11
org.apache.pdfbox.pdmodel.graphics.optionalcontent.PDOptionalContentGroup.PDOptionalContentGroup(COSDictionary),org.apache.pdfbox.pdmodel.graphics.optionalcontent.PDOptionalContentGroup.PDOptionalContentGroup(COSDictionary),2.297238051770316e-09,1.649070899541413e-10
org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDFTemplateCreator.buildPDF(PDVisibleSignDesigner),org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDFTemplateCreator.buildPDF(PDVisibleSignDesigner),9.383243679349084e-07,2.234636310441883e-06
org.apache.pdfbox.pdmodel.interactive.form.PDAcroForm.setDefaultResources(PDResources),org.apache.pdfbox.pdmodel.interactive.form.PDAcroForm.setDefaultResources(PDResources),2.376647798399745e-11,1.1619736236049276e-11
org.apache.pdfbox.preflight.graphic.StandardColorSpaceHelper.processDefaultColorSpace(PDColorSpace),org.apache.pdfbox.preflight.graphic.StandardColorSpaceHelper.processDefaultColorSpace(PDColorSpace),8.85609833955709e-08,2.1897143836831375e-08
