bugID,target methods,fixed release,version1,version2,fix commit,author,date,title,files,modified methods,deleted methods,added methods
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/util/operator/pagedrawer/ClipNonZeroRule.java,"process(PDFOperator, List<COSBase>)",,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/util/operator/pagedrawer/Invoke.java,"process(PDFOperator, List<COSBase>)",,
,,,,,,,,,pdfbox/src/test/java/org/apache/pdfbox/util/TestMatrix.java,testConstructionAndCopy();testMultiplication(),,
PDFBOX-3484,,2.0.3,,,e9c66d3f7,Tilman Hausherr,9/8/2016 17:28,PDFBOX-3484: cache PDImageXObject if resources are not needed,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/PDResources.java,getXObject(COSName),,isAllowedCache(PDXObject)
PDFBOX-603,,,,,d106b7dce,Jukka Zitting,1/14/2010 22:56,PDFBOX-603: PDFBox performance issue: Encoding.java getCharacter() method tweak,src/main/java/org/apache/pdfbox/encoding/Encoding.java,getCharacter( COSName),,
PDFBOX-600,,,,,42c282b7d,Jukka Zitting,1/14/2010 23:36,PDFBOX-600: PDFBox performance issue: PDFTextStripper performance tweak,src/main/java/org/apache/pdfbox/util/PDFTextStripper.java,"within( float, float, float)",,
PDFBOX-1080,,1.7.0,,,1fb47fbe6,Andreas Lehmkuhler,9/14/2011 18:53,PDFBOX-1080: minor performance improvements as proposed by Lars Torunski,pdfbox/src/main/java/org/apache/pdfbox/util/ICU4JImpl.java,normalizeDiac(String),,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/util/TextPosition.java,,,
PDFBOX-3295,,2.0.1,,,6fa9ac305,Andreas LehmkÃƒÂ¼hler,3/30/2016 16:29,PDFBOX-3295: compare the object stream index instead of simply checking if it exists,pdfbox/src/main/java/org/apache/pdfbox/pdfparser/COSParser.java,parseObjectStream(int),,
,,,,,,,,,preflight/src/main/java/org/apache/pdfbox/preflight/parser/PreflightParser.java,"parseObjectDynamically(long, int, boolean)",,
,,,,,4746da781,Andreas LehmkÃƒÂ¼hler,3/29/2016 20:35,PDFBOX-3295: avoid using XrefTrailerResolver#getContainedObjectNumbers as proposed by Andrea Vacondio to speed up the parsing of object streams,pdfbox/src/main/java/org/apache/pdfbox/pdfparser/COSParser.java,parseObjectStream(int),,
,,,,,,,,,preflight/src/main/java/org/apache/pdfbox/preflight/parser/PreflightParser.java,"parseObjectDynamically(long, int, boolean)",,
PDFBOX-3432,,2.0.4,,,dffa46313,Tilman Hausherr,7/21/2016 18:13,"PDFBOX-3432: optimize by avoiding calling Collections.max() + DRY refactoring, by Michael Doswald",fontbox/src/main/java/org/apache/fontbox/ttf/CmapSubtable.java,"processSubtype6(TTFDataStream, int);processSubtype4(TTFDataStream, int)",,"buildGlyphIdToCharacterCodeLookup(Map<Integer, Integer> , int)"
,,,,,8f75e7cfb,Tilman Hausherr,7/21/2016 18:09,"PDFBOX-3432: use bit arithmetic instead of modulo, by Michael Doswald",fontbox/src/main/java/org/apache/fontbox/ttf/CmapSubtable.java,"processSubtype6(TTFDataStream, int);processSubtype4(TTFDataStream, int)",,
PDFBOX-3421,,2.0.3,,,f367e9706,Tilman Hausherr,7/18/2016 19:49,"PDFBOX-3421: Optimize float to string conversion, as done by Michael Doswald",pdfbox/src/main/java/org/apache/pdfbox/contentstream/PDAbstractContentStream.java,writeOperand(float),,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/PDPageContentStream.java,"PDPageContentStream(PDDocument, PDPage, AppendMode, boolean, boolean)",,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/util/NumberFormatUtil.java,,,"formatFloatFast(float, int, byte[]);formatPositiveNumber(long, int, boolean, byte[], int); getExponent(long)"
,,,,,,,,,pdfbox/src/test/java/org/apache/pdfbox/util/TestNumberFormatUtil.java,,,"testFormatOfIntegerValues();testFormatOfRealValues();testFormatOfRealValuesReturnsMinusOneIfItCannotBeFormatted();testRoundingUp();testRoundingDown();testFormattingInRange();assertArrayEquals(byte[], byte[]);suite();main(String[])"
PDFBOX-3121,,2.0.0,pdfbox-1.8.11-2016.1,pdfbox-2.0.2-2016.6,3951957a9,Tilman Hausherr,11/19/2015 18:08,PDFBOX-3121: Buffer save(File),pdfbox/src/main/java/org/apache/pdfbox/pdmodel/PDDocument.java,save(File),,
PDFBOX-3688,,2.0.5,,,6dfd6ebb6,Tilman Hausherr,2/16/2017 18:06,PDFBOX-3688: use weak cache for TilingPaint objects,pdfbox/src/main/java/org/apache/pdfbox/rendering/PageDrawer.java,getPaint(PDColor),,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/rendering/TilingPaintFactory.java,,,"<init>(PageDrawer);create(PDTilingPattern, PDColorSpace, PDColor, AffineTransform)"
,,,,,6c75c9910,Tilman Hausherr,2/16/2017 17:57,PDFBOX-3688: avoid keeping objects after TexturePaint is created,pdfbox/src/main/java/org/apache/pdfbox/rendering/TilingPaint.java,"<init>(PageDrawer, PDTilingPattern, PDColorSpace, PDColor, AffineTransform)","getImage(PDColorSpace, PDColor, AffineTransform, Rectangle2D);getAnchorRect()","getImage(PageDrawer, PDTilingPattern, PDColorSpace, PDColor, AffineTransform, Rectangle2D);getAnchorRect(PDTilingPattern)"
,,,,,0dc856396,Tilman Hausherr,2/16/2017 17:52,PDFBOX-3688: add equal() and hashCode(),pdfbox/src/main/java/org/apache/pdfbox/util/Matrix.java,,,hashCode();equals(Object)
PDFBOX-826,,1.3.1,,,694eab7a5,Andreas Lehmkuhler,9/12/2010 15:47,PDFBOX-826: reduced number of array accesses to increase the performance as suggested by Timo Boehme,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/color/ColorSpaceCMYK.java,toRGB(float[]),,
PDFBOX-3103,,2.0.0,pdfbox-1.8.11-2016.1,pdfbox-2.0.2-2016.6,e5e9ce53b,Tilman Hausherr,11/26/2015 16:21,"PDFBOX-3103: use BufferedRandomAccessFile, as suggested by Tomasz Pawlak",fontbox/src/main/java/org/apache/fontbox/ttf/BufferedRandomAccessFile.java,,,"<init>(String, String, int);<init>(File, String, int);read();fillBuffer();invalidate();read(byte, int, int); getFilePointer(); seek(long)"
,,,,,,,,,fontbox/src/main/java/org/apache/fontbox/ttf/RAFDataStream.java,"<init>(String, String);<init>(File, String)",,
