method,layer,size,upperDepth,upperWidth,lowerDepth,lowerWidth
org.apache.avro.Schema.UnionSchema.equals(Object),11,2,0,0,1,1
org.apache.avro.ipc.stats.Histogram.getRecentAdditions(),11,14,2,12,0,0
org.apache.avro.file.DataFileStream.blockFinished(),6,35,7,9,0,0
"org.apache.avro.ipc.Requestor.Response.Response(Request, BinaryDecoder)",0,287,15,68,0,0
org.apache.avro.file.FileReader.pastSync(long),0,6,2,3,0,0
"org.apache.avro.ipc.reflect.ReflectRequestor.getClient(Class, Transceiver)",11,74,0,0,10,28
org.apache.avro.mapred.FsInput.tell(),0,67,8,18,0,0
"org.apache.avro.mapred.Pair.makePairSchema(Schema, Schema)",5,14,1,1,4,4
org.apache.avro.thrift.test.Foo.add_args.unsetNum1(),11,7,3,3,0,0
org.apache.avro.io.JsonDecoder.readNull(),11,11,0,0,4,4
org.apache.avro.mapred.SequenceFileReader.SequenceFileReader(File),-1,1,0,0,0,0
org.apache.avro.util.Utf8.setLength(int),1,8,2,4,1,1
org.apache.avro.util.WeakIdentityHashMap.size(),11,2,0,0,1,1
org.apache.avro.mapred.tether.TetheredProcess.close(),1,45,7,14,1,2
org.apache.avro.ipc.LocalTransceiver.LocalTransceiver(Responder),-1,1,0,0,0,0
org.apache.avro.ipc.NettyTransceiver.NettyTransceiver(InetSocketAddress),11,4,0,0,3,1
org.apache.avro.ipc.trace.TracePlugin.TracePlugin(TracePluginConfiguration),2,14,1,2,2,7
org.apache.avro.thrift.test.Foo.add_args.toString(),-1,1,0,0,0,0
org.apache.avro.Schema.Field.name(),0,235,6,88,0,0
org.apache.avro.io.JsonEncoder.writeArrayEnd(),11,8,0,0,3,3
org.apache.avro.ipc.specific.SpecificRequestor.getDatumWriter(Schema),11,11,3,3,3,2
"org.apache.avro.specific.SpecificData.createSchema(java.lang.reflect.Type, Map)",4,53,5,11,4,13
"org.apache.avro.protobuf.ProtobufDatumReader.readBytes(Object, Decoder)",11,3,0,0,2,1
"org.apache.avro.Schema.getRequiredText(JsonNode, String, String)",11,46,4,21,2,2
"org.apache.avro.reflect.ReflectData.getField(Object, String, int)",11,6,0,0,3,2
org.apache.avro.io.parsing.SkipParser.skipRepeater(),3,14,4,3,2,3
org.apache.avro.ipc.Requestor.Response.getResponse(),11,286,8,18,13,47
"org.apache.avro.io.DirectBinaryDecoder.ByteReader.read(ByteBuffer, int)",0,7,3,2,0,0
org.apache.avro.ipc.trace.TracePlugin.TraceResponder.getAllSpans(),11,2,0,0,1,1
"org.apache.avro.io.parsing.Symbol.flatten(Map, Map)",0,14,4,5,0,0
org.apache.avro.thrift.test.Foo.ping_result.equals(ping_result),11,2,1,1,0,0
org.apache.avro.ipc.trace.TraceNode.getRequestorHostname(),-1,1,0,0,0,0
"org.apache.avro.ipc.CallFuture.await(long, TimeUnit)",-1,1,0,0,0,0
"org.apache.avro.generic.GenericData.Record.put(String, Object)",11,4,0,0,1,3
org.apache.avro.ipc.stats.StatsServlet.writeStats(Writer),11,22,1,1,3,17
"org.apache.avro.ipc.NettyTransceiver.NettyClientAvroHandler.handleUpstream(ChannelHandlerContext, ChannelEvent)",11,4,0,0,3,1
org.apache.avro.io.ValidatingEncoder.writeInt(int),11,8,0,0,3,3
"org.apache.avro.util.WeakIdentityHashMap.put(K, V)",11,3,0,0,1,2
"org.apache.avro.io.Encoder.writeBytes(byte[], int, int)",0,10,4,3,0,0
org.apache.avro.protobuf.ProtobufData.getSchema(Class),6,62,4,3,6,17
org.apache.avro.io.ValidatingDecoder.arrayNext(),4,73,6,32,3,3
org.apache.avro.file.SeekableFileInput.tell(),-1,1,0,0,0,0
"org.apache.avro.mapred.Pair.Pair(Void, Void)",11,16,0,0,7,4
"org.apache.avro.io.BlockingBinaryEncoder.BlockingBinaryEncoder(OutputStream, int, int)",11,14,2,1,4,3
org.apache.avro.Schema.Type.Type(),-1,1,0,0,0,0
org.apache.avro.ipc.trace.TraceClientServlet.overview(PrintWriter),11,8,4,3,1,1
"org.apache.avro.io.parsing.Symbol.repeat(Symbol, Symbol...)",3,72,7,21,2,2
org.apache.avro.util.ByteBufferOutputStream.prepend(List),7,263,14,69,0,0
org.apache.avro.Protocol.Message.getErrors(),3,300,14,64,4,5
org.apache.avro.io.BinaryDecoder.innerLongDecode(long),2,7,4,3,0,0
"org.apache.avro.mapred.SequenceFileRecordReader.SequenceFileRecordReader(JobConf, FileSplit)",11,5,1,1,2,2
org.apache.avro.Schema.Field.pos(),0,257,12,57,0,0
org.apache.avro.SchemaParseException.SchemaParseException(Throwable),11,2,0,0,1,1
org.apache.avro.ipc.Responder.Responder(Protocol),7,26,1,1,9,10
"org.apache.avro.mojo.IDLProtocolMojo.doCompile(String, File, File)",11,95,0,0,8,24
org.apache.avro.thrift.test.Foo.add_args.add_args(add_args),11,2,1,1,0,0
org.apache.avro.data.RecordBuilderBase.getDefaultValue(Field),7,198,2,2,11,41
org.apache.avro.mapred.AvroUtf8InputFormat.Utf8LineRecordReader.getProgress(),-1,1,0,0,0,0
"org.apache.avro.reflect.ReflectDatumReader.readBytes(Object, Decoder)",11,2,0,0,1,1
org.apache.avro.Protocol.TwoWayMessage.hashCode(),11,5,0,0,3,2
"org.apache.avro.ipc.reflect.ReflectResponder.ReflectResponder(Protocol, Object)",11,29,0,0,12,10
org.apache.avro.ipc.trace.SpanAggregator.getTraces(List),11,22,5,6,3,3
org.apache.avro.generic.GenericData.getRecordSchema(Object),1,58,7,25,1,1
"org.apache.avro.ipc.trace.Util.sampledList(List, int)",0,5,1,4,0,0
org.apache.avro.io.BlockingBinaryEncoder.finishOverflow(),3,16,4,5,2,4
org.apache.avro.io.BinaryDecoder.readBytes(ByteBuffer),3,63,6,24,4,3
org.apache.avro.io.BinaryDecoder.ByteSource.ByteSource(),1,3,1,2,0,0
org.apache.avro.thrift.test.Foo.zip_args.writeObject(java.io.ObjectOutputStream),11,3,0,0,2,1
"org.apache.avro.Schema.UnionSchema.toJson(Names, JsonGenerator)",11,4,0,0,2,2
"org.apache.avro.ipc.trace.SpanStorage.getSpansInRange(long, long)",11,2,1,1,0,0
org.apache.avro.mapred.Pair.get(int),-1,1,0,0,0,0
org.apache.avro.io.Encoder.writeBytes(byte[]),1,6,3,2,1,1
"org.apache.avro.mapred.Pair.Pair(Object, ByteBuffer)",11,40,0,0,6,17
org.apache.avro.file.DataFileStream.DataBlock.getAsByteBuffer(),0,34,6,8,0,0
"org.apache.avro.mapred.tether.TetherTask.input(ByteBuffer, long)",11,191,1,1,13,44
org.apache.avro.Schema.getType(),0,337,12,161,0,0
"org.apache.avro.mapred.Pair.Pair(CharSequence, Integer)",11,16,0,0,7,4
"org.apache.avro.RandomData.generate(Schema, Random, int)",11,20,1,1,3,12
org.apache.avro.Schema.setFields(List),3,107,6,59,1,1
"org.apache.avro.mapred.tether.WordCountTask.reduceFlush(Pair, Collector)",11,71,0,0,7,30
org.apache.avro.specific.SpecificExceptionBase.SpecificExceptionBase(Object),11,2,0,0,1,1
org.apache.avro.ipc.trace.TraceNode.getProcessTime(),1,11,2,5,1,1
org.apache.avro.ipc.NettyTransportCodec.NettyDataPack.getDatas(),0,273,15,69,0,0
"org.apache.avro.ipc.HttpServer.HttpServer(Responder, Connector)",11,3,0,0,1,2
org.apache.avro.ipc.SocketTransceiver.readBuffers(),-1,1,0,0,0,0
"org.apache.avro.thrift.test.Foo.Client.Factory.getClient(org.apache.thrift.protocol.TProtocol, org.apache.thrift.protocol.TProtocol)",11,2,0,0,1,1
"org.apache.avro.io.EncoderFactory.blockingBinaryEncoder(OutputStream, BinaryEncoder)",11,14,0,0,4,5
org.apache.avro.generic.GenericData.Array.equals(Object),11,38,0,0,7,13
org.apache.avro.file.DataFileReader.SeekableInputStream.SeekableInputStream(SeekableInput),0,54,7,16,0,0
org.apache.avro.io.DirectBinaryEncoder.configure(OutputStream),0,3,1,2,0,0
"org.apache.avro.mapred.Pair.Pair(GenericContainer, CharSequence)",11,17,0,0,7,4
org.apache.avro.file.DeflateCodec.getDeflater(),11,4,2,2,0,0
org.apache.avro.Schema.Names.get(Object),3,62,4,31,3,10
org.apache.avro.mapred.tether.TetherJob.getExecutable(JobConf),0,2,1,1,0,0
org.apache.avro.io.Perf.RecordWithPromotion.readInternal(Decoder),11,15,0,0,4,5
org.apache.avro.ipc.stats.FakeTicks.passTime(long),-1,1,0,0,0,0
"org.apache.avro.io.parsing.Symbol.Alternative.flatten(Map, Map)",11,5,0,0,3,2
org.apache.avro.io.BufferedBinaryEncoder.flush(),4,12,4,3,2,2
org.apache.avro.io.BinaryDecoder.ByteSource.trySkipBytes(long),11,5,2,3,0,0
"org.apache.avro.io.BinaryData.skipLong(byte[], int)",11,40,7,19,0,0
org.apache.avro.thrift.test.Foo.ping_result.ping_result(ping_result),11,2,1,1,0,0
org.apache.avro.io.parsing.SkipParser.SkipHandler.skipTopSymbol(),2,5,3,2,0,0
"org.apache.avro.mapred.AvroRecordReader.AvroRecordReader(JobConf, FileSplit)",11,81,1,1,8,20
org.apache.avro.Schema.getDoc(),0,57,5,29,0,0
org.apache.avro.io.JsonEncoder.writeDouble(double),11,7,0,0,3,3
org.apache.avro.io.Perf.ValidatingRecord.getDecoder(),11,37,0,0,8,15
"org.apache.avro.io.parsing.ResolvingGrammarGenerator.generate(Schema, Schema)",4,78,1,1,7,21
org.apache.avro.Schema.parseAliases(JsonNode),11,46,4,22,2,1
