sep=;
id; seed; size; upperDepth; upperWidth; lowerDepth; lowerWidth
172;org.apache.pdfbox.pdmodel.PDDocument.getDocumentCatalog();1395;11;404;3;4
173;org.apache.pdfbox.pdmodel.PDDocument.openProtection(DecryptionMaterial);584;11;106;8;27
174;org.apache.pdfbox.pdmodel.PDDocument.getSecurityHandler();97;7;35;0;0
175;org.apache.pdfbox.pdmodel.interactive.action.PDDocumentCatalogAdditionalActions.setWP(PDAction);8;0;0;4;3
176;org.apache.pdfbox.pdmodel.font.PDType1CFont.getName(byte[], int, int);5;3;2;0;0
177;org.apache.pdfbox.pdmodel.interactive.viewerpreferences.PDViewerPreferences.setViewClip(String);6;0;0;3;2
178;org.apache.pdfbox.pdmodel.common.PDStream.addCompression();570;10;151;4;10
179;org.apache.pdfbox.preflight.xobject.AbstractXObjValidator.AbstractXObjValidator(PreflightContext, COSStream);8;3;3;1;2
180;org.apache.pdfbox.pdmodel.common.function.type4.StackOperators.Pop.execute(ExecutionContext);2;0;0;1;1
181;org.apache.pdfbox.pdmodel.fdf.FDFField.getAction();18;0;0;5;7
182;org.apache.pdfbox.pdmodel.graphics.color.PDICCBased.getAlternateColorSpaces();70;8;9;6;12
183;org.apache.pdfbox.pdmodel.interactive.form.PDField.setReadonly(boolean);14;0;0;6;4
184;org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.Revisions.addObject(T, int);29;5;9;1;2
185;org.apache.pdfbox.cos.COSStream.getScratchFile();35;7;7;0;0
186;org.apache.pdfbox.io.ccitt.CCITTFaxG31DDecodeInputStream.buildLookupTree();9;0;0;2;4
187;org.apache.pdfbox.Overlay.mergeArray(COSName, COSDictionary, COSDictionary);29;4;6;2;7
188;org.apache.pdfbox.pdmodel.font.PDFontDescriptorDictionary.getItalicAngle();5;0;0;3;2
189;org.apache.pdfbox.pdmodel.fdf.FDFAnnotationCaret.FDFAnnotationCaret(COSDictionary);2;0;0;1;1
190;org.apache.pdfbox.preflight.PreflightContext.getSource();30;6;11;0;0
191;org.apache.pdfbox.preflight.font.Type1FontValidator.createFontDescriptorHelper();3;0;0;2;1
192;org.apache.pdfbox.ImportFDF.usage();141;11;42;0;0
193;org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDDefaultAttributeObject.toString();18;0;0;5;6
194;org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotation.getPage();5;0;0;2;3
195;org.apache.pdfbox.util.operator.SetNonStrokingSeparation.process(PDFOperator, List);97;0;0;13;16
196;org.apache.pdfbox.preflight.PreflightContext.setXrefTableResolver(XrefTrailerResolver);5;2;3;0;0
197;org.apache.pdfbox.pdfparser.PDFStreamParser.PDFStreamParser(COSStream, boolean);36;3;3;6;7
198;org.apache.pdfbox.pdmodel.common.PDStream.getFilters();84;6;22;3;5
199;org.apache.pdfbox.pdmodel.graphics.shading.AxialShadingContext.getRaster(int, int, int, int);2;0;0;1;1
200;org.apache.pdfbox.pdmodel.graphics.color.PDDeviceCMYK.createColorModel(int);3;0;0;2;1
201;org.apache.pdfbox.pdmodel.font.PDSimpleFont.getFontHeight(byte[], int, int);27;0;0;4;11
202;org.apache.pdfbox.pdmodel.graphics.color.PDDeviceN.PDDeviceN(COSArray);20;4;12;0;0
203;org.apache.pdfbox.pdmodel.font.PDFontDescriptorDictionary.getXHeight();5;0;0;3;2
204;org.apache.pdfbox.preflight.font.util.GlyphDetail.throwExceptionIfNotValid();2;1;1;0;0
205;org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDFTemplateStructure.getImageFormStream();105;8;53;0;0
206;org.apache.pdfbox.pdmodel.graphics.optionalcontent.PDOptionalContentProperties.toDictionary(COSBase);28;4;13;1;1
207;org.apache.pdfbox.preflight.graphic.NoPatternColorSpaceHelper.processPatternColorSpace(PDColorSpace);8;0;0;3;3
208;org.apache.pdfbox.preflight.process.BookmarkValidationProcess.validate(PreflightContext);71;0;0;7;16
209;org.apache.pdfbox.io.ccitt.CCITTFaxG31DDecodeInputStream.buildUpMakeUpLong(short[], NonLeafLookupTreeNode);9;3;2;2;2
210;org.apache.pdfbox.pdmodel.interactive.action.type.PDActionRemoteGoTo.getFile();12;0;0;4;4
211;org.apache.pdfbox.preflight.annotation.AnnotationValidator.checkFlags();140;13;25;5;7
212;org.apache.pdfbox.pdmodel.graphics.PDGraphicsState.setLineDashPattern(PDLineDashPattern);213;14;46;0;0
213;org.apache.pdfbox.util.Overlay.setLastPageOverlayFile(String);365;14;65;0;0
214;org.apache.pdfbox.examples.util.PrintTextLocations.usage();194;11;34;0;0
215;org.apache.pdfbox.cos.COSArray.retainAll(Collection);8;3;5;0;0
216;org.apache.pdfbox.pdmodel.graphics.predictor.None.encodeLine(byte[], byte[], int, int, int, int);3;0;0;1;2
217;org.apache.pdfbox.pdmodel.graphics.color.PDColorState.setPattern(PDPatternResources);33;7;12;0;0
