class,path,package,methods
AvroKeyOutputFormat,lang\java\mapred\src\main\java\org\apache\avro\mapreduce\AvroKeyOutputFormat.java,org.apache.avro.mapreduce,"AvroKeyOutputFormat,AvroKeyOutputFormat,getRecordWriter"
DataFileStream,lang\java\avro\src\main\java\org\apache\avro\file\DataFileStream.java,org.apache.avro.file,"DataFileStream,DataFileStream,initialize,initialize,resolveCodec,getHeader,getSchema,getMetaKeys,getMeta,getMetaString,getMetaLong,iterator,hasNext,next,next,nextBlock,getBlockCount,getBlockSize,blockFinished,hasNextBlock,nextRawBlock,remove,close"
AvroKeyInputFormat,lang\java\mapred\src\main\java\org\apache\avro\mapreduce\AvroKeyInputFormat.java,org.apache.avro.mapreduce,createRecordReader
AvroWrapper,lang\java\mapred\src\main\java\org\apache\avro\mapred\AvroWrapper.java,org.apache.avro.mapred,"AvroWrapper,AvroWrapper,datum,datum,hashCode,equals,toString"
TestResolvingIOResolving,lang\java\avro\src\test\java\org\apache\avro\io\TestResolvingIOResolving.java,org.apache.avro.io,"TestResolvingIOResolving,testResolving,data3,dataForResolvingTests"
TestValidatingIO,lang\java\avro\src\test\java\org\apache\avro\io\TestValidatingIO.java,org.apache.avro.io,"TestValidatingIO,testMain,testOnce,make,generate,randomValues,extractInt,nextBytes,nextString,check,check,skip,data,convertTo2dArray,cartesian,concat,paste,testSchemas,dump,print,printSchemaAndValues"
TestResolvingIO,lang\java\avro\src\test\java\org\apache\avro\io\TestResolvingIO.java,org.apache.avro.io,"TestResolvingIO,testIdentical,testCompatible,performTest,testOnce,check,data2,testSchemas"
SocketServer,lang\java\ipc\src\main\java\org\apache\avro\ipc\SocketServer.java,org.apache.avro.ipc,"SocketServer,getPort,run,close,getTransceiver,main"
Protocol,lang\java\avro\src\main\java\org\apache\avro\Protocol.java,org.apache.avro,"Protocol,Protocol,Protocol,getName,getNamespace,getDoc,getTypes,getType,setTypes,getMessages,createMessage,createMessage,createMessage,createMessage,equals,hashCode,toString,toString,toJson,getMD5,parse,parse,parse,parse,parse,parse,parseNamespace,parseDoc,parseDocNode,parseName,parseTypes,parseProps,parseMessages,parseMessage,main"
GenericResponder,lang\java\ipc\src\main\java\org\apache\avro\ipc\generic\GenericResponder.java,org.apache.avro.ipc.generic,"GenericResponder,GenericResponder,getGenericData,getDatumWriter,getDatumReader,readRequest,writeResponse,writeError"
Transceiver,lang\java\ipc\src\main\java\org\apache\avro\ipc\Transceiver.java,org.apache.avro.ipc,"getRemoteName,lockChannel,unlockChannel,transceive,transceive,readBuffers,writeBuffers,isConnected,setRemote,getRemote,close"
SocketTransceiver,lang\java\ipc\src\main\java\org\apache\avro\ipc\SocketTransceiver.java,org.apache.avro.ipc,"SocketTransceiver,SocketTransceiver,getRemoteName,readBuffers,writeBuffers,writeLength,isConnected,setRemote,getRemote,close"
HadoopCombiner,lang\java\mapred\src\main\java\org\apache\avro\mapred\HadoopCombiner.java,org.apache.avro.mapred,"getReducer,getCollector"
