method,LOC,Cyclomatic,FanIn,FanOut
"org.apache.avro.io.parsing.Symbol.flatten(Symbol[], int, Symbol[], int, Map<Sequence, Sequence>, Map<Sequence, List>)",23,5,11,8
"org.apache.avro.io.parsing.Symbol.copyFixups(List<Fixup>, Symbol[], int, Symbol[])",9,3,7,4
"org.apache.avro.io.parsing.Symbol.flattenedSize(Symbol[], int)",12,3,6,2
org.apache.avro.io.parsing.Symbol.hasErrors(Symbol),20,8,14,3
"org.apache.avro.io.parsing.Symbol.hasErrors(Symbol, Symbol[])",13,5,3,2
org.apache.avro.io.parsing.Symbol.intCheckAction(int),3,1,3,2
"org.apache.avro.io.parsing.Symbol.enumAdjustAction(int, Object[])",3,1,3,2
org.apache.avro.io.parsing.Symbol.writerUnionAction(),3,1,1,2
org.apache.avro.io.parsing.Symbol.skipAction(Symbol),3,1,2,2
"org.apache.avro.io.parsing.Symbol.fieldAdjustAction(int, String)",3,1,3,2
org.apache.avro.io.parsing.Symbol.fieldOrderAction(Schema.Field[]),3,1,2,2
org.apache.avro.io.parsing.Symbol.defaultStartAction(byte[]),3,1,2,2
"org.apache.avro.io.parsing.Symbol.unionAdjustAction(int, Symbol)",3,1,3,2
org.apache.avro.io.parsing.Symbol.enumLabelsAction(List<String>),3,1,2,2
org.apache.avro.ipc.TestRpcPluginOrdering.testRpcPluginOrdering(),10,1,1,6
org.apache.avro.ipc.TestRpcPluginOrdering.createTestMessage(),8,1,1,6
org.apache.avro.AvroRemoteException.AvroRemoteException(),1,1,1,1
org.apache.avro.AvroRemoteException.AvroRemoteException(Throwable),4,1,8,4
org.apache.avro.AvroRemoteException.AvroRemoteException(Object),4,2,5,4
"org.apache.avro.AvroRemoteException.AvroRemoteException(Object, Throwable)",4,2,3,4
org.apache.avro.AvroRemoteException.getValue(),1,1,4,1
org.apache.avro.ipc.LocalTransceiver.LocalTransceiver(Responder),3,1,5,2
org.apache.avro.ipc.LocalTransceiver.getRemoteName(),3,1,0,1
org.apache.avro.ipc.LocalTransceiver.transceive(List<ByteBuffer>),4,1,2,2
org.apache.avro.ipc.LocalTransceiver.readBuffers(),3,1,0,2
org.apache.avro.ipc.LocalTransceiver.writeBuffers(List<ByteBuffer>),3,1,0,1
org.apache.avro.ipc.RPCContext.setHandshakeRequest(HandshakeRequest),3,1,3,1
org.apache.avro.ipc.RPCContext.getHandshakeRequest(),3,1,2,1
org.apache.avro.ipc.RPCContext.setHandshakeResponse(HandshakeResponse),3,1,3,1
org.apache.avro.ipc.RPCContext.getHandshakeResponse(),3,1,1,1
org.apache.avro.ipc.RPCContext.requestHandshakeMeta(),5,2,5,3
"org.apache.avro.ipc.RPCContext.setRequestHandshakeMeta(Map<String, ByteBuffer>)",3,1,2,1
org.apache.avro.ipc.RPCContext.responseHandshakeMeta(),5,2,4,3
"org.apache.avro.ipc.RPCContext.setResponseHandshakeMeta(Map<String, ByteBuffer>)",3,1,2,1
org.apache.avro.ipc.RPCContext.requestCallMeta(),6,2,5,3
"org.apache.avro.ipc.RPCContext.setRequestCallMeta(Map<String, ByteBuffer>)",3,1,2,1
org.apache.avro.ipc.RPCContext.responseCallMeta(),6,2,4,3
"org.apache.avro.ipc.RPCContext.setResponseCallMeta(Map<String, ByteBuffer>)",3,1,2,1
org.apache.avro.ipc.RPCContext.setResponse(Object),4,1,3,2
org.apache.avro.ipc.RPCContext.response(),3,1,1,1
org.apache.avro.ipc.RPCContext.setError(Exception),4,1,3,2
org.apache.avro.ipc.RPCContext.error(),3,1,1,1
org.apache.avro.ipc.RPCContext.isError(),3,1,1,1
org.apache.avro.ipc.RPCContext.setMessage(Message),3,1,4,1
org.apache.avro.ipc.RPCContext.getMessage(),1,1,9,1
org.apache.avro.ipc.RPCContext.setRequestPayload(List<ByteBuffer>),3,1,2,1
org.apache.avro.ipc.RPCContext.getRequestPayload(),3,1,8,1
org.apache.avro.ipc.RPCContext.getResponsePayload(),3,1,7,1
org.apache.avro.ipc.RPCContext.setResponsePayload(List<ByteBuffer>),3,1,2,1
org.apache.avro.ipc.RPCPlugin.clientStartConnect(RPCContext),1,1,1,0
org.apache.avro.ipc.RPCPlugin.serverConnecting(RPCContext),1,1,1,0
org.apache.avro.ipc.RPCPlugin.clientFinishConnect(RPCContext),1,1,1,0
org.apache.avro.ipc.RPCPlugin.clientSendRequest(RPCContext),1,1,1,0
org.apache.avro.ipc.RPCPlugin.serverReceiveRequest(RPCContext),1,1,1,0
org.apache.avro.ipc.RPCPlugin.serverSendResponse(RPCContext),1,1,1,0
org.apache.avro.ipc.RPCPlugin.clientReceiveResponse(RPCContext),1,1,1,0
"org.apache.avro.ipc.specific.SpecificRequestor.SpecificRequestor(Class<?>, Transceiver)",4,1,3,4
"org.apache.avro.ipc.specific.SpecificRequestor.SpecificRequestor(Protocol, Transceiver)",4,1,2,3
"org.apache.avro.ipc.specific.SpecificRequestor.SpecificRequestor(Class<?>, Transceiver, SpecificData)",5,1,4,3
"org.apache.avro.ipc.specific.SpecificRequestor.SpecificRequestor(Protocol, Transceiver, SpecificData)",6,1,7,3
org.apache.avro.ipc.specific.SpecificRequestor.getSpecificData(),1,1,3,1
"org.apache.avro.ipc.specific.SpecificRequestor.invoke(Object, Method, Object[])",57,13,5,21
org.apache.avro.ipc.specific.SpecificRequestor.getDatumWriter(Schema),3,1,3,2
org.apache.avro.ipc.specific.SpecificRequestor.getDatumReader(Schema),3,1,1,2
"org.apache.avro.ipc.specific.SpecificRequestor.getDatumReader(Schema, Schema)",3,1,6,2
"org.apache.avro.ipc.specific.SpecificRequestor.writeRequest(Schema, Object, Encoder)",7,2,3,4
"org.apache.avro.ipc.specific.SpecificRequestor.readResponse(Schema, Schema, Decoder)",4,1,3,3
"org.apache.avro.ipc.specific.SpecificRequestor.readError(Schema, Schema, Decoder)",7,2,3,5
"org.apache.avro.ipc.specific.SpecificRequestor.getClient(Class<T>, Transceiver)",5,1,2,4
"org.apache.avro.ipc.specific.SpecificRequestor.getClient(Class<T>, Transceiver, SpecificData)",9,1,4,5
"org.apache.avro.ipc.specific.SpecificRequestor.getClient(Class<T>, SpecificRequestor)",5,1,4,3
org.apache.avro.ipc.specific.SpecificRequestor.getRemote(Object),3,1,3,3
"org.apache.avro.ipc.specific.SpecificResponder.SpecificResponder(Class, Object)",3,1,2,5
"org.apache.avro.ipc.specific.SpecificResponder.SpecificResponder(Protocol, Object)",3,1,2,5
"org.apache.avro.ipc.specific.SpecificResponder.SpecificResponder(Class, Object, SpecificData)",3,1,4,3
"org.apache.avro.ipc.specific.SpecificResponder.SpecificResponder(Protocol, Object, SpecificData)",4,1,6,3
org.apache.avro.ipc.specific.SpecificResponder.getSpecificData(),1,1,5,2
org.apache.avro.ipc.specific.SpecificResponder.getDatumWriter(Schema),3,1,2,3
