method,method,invocation counts
"org.apache.ivy.plugins.report.XmlReportWriter.output(ConfigurationResolveReport, String[], OutputStream)",org.apache.ivy.core.report.ConfigurationResolveReport.getModuleIds(),212
org.apache.ivy.core.report.ConfigurationResolveReport.getModuleIds(),"org.apache.ivy.core.sort.SortEngine.sortNodes(Collection, SortOptions)",210
"org.apache.ivy.core.sort.SortEngine.sortNodes(Collection, SortOptions)","org.apache.ivy.core.sort.SortEngine.sortModuleDescriptors(Collection, SortOptions)",381
"org.apache.ivy.core.sort.SortEngine.sortModuleDescriptors(Collection, SortOptions)",org.apache.ivy.core.sort.ModuleDescriptorSorter.sortModuleDescriptors(),403
org.apache.ivy.core.sort.ModuleDescriptorSorter.sortModuleDescriptors(),org.apache.ivy.util.Message.debug(String),404
org.apache.ivy.util.Message.debug(String),org.apache.ivy.util.MessageLoggerEngine.debug(String),169692
org.apache.ivy.util.MessageLoggerEngine.debug(String),org.apache.ivy.util.AbstractMessageLogger.debug(String),169693
org.apache.ivy.util.AbstractMessageLogger.debug(String),"org.apache.ivy.ant.AntMessageLogger.log(String, int)",29962
"org.apache.ivy.ant.AntMessageLogger.log(String, int)","org.apache.tools.ant.Task.log(String, int)",41684
"org.apache.tools.ant.Task.log(String, int)","org.apache.tools.ant.Project.log(Task, String, int)",44283
"org.apache.tools.ant.Project.log(Task, String, int)","org.apache.tools.ant.Project.fireMessageLogged(Task, String, int)",44283
"org.apache.tools.ant.Project.fireMessageLogged(Task, String, int)","org.apache.tools.ant.Project.fireMessageLoggedEvent(BuildEvent, String, int)",44283
"org.apache.tools.ant.Project.fireMessageLogged(Task, String, int)",org.apache.tools.ant.BuildEvent.<init>(Task),44283
org.apache.tools.ant.BuildEvent.<init>(Task),java.util.EventObject.<init>(Object),44487
org.apache.ivy.util.MessageLoggerEngine.debug(String),org.apache.ivy.util.MessageLoggerEngine.peekLogger(),169693
org.apache.ivy.util.MessageLoggerEngine.peekLogger(),java.util.Stack.peek(),45663
org.apache.ivy.util.Message.debug(String),org.apache.ivy.util.Message.getLogger(),215560
org.apache.ivy.util.Message.getLogger(),org.apache.ivy.core.IvyContext.getContext(),241423
org.apache.ivy.core.IvyContext.getContext(),org.apache.ivy.core.IvyContext.getCurrentStack(),267229
org.apache.ivy.core.IvyContext.getCurrentStack(),java.lang.ThreadLocal.get(),275271
org.apache.ivy.core.IvyContext.getContext(),java.util.Stack.peek(),267229
org.apache.ivy.util.Message.getLogger(),org.apache.ivy.core.IvyContext.getMessageLogger(),241423
org.apache.ivy.core.IvyContext.getMessageLogger(),org.apache.ivy.core.IvyContext.peekIvy(),241426
org.apache.ivy.core.sort.ModuleDescriptorSorter.sortModuleDescriptors(),java.lang.StringBuilder.append(int),404
org.apache.ivy.core.sort.ModuleDescriptorSorter.sortModuleDescriptors(),java.lang.StringBuilder.append(String),404
org.apache.ivy.core.sort.ModuleDescriptorSorter.sortModuleDescriptors(),org.apache.ivy.core.sort.CollectionOfModulesToSort.iterator(),404
org.apache.ivy.core.sort.CollectionOfModulesToSort.iterator(),java.util.ArrayList.iterator(),405
org.apache.ivy.core.sort.ModuleDescriptorSorter.sortModuleDescriptors(),java.lang.StringBuilder.<init>(),404
org.apache.ivy.core.sort.ModuleDescriptorSorter.sortModuleDescriptors(),java.lang.StringBuilder.toString(),404
org.apache.ivy.core.sort.ModuleDescriptorSorter.sortModuleDescriptors(),java.util.ArrayList$Itr.hasNext(),894
org.apache.ivy.core.sort.ModuleDescriptorSorter.sortModuleDescriptors(),org.apache.ivy.core.sort.CollectionOfModulesToSort.size(),404
"org.apache.ivy.core.sort.SortEngine.sortModuleDescriptors(Collection, SortOptions)","org.apache.ivy.core.sort.ModuleDescriptorSorter.<init>(Collection, VersionMatcher, NonMatchingVersionReporter, CircularDependencyStrategy)",408
"org.apache.ivy.core.sort.ModuleDescriptorSorter.<init>(Collection, VersionMatcher, NonMatchingVersionReporter, CircularDependencyStrategy)","org.apache.ivy.core.sort.CollectionOfModulesToSort.<init>(Collection, VersionMatcher, NonMatchingVersionReporter)",411
"org.apache.ivy.core.sort.CollectionOfModulesToSort.<init>(Collection, VersionMatcher, NonMatchingVersionReporter)",java.util.LinkedHashMap$LinkedKeySet.iterator(),380
"org.apache.ivy.core.sort.CollectionOfModulesToSort.<init>(Collection, VersionMatcher, NonMatchingVersionReporter)",java.util.ArrayList.<init>(int),416
"org.apache.ivy.core.sort.CollectionOfModulesToSort.<init>(Collection, VersionMatcher, NonMatchingVersionReporter)",java.util.HashMap.<init>(),420
"org.apache.ivy.core.sort.ModuleDescriptorSorter.<init>(Collection, VersionMatcher, NonMatchingVersionReporter, CircularDependencyStrategy)",java.util.LinkedList.<init>(),411
"org.apache.ivy.core.sort.SortEngine.sortModuleDescriptors(Collection, SortOptions)",org.apache.ivy.core.sort.SortEngine.getVersionMatcher(),408
org.apache.ivy.core.sort.SortEngine.getVersionMatcher(),org.apache.ivy.core.settings.IvySettings.getVersionMatcher(),408
"org.apache.ivy.core.sort.SortEngine.sortModuleDescriptors(Collection, SortOptions)","org.apache.ivy.util.Checks.checkNotNull(Object, String)",411
"org.apache.ivy.core.sort.SortEngine.sortNodes(Collection, SortOptions)","java.util.ArrayList.addAll(int, Collection)",380
"org.apache.ivy.core.sort.SortEngine.sortNodes(Collection, SortOptions)",java.util.HashSet.iterator(),376
"org.apache.ivy.core.sort.SortEngine.sortNodes(Collection, SortOptions)",java.util.LinkedHashMap.<init>(),386
"org.apache.ivy.core.sort.SortEngine.sortNodes(Collection, SortOptions)",java.util.ArrayList.<init>(),822
"org.apache.ivy.core.sort.SortEngine.sortNodes(Collection, SortOptions)",java.util.ArrayList.<init>(int),380
"org.apache.ivy.core.sort.SortEngine.sortNodes(Collection, SortOptions)",java.util.LinkedHashMap.keySet(),381
org.apache.ivy.core.report.ConfigurationResolveReport.getModuleIds(),org.apache.ivy.core.report.ConfigurationResolveReport.getDependencies(),210
org.apache.ivy.core.report.ConfigurationResolveReport.getDependencies(),java.util.LinkedHashSet.<init>(Collection),1962
