class path,method name,method arguments,Time,OwnTime,count
src\java\org\apache\ivy\plugins\report\XmlReportOutputter.java,output,"ConfigurationResolveReport, String, String[], ResolutionCacheManager",2594,9,214
src\java\org\apache\ivy\core\cache\DefaultRepositoryCacheManager.java,addConfiguredTtl,Map,0,0,1
src\java\org\apache\ivy\plugins\resolver\packager\BuiltFileResource.java,getContentLength,,0,0,2
src\java\org\apache\ivy\core\event\retrieve\RetrieveArtifactEvent.java,addArtifactAttributes,Artifact,13,0,95
src\java\org\apache\ivy\plugins\resolver\util\ApacheHttpURLLister.java,listAll,URL,1,0,4
src\java\org\apache\ivy\core\module\descriptor\AbstractArtifact.java,getQualifiedExtraAttributes,,321,5,5914
src\java\org\apache\ivy\ant\AddPathTask.java,createPath,,0,0,2
src\java\org\apache\ivy\core\report\ConfigurationResolveReport.java,getEvictedMrids,,0,0,3
src\java\org\apache\ivy\core\settings\XmlSettingsParser.java,inConfiguratorStarted,"String, Map",6577,51,11364
src\java\org\apache\ivy\plugins\parser\m2\PomReader.java,replaceProps,String,1,0,287
src\java\org\apache\ivy\plugins\resolver\AbstractResolver.java,toSystem,ResolvedModuleRevision,1,0,2
src\java\org\apache\ivy\core\IvyPatternHelper.java,substituteVariable,"StringBuffer, String, String",0,0,12
test\java\org\apache\ivy\ant\IvyRetrieveTest.java,testInline,,728,0,1
src\java\org\apache\ivy\core\sort\ModuleInSort.java,getDependencies,,1,0,493
src\java\org\apache\ivy\core\cache\DefaultRepositoryCacheManager.java,getRepositoryCacheRoot,,7,3,16495
src\java\org\apache\ivy\plugins\version\ChainVersionMatcher.java,getMatchers,,0,0,5
src\java\org\apache\ivy\core\search\RevisionEntry.java,toString,,0,0,1
src\java\org\apache\ivy\Ivy14.java,publish,"ModuleDescriptor, DependencyResolver, Collection, String, Artifact[], boolean, String",2,0,2
src\java\org\apache\ivy\ant\IvyResolve.java,setShowprogress,boolean,0,0,1
src\java\org\apache\ivy\core\resolve\IvyNode.java,clean,,2,0,911
src\java\org\apache\ivy\util\url\BasicURLHandler.java,upload,"File, URL, CopyProgressListener",6,0,5
src\java\org\apache\ivy\util\StringUtils.java,getStackTrace,Exception,10,0,11
src\java\org\apache\ivy\Ivy14.java,resolve,"URL, String, String[], File, Date, boolean, boolean, boolean, boolean, Filter",114,0,1
src\java\org\apache\ivy\plugins\resolver\IvyRepResolver.java,<init>,,15,0,122
test\java\org\apache\ivy\ant\IvyPublishTest.java,cleanCache,,489,0,17
src\java\org\apache\ivy\util\Configurator.java,setAttribute,"String, String",269,36,11394
src\java\org\apache\ivy\plugins\matcher\AnyMatcher.java,<init>,,0,0,11
test\java\org\apache\ivy\ant\IvyPostResolveTaskTest.java,testInlineWithoutKeep,,349,0,1
src\java\org\apache\ivy\core\sort\CollectionOfModulesToSort.java,size,,0,0,406
src\java\org\apache\ivy\plugins\repository\url\URLResource.java,getLastModified,,1844,0,683
src\java\org\apache\ivy\core\report\ArtifactDownloadReport.java,getName,,0,0,209
src\java\org\apache\ivy\core\IvyPatternHelper.java,getTokenRoot,String,0,0,39
test\java\org\apache\ivy\ant\IvyDeliverTest.java,testNotGenerateRevConstraint,,265,0,1
src\java\org\apache\ivy\core\resolve\ResolveOptions.java,getDefaultResolveId,ModuleId,7,1,224
src\java\org\apache\ivy\core\settings\IvySettings.java,<init>,IvyVariableContainer,13456,143,1827
src\java\org\apache\ivy\Ivy.java,getWorkingRevision,,9,1,332
src\java\org\apache\ivy\plugins\latest\ComparatorLatestStrategy.java,<init>,,2,2,2743
src\java\org\apache\ivy\core\module\descriptor\DefaultExcludeRule.java,toString,,0,0,4
src\java\org\apache\ivy\ant\IvyAntSettings.java,setUsername,String,0,0,2
src\java\org\apache\ivy\core\cache\ArtifactOrigin.java,equals,Object,0,0,6
test\java\org\apache\ivy\ant\IvyCachePathTest.java,<init>,,0,0,9
src\java\org\apache\ivy\util\StringUtils.java,join,"Object[], String",19,5,1005
src\java\org\apache\ivy\core\IvyPatternHelper.java,substituteTokens,"String, Map",4345,633,19134
src\java\org\apache\ivy\ant\IvyBuildNumber.java,findLastNumber,String,1,0,7
src\java\org\apache\ivy\util\url\HttpClientHandler.java,configureProxy,,5,0,274
src\java\org\apache\ivy\plugins\repository\vsftp\VsftpResource.java,clone,String,9,0,2
src\java\org\apache\ivy\plugins\repository\file\FileRepository.java,delete,File,0,0,1
test\java\org\apache\ivy\ant\AntBuildTriggerTest.java,<init>,,0,0,1
src\java\org\apache\ivy\core\settings\IvySettings.java,logResolvedRevision,,0,0,46
src\java\org\apache\ivy\plugins\repository\AbstractRepository.java,removeTransferListener,TransferListener,2,0,212
src\java\org\apache\ivy\core\settings\IvySettings.java,addVersionMatcher,VersionMatcher,14,3,835
test\java\org\apache\ivy\util\url\ArtifactoryListingTest.java,testWicketListing,,0,0,1
src\java\org\apache\ivy\plugins\repository\vfs\VfsResource.java,<init>,"String, FileSystemManager",0,0,54
src\java\org\apache\ivy\plugins\report\XmlReportWriter.java,output,"ConfigurationResolveReport, OutputStream",0,0,1
src\java\org\apache\ivy\ant\IvyRetrieve.java,doExecute,,13319,0,24
src\java\org\apache\ivy\ant\IvyArtifactReport.java,startArtifact,"TransformerHandler, Artifact",0,0,1
test\java\org\apache\ivy\ant\IvyArtifactReportTest.java,<init>,,0,0,1
src\java\org\apache\ivy\core\module\descriptor\DefaultModuleDescriptor.java,getExtraAttribute,String,0,0,14
src\java\org\apache\ivy\core\module\descriptor\AbstractArtifact.java,equals,Object,39,4,274
src\java\org\apache\ivy\plugins\resolver\IBiblioResolver.java,findArtifactRef,"Artifact, Date",4813,0,35
src\java\org\apache\ivy\plugins\resolver\packager\PackagerResolver.java,findArtifactRef,"Artifact, Date",0,0,2
test\java\org\apache\ivy\ant\IvyFindRevisionTest.java,<init>,,0,0,3
src\java\org\apache\ivy\core\cache\DefaultRepositoryCacheManager.java,getSavedArtResolverName,ModuleDescriptor,126,0,200
src\java\org\apache\ivy\core\resolve\IvyNodeUsage.java,getDependencyArtifactsSet,String,25,4,663
src\java\org\apache\ivy\Ivy14.java,interrupt,,0,0,2
src\java\org\apache\ivy\Ivy.java,newInstance,,6524,0,874
src\java\org\apache\ivy\plugins\repository\vfs\VfsResource.java,init,,5,0,36
src\java\org\apache\ivy\plugins\parser\xml\XmlModuleDescriptorWriter.java,printDependencyExcludeRules,"ModuleDescriptor, PrintWriter, ExcludeRule[]",0,0,49
src\java\org\apache\ivy\ant\IvyRetrieve.java,<init>,,0,0,56
test\java\org\apache\ivy\ant\IvyPostResolveTaskTest.java,testWithResolveIdAndPreviousResolveInSameBuildAndWildcard,,404,0,1
src\java\org\apache\ivy\core\module\descriptor\DefaultDependencyDescriptor.java,getAttributes,,0,0,1
src\java\org\apache\ivy\plugins\version\ExactVersionMatcher.java,accept,"ModuleRevisionId, ModuleRevisionId",0,0,429
src\java\org\apache\ivy\core\cache\ModuleDescriptorMemoryCache.java,putInCache,"File, ParserSettingsMonitor, boolean, ModuleDescriptor",58,0,240
src\java\org\apache\ivy\core\event\IvyEvent.java,getAttributes,,0,0,52
test\java\org\apache\ivy\util\IvyPatternHelperTest.java,testSubstitute,,0,0,1
src\java\org\apache\ivy\core\module\id\ArtifactId.java,hashCode,,8,5,2310
src\java\org\apache\ivy\plugins\resolver\packager\BuiltFileResource.java,<init>,File,0,0,22
src\java\org\apache\ivy\plugins\resolver\util\MDResolvedResource.java,<init>,"Resource, String, ResolvedModuleRevision",0,0,3
src\java\org\apache\ivy\core\module\descriptor\DefaultDependencyDescriptor.java,getIncludeRules,,0,0,897
src\java\org\apache\ivy\core\module\descriptor\DefaultDependencyDescriptor.java,getIncludeRules,String,2,1,1280
test\java\org\apache\ivy\core\event\IvyEventFilterTest.java,testSimpleExpression,,0,0,1
src\java\org\apache\ivy\plugins\resolver\BasicResolver.java,checkForcedResolvedModuleRevision,ResolvedModuleRevision,0,0,199
src\java\org\apache\ivy\plugins\parser\m2\PomModuleDescriptorBuilder.java,addJavadocArtifact,,1,0,4
test\java\org\apache\ivy\ant\IvyResolveTest.java,getIvy,,1,0,32
src\java\org\apache\ivy\plugins\matcher\AbstractPatternMatcher.java,getMatcher,String,63,1,1219
src\java\org\apache\ivy\ant\IvyArtifactReport.java,createTransformerHandler,FileOutputStream,142,0,1
src\java\org\apache\ivy\core\module\id\ArtifactRevisionId.java,newInstance,"ModuleRevisionId, String, String, String, Map",1487,35,31768
src\java\org\apache\ivy\plugins\repository\url\URLResource.java,toString,,3,0,281
src\java\org\apache\ivy\core\cache\DefaultRepositoryCacheManager.java,getIsLocalKey,Artifact,98,3,1023
test\java\org\apache\ivy\util\url\BasicURLHandlerTest.java,testContentEncoding,,4908,0,1
src\java\org\apache\ivy\core\settings\XmlSettingsParser.java,propertiesStarted,Map,637,0,161
src\java\org\apache\ivy\plugins\repository\vsftp\VsftpRepository.java,sendCommand,"String, Pattern",0,0,1
test\java\org\apache\ivy\ant\IvyResolveTest.java,testDoubleResolveWithResolveId,,500,0,1
src\java\org\apache\ivy\core\settings\IvySettings.java,addConfigured,DependencyResolver,79,0,3853
src\java\org\apache\ivy\core\resolve\ResolveEngine.java,isDependenciesFetched,"IvyNode, String",27,1,843
test\java\org\apache\ivy\ant\AntCallTriggerTest.java,runAnt,"File, Vector, int",689,0,1
src\java\org\apache\ivy\plugins\resolver\SshResolver.java,setPublishPermissions,String,0,0,2
src\java\org\apache\ivy\plugins\resolver\AbstractPatternsBasedResolver.java,getArtifactPatterns,,2,0,3155
src\java\org\apache\ivy\plugins\resolver\FileSystemResolver.java,checkSupportTransaction,,27,1,339
src\java\org\apache\ivy\util\extendable\UnmodifiableExtendableItem.java,<init>,"Map, Map",358,148,39065
src\java\org\apache\ivy\ant\IvyArtifactReport.java,writeRetrieveLocation,"TransformerHandler, String",0,0,1
src\java\org\apache\ivy\core\IvyPatternHelper.java,substitute,"String, ModuleRevisionId, Artifact, String, ArtifactOrigin",4728,71,15974
src\java\org\apache\ivy\core\resolve\IvyNode.java,markEvicted,"String, IvyNode, ConflictManager, Collection",10,0,24
test\java\org\apache\ivy\ant\IvyPostResolveTaskTest.java,createCache,,8,0,13
src\java\org\apache\ivy\core\settings\IvySettings.java,validateAll,Collection,698,57,37863
src\java\org\apache\ivy\core\resolve\IvyNode.java,getModuleId,,4,4,9025
src\java\org\apache\ivy\plugins\repository\ssh\SshResource.java,toString,,0,0,8
src\java\org\apache\ivy\core\module\descriptor\DefaultModuleDescriptor.java,getConfigurationsNames,,17,2,1241
src\java\org\apache\ivy\Ivy14.java,getDependencies,"URL, String[], File, Date, boolean",82,0,3
test\java\org\apache\ivy\ant\IvyCacheFilesetTest.java,setUp,,6,0,7
test\java\org\apache\ivy\ant\IvyPublishTest.java,testHaltOnMissing3,,235,0,1
src\java\org\apache\ivy\plugins\resolver\RepositoryResolver.java,<init>,,265,0,3493
src\java\org\apache\ivy\plugins\matcher\MatcherHelper.java,isExact,"PatternMatcher, ModuleRevisionId",0,0,21
src\java\org\apache\ivy\core\report\DownloadReport.java,<init>,,0,0,254
test\java\org\apache\ivy\ant\IvyPublishTest.java,testMergeParent,,731,0,1
src\java\org\apache\ivy\plugins\version\ChainVersionMatcher.java,isDynamic,ModuleRevisionId,192,44,6776
src\java\org\apache\ivy\plugins\parser\xml\UpdateOptions.java,<init>,,0,0,333
test\java\org\apache\ivy\ant\IvyDeliverTest.java,testReplaceBranch,,285,0,1
src\java\org\apache\ivy\core\event\EventManager.java,addIvyListener,IvyListener,0,0,2
test\java\org\apache\ivy\ant\IvyInfoRepositoryTest.java,testProperty,,107,0,1
src\java\org\apache\ivy\core\module\descriptor\DefaultModuleDescriptor.java,check,,9,2,557
src\java\org\apache\ivy\core\IvyContext.java,pop,"String, Object",3,2,335
src\java\org\apache\ivy\Ivy.java,substitute,String,0,0,8
test\java\org\apache\ivy\ant\IvyCacheFilesetTest.java,tearDown,,214,0,7
src\java\org\apache\ivy\plugins\repository\sftp\SFTPResource.java,<init>,"SFTPRepository, String",0,0,113
src\java\org\apache\ivy\core\resolve\ResolvedModuleRevision.java,hashCode,,0,0,2
src\java\org\apache\ivy\plugins\resolver\RepositoryResolver.java,listTokenValues,"String, String",164,0,232
test\java\org\apache\ivy\ant\IvyInfoTest.java,testIVY726,,114,0,1
src\java\org\apache\ivy\ant\IvyBuildNumber.java,setProperty,"String, String",1,0,48
src\java\org\apache\ivy\Ivy14.java,substitute,String,0,0,5
src\java\org\apache\ivy\core\sort\ModuleDescriptorSorter.java,sortModuleDescriptors,,174,4,404
test\java\org\apache\ivy\ant\IvyInfoTest.java,testSimple,,113,0,1
