method,method,invocation counts
org.apache.pdfbox.debugger.hexviewer.HexPane.<init>(HexModel),org.apache.pdfbox.debugger.hexviewer.HexModel.totalLine(),35
org.apache.pdfbox.debugger.hexviewer.HexEditor.createView(),org.apache.pdfbox.debugger.hexviewer.UpperPane.<init>(),5
org.apache.pdfbox.debugger.hexviewer.HexEditor.createView(),org.apache.pdfbox.debugger.hexviewer.AddressPane.<init>(int),5
org.apache.pdfbox.debugger.hexviewer.HexEditor.createView(),org.apache.pdfbox.debugger.hexviewer.ASCIIPane.<init>(HexModel),5
org.apache.pdfbox.debugger.hexviewer.ASCIIPane.<init>(HexModel),org.apache.pdfbox.debugger.hexviewer.HexModel.addHexModelChangeListener(HexModelChangeListener),8
org.apache.pdfbox.debugger.hexviewer.ASCIIPane.<init>(HexModel),org.apache.pdfbox.debugger.hexviewer.HexModel.totalLine(),8
org.apache.pdfbox.debugger.hexviewer.HexEditor.createView(),org.apache.pdfbox.debugger.hexviewer.HexPane.addHexChangeListeners(HexChangeListener),5
org.apache.pdfbox.debugger.hexviewer.HexEditor.createView(),org.apache.pdfbox.debugger.hexviewer.HexPane.addSelectionChangeListener(SelectionChangeListener),5
org.apache.pdfbox.debugger.hexviewer.HexEditor.createView(),org.apache.pdfbox.debugger.hexviewer.HexModel.addHexModelChangeListener(HexModelChangeListener),10
org.apache.pdfbox.debugger.hexviewer.HexEditor.createView(),org.apache.pdfbox.debugger.hexviewer.HexModel.totalLine(),10
org.apache.pdfbox.debugger.hexviewer.HexView.changeData(byte[]),org.apache.pdfbox.debugger.hexviewer.HexModel.<init>(byte[]),3
org.apache.pdfbox.debugger.hexviewer.HexPane.mouseClicked(MouseEvent),org.apache.pdfbox.debugger.hexviewer.HexPane.fireSelectionChanged(SelectEvent),4
org.apache.pdfbox.debugger.hexviewer.HexPane.fireSelectionChanged(SelectEvent),org.apache.pdfbox.debugger.hexviewer.HexEditor.selectionChanged(SelectEvent),1
org.apache.pdfbox.debugger.hexviewer.HexPane.mouseClicked(MouseEvent),org.apache.pdfbox.debugger.hexviewer.HexPane.getIndexForPoint(Point),4
org.apache.pdfbox.debugger.hexviewer.HexPane.mouseClicked(MouseEvent),"org.apache.pdfbox.debugger.hexviewer.SelectEvent.<init>(int, String)",4
"org.apache.pdfbox.debugger.fontencodingpane.FontEncodingView.<init>(Object[][], Map, String[])","org.apache.pdfbox.debugger.fontencodingpane.FontEncodingView.createView(JPanel, JTable)",1
