method,issue
org.apache.ivy.ant.IvyBuildNumber.computeNewRevision(String),
"org.apache.ivy.plugins.resolver.ChainResolver.download(Artifact[], DownloadOptions)",
"org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorWriter.printConfigurations(ModuleDescriptor, PrintWriter)",
"org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorWriter.printAllExcludes(ModuleDescriptor, PrintWriter)",
org.apache.ivy.ant.IvyVar.doExecute(),
org.apache.ivy.core.IvyContext.getContext(),
org.apache.ivy.util.XMLHelper.escape(String),
"org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorWriter.printDependencyExcludeRules(ModuleDescriptor, PrintWriter, ExcludeRule[])",
"org.apache.ivy.ant.IvyBuildList.filterModulesFromLeaf(Collection, List)",
"org.apache.ivy.ant.IvyBuildList.filterModulesFromRoot(Collection, List)",
org.apache.ivy.plugins.repository.vsftp.VsftpRepository.list(String),
org.apache.ivy.util.Message.debug(String),
"org.apache.ivy.ant.IvyBuildList.convertModuleNamesToModuleDescriptors(Collection, Set, String)",
"org.apache.ivy.plugins.resolver.IBiblioResolver.listResources(Repository, ModuleRevisionId, String, Artifact)",MyIssue-43
"org.apache.ivy.plugins.resolver.util.ResolverHelper.listAll(Repository, String)",
"org.apache.ivy.plugins.resolver.AbstractPatternsBasedResolver.listTokenValues(String[], Map)",
"org.apache.ivy.core.resolve.ResolveEngine.resolve(URL, ResolveOptions)",
"org.apache.ivy.core.sort.SortEngine.sortNodes(Collection, SortOptions)",MyIssue-11
org.apache.ivy.core.repository.RepositoryManagementEngine.getDependency(DependencyDescriptor),
"org.apache.ivy.plugins.repository.ssh.SshRepository.put(File, String, boolean)",
org.apache.ivy.core.report.ResolveReport.getAllProblemMessages(),
org.apache.ivy.ant.IvyArtifactProperty.doExecute(),
"org.apache.ivy.util.extendable.UnmodifiableExtendableItem.setStandardAttribute(String, String)",
"org.apache.ivy.plugins.repository.ssh.SshCache.getSession(String, int, String, String, File, String, File)",
org.apache.ivy.ant.AntCallTrigger.progress(IvyEvent),
"org.apache.ivy.core.search.SearchEngine.listModules(ModuleRevisionId, PatternMatcher)",
org.apache.ivy.ant.IvyBuildNumber.doExecute(),"MyIssue-1, IVY-1019"
org.apache.ivy.core.settings.IvySettings.dumpSettings(),
org.apache.ivy.util.MessageLoggerHelper.sumupProblems(MessageLogger),
org.apache.ivy.plugins.repository.vsftp.VsftpRepository.ensureConnectionOpened(),
org.apache.ivy.ant.IvyCheck.doExecute(),
"org.apache.ivy.plugins.resolver.AbstractPatternsBasedResolver.findResourceUsingPatterns(ModuleRevisionId, List, Artifact, ResourceMDParser, Date)",
"org.apache.ivy.util.CredentialsUtil.promptCredentials(Credentials, File)",
org.apache.ivy.util.cli.Option.parse(ListIterator),
"org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorWriter.printAllMediators(ModuleDescriptor, PrintWriter)",
"org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorWriter.printDependencyIncludeRules(ModuleDescriptor, PrintWriter, IncludeRule[])",
"org.apache.ivy.core.IvyPatternHelper.substituteParams(String, IvyVariableContainer, Stack)",MyIssue-2
"org.apache.ivy.core.report.ConfigurationResolveReport.getArtifactsReports(DownloadStatus, boolean)",
"org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorWriter.write(ModuleDescriptor, String, File)",
org.apache.ivy.plugins.resolver.BasicResolver.reportFailure(),
org.apache.ivy.util.Configurator.endCreateChild(),
"org.apache.ivy.plugins.resolver.util.ResolverHelper.listAll(URLLister, URL)",
org.apache.ivy.plugins.resolver.FileSystemResolver.checkSupportTransaction(),
org.apache.ivy.util.FileUtil.forceDelete(File),
"org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorWriter.printDependencyArtefacts(ModuleDescriptor, PrintWriter, DependencyArtifactDescriptor[])",
"org.apache.ivy.core.retrieve.RetrieveEngine.sync(Collection, Collection)",
org.apache.ivy.Main.getParser(),
"org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor.checkConf(Stack, String)",
