hash,author,date,title,file,methods
7df11e15,Nicolas Lalevee,2012-08-22 00:14:07,"Fixing tests: when trying to convert an url to a file, try first new File(new URI(url.toExternalForm())), then new File(url.getPath())",src/java/org/apache/ivy/plugins/resolver/BasicResolver.java,"getArtifactRef(Artifact,Date)->getArtifactRef(Artifact,Date)"
7df11e15,Nicolas Lalevee,2012-08-22 00:14:07,"Fixing tests: when trying to convert an url to a file, try first new File(new URI(url.toExternalForm())), then new File(url.getPath())",src/java/org/apache/ivy/plugins/resolver/util/FileURLLister.java,listAll(URL)->listAll(URL)
32ed6601,Nicolas Lalevee,2012-08-22 00:13:04,Try to be a little more tolerent on the file name,src/java/org/apache/ivy/util/FileUtil.java,
a759e78d,Nicolas Lalevee,2012-08-21 22:16:06,Fix tests: properly set the ivy settings dir url,src/java/org/apache/ivy/core/settings/IvySettings.java,setSettingsVariables(URL)->setSettingsVariables(URL)
a759e78d,Nicolas Lalevee,2012-08-21 22:16:06,Fix tests: properly set the ivy settings dir url,test/java/org/apache/ivy/core/resolve/ResolveTest.java,testExternalArtifacts()->testExternalArtifacts(); testCompressed()->[None]; [None]->testUncompress()
a759e78d,Nicolas Lalevee,2012-08-21 22:16:06,Fix tests: properly set the ivy settings dir url,test/java/org/apache/ivy/core/retrieve/RetrieveTest.java,testUncompress()->testUncompress(); testUncompressSync()->testUncompressSync()
0ff7c091,Nicolas Lalevee,2012-08-21 20:07:09,"Fix tests: we need the url of the parent dir, not the url of the ivysettings...",src/java/org/apache/ivy/core/settings/IvySettings.java,setSettingsVariables(File)->setSettingsVariables(File)
54fdc54d,Nicolas Lalevee,2012-08-21 19:40:50,Properly build the url pattern,test/java/org/apache/ivy/plugins/resolver/URLResolverTest.java,testLatestFileWithOpaqueURL()->testLatestFileWithOpaqueURL()
14d6a096,Nicolas Lalevee,2012-08-21 19:34:05,"Fix tests: don't urlify the pattern, only the root",test/java/org/apache/ivy/plugins/resolver/PackagerResolverTest.java,testTarResourceInclusion()->testTarResourceInclusion(); testFile()->testFile(); testZipResourceInclusion()->testZipResourceInclusion()
b9a22fb6,Nicolas Lalevee,2012-08-21 19:28:03,fix encoding of e with acute,test/java/org/apache/ivy/plugins/report/XmlReportWriterTest.java,testWriteOrigin()->testWriteOrigin()
ac11ad35,Nicolas Lalevee,2012-08-21 18:55:01,Fix the buggy use to File.toURL(),src/java/org/apache/ivy/Ivy.java,"[None]->resolve(File,ResolveOptions)"
ac11ad35,Nicolas Lalevee,2012-08-21 18:55:01,Fix the buggy use to File.toURL(),src/java/org/apache/ivy/osgi/repo/FSManifestIterable.java,buildBundleURI(Object)->buildBundleURI(Object)
ac11ad35,Nicolas Lalevee,2012-08-21 18:55:01,Fix the buggy use to File.toURL(),test/java/org/apache/ivy/IvyTest.java,testMultipleInstances()->testMultipleInstances()
ac11ad35,Nicolas Lalevee,2012-08-21 18:55:01,Fix the buggy use to File.toURL(),test/java/org/apache/ivy/TestFixture.java,resolve(String)->resolve(String)
ac11ad35,Nicolas Lalevee,2012-08-21 18:55:01,Fix the buggy use to File.toURL(),test/java/org/apache/ivy/ant/IvyConfigureTest.java,testURL()->testURL()
ac11ad35,Nicolas Lalevee,2012-08-21 18:55:01,Fix the buggy use to File.toURL(),test/java/org/apache/ivy/ant/IvyDeliverTest.java,testWithDynEvicted()->testWithDynEvicted(); testReplaceBranch()->testReplaceBranch(); testWithResolveId()->testWithResolveId(); testWithDynEvicted2()->testWithDynEvicted2(); testDifferentRevisionsForSameModule()->testDifferentRevisionsForSameModule(); testSimple()->testSimple(); testNoReplaceDynamicRev()->testNoReplaceDynamicRev(); testWithResolveIdInAnotherBuild()->testWithResolveIdInAnotherBuild(); testNotGenerateRevConstraint()->testNotGenerateRevConstraint(); testReplaceBranchInfo()->testReplaceBranchInfo(); testWithBranch()->testWithBranch(); testWithExtraAttributes()->testWithExtraAttributes()
ac11ad35,Nicolas Lalevee,2012-08-21 18:55:01,Fix the buggy use to File.toURL(),test/java/org/apache/ivy/ant/IvyInstallTest.java,testInstallWithClassifiers()->testInstallWithClassifiers()
ac11ad35,Nicolas Lalevee,2012-08-21 18:55:01,Fix the buggy use to File.toURL(),test/java/org/apache/ivy/ant/IvyPublishTest.java,testNoDeliver()->testNoDeliver(); testCustom()->testCustom(); testSimple()->testSimple(); testNoDeliverWithBranch()->testNoDeliverWithBranch(); testPublishNotAllConfigs()->testPublishNotAllConfigs(); testForceDeliver()->testForceDeliver()
ac11ad35,Nicolas Lalevee,2012-08-21 18:55:01,Fix the buggy use to File.toURL(),test/java/org/apache/ivy/core/TestPerformance.java,testPerfs()->testPerfs()
ac11ad35,Nicolas Lalevee,2012-08-21 18:55:01,Fix the buggy use to File.toURL(),test/java/org/apache/ivy/core/deliver/DeliverTest.java,testIVY1111()->testIVY1111()
ac11ad35,Nicolas Lalevee,2012-08-21 18:55:01,Fix the buggy use to File.toURL(),test/java/org/apache/ivy/core/publish/PublishEventsTest.java,setUp()->setUp()
