method1,method2,method_score1,method_score2,space_size1,space_size2,space_score1,space_score2
"org.apache.ivy.plugins.resolver.IBiblioResolver.listResources(Repository, ModuleRevisionId, String, Artifact)","org.apache.ivy.plugins.resolver.IBiblioResolver.listResources(Repository, ModuleRevisionId, String, Artifact)",0.08756134726024029,0.08142671895756995,4,,0.056599384037957376,
"org.apache.ivy.plugins.parser.m2.PomModuleDescriptorParser.parseDescriptor(ParserSettings, URL, Resource, boolean)","org.apache.ivy.plugins.parser.m2.PomModuleDescriptorParser.parseDescriptor(ParserSettings, URL, Resource, boolean)",0.3597624875392621,0.36286653346980496,58,162,0.09543172655472473,0.04563113153604233
"org.apache.ivy.Main.run(CommandLineParser, String[])","org.apache.ivy.Main.run(CommandLineParser, String[])",0.27411771417818936,0.26245183307120146,,5,,0.07518845533427834
org.apache.ivy.ant.IvyRetrieve.doExecute(),org.apache.ivy.ant.IvyRetrieve.doExecute(),0.0712974375474087,0.12750042322653163,12,10,0.14312215531529152,0.12040159986729634
"org.apache.ivy.core.retrieve.RetrieveEngine.retrieve(ModuleRevisionId, String, RetrieveOptions)","org.apache.ivy.core.retrieve.RetrieveEngine.retrieve(ModuleRevisionId, RetrieveOptions)",0.2498194497740094,0.2702185604990631,20,23,0.07548814620526938,0.06301753041889893
"org.apache.ivy.util.FileUtil.copy(File, File, CopyProgressListener, boolean)","org.apache.ivy.util.FileUtil.copy(File, File, CopyProgressListener, boolean)",0.06554185345909035,0.041437868466819384,47,32,0.1041269632615304,0.06600930487152583
"org.apache.ivy.util.FileUtil.symlink(File, File, CopyProgressListener, boolean)","org.apache.ivy.util.FileUtil.symlink(File, File, CopyProgressListener, boolean)",0.11930200098502944,0.07997615296710138,,,,
org.apache.ivy.ant.IvyCacheFileset.doExecute(),org.apache.ivy.ant.IvyCacheFileset.doExecute(),0.09892193608305823,0.0748423671578895,,,,
org.apache.ivy.ant.IvyRetrieve.doExecute(),org.apache.ivy.ant.IvyRetrieve.doExecute(),0.0712974375474087,0.12750042322653163,12,10,0.14312215531529152,0.12040159986729634
"org.apache.ivy.core.retrieve.RetrieveEngine.retrieve(ModuleRevisionId, String, RetrieveOptions)","org.apache.ivy.core.retrieve.RetrieveEngine.retrieve(ModuleRevisionId, String, RetrieveOptions)",0.2498194497740094,0.010449935993736052,20,,0.07548814620526938,
"org.apache.ivy.core.settings.XmlSettingsParser.cachesStarted(String, Map)","org.apache.ivy.core.settings.XmlSettingsParser.cachesStarted(String, Map)",0.07299937120996543,0.05997314667475879,3,3,0.08241776366171699,0.06568216218201806
"org.apache.ivy.core.settings.XmlSettingsParser.settingsStarted(String, Map)","org.apache.ivy.core.settings.XmlSettingsParser.settingsStarted(String, Map)",0.13071458303004366,0.09963001576042994,2,2,0.14882161643839445,0.11532660013798576
org.apache.ivy.plugins.resolver.IBiblioResolver.updateWholePattern(),org.apache.ivy.plugins.resolver.IBiblioResolver.updateWholePattern(),0.0176726196316021,0.015664926376058062,,,,
org.apache.ivy.util.url.BasicURLHandler.disconnect(URLConnection),org.apache.ivy.util.url.BasicURLHandler.disconnect(URLConnection),0.030258606879873105,0.02720526893052425,5,4,0.05900255106172094,0.055086730555418635
org.apache.ivy.ant.IvyBuildNumber.doExecute(),org.apache.ivy.ant.IvyBuildNumber.doExecute(),0.08228572735065316,0.1533027724115734,,6,,0.07250413612067723
"org.apache.ivy.plugins.resolver.AbstractPatternsBasedResolver.findResource(ResolvedResource[], ResourceMDParser, ModuleRevisionId, Date)","org.apache.ivy.plugins.resolver.AbstractPatternsBasedResolver.findResource(ResolvedResource[], ResourceMDParser, ModuleRevisionId, Date)",0.1908244459049333,0.012870294346023766,51,36,0.08183305690311395,0.061139675517722133
"org.apache.ivy.plugins.resolver.util.ResolverHelper.findAll(Repository, ModuleRevisionId, String, Artifact)","org.apache.ivy.plugins.resolver.util.ResolverHelper.findAll(Repository, ModuleRevisionId, String, Artifact)",0.11109999407917279,0.08719178200916892,16,50,0.04875184468285185,0.05301042117013159
