method,Layer,Size,Depth,Width,LOC,Cyclomatic,FanIn,FanOut,Loop,Time,OwnTime,Count,N_Layer,N_Size,N_Depth,N_Width,N_LOC,N_Cyclomatic,N_FanIn,N_FanOut,N_Loop,N_Time,N_OwnTime,N_Count,score
"org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorWriter.printInfoTag(ModuleDescriptor, PrintWriter)",4,112,9,67,77,17,4,35,3,908,31,744,0.8260869565217391,0.05784262636789995,0.24324324324324326,0.08004778972520908,0.42857142857142855,0.45714285714285713,0.011695906432748537,0.4430379746835443,0.2727272727272727,0.0039324042234367826,0.0047184170471841706,3.322538734406986e-05,0.1617543589622255
"org.apache.ivy.core.publish.PublishEngine.publish(ModuleRevisionId, Collection, String, PublishOptions)",15,293,14,46,87,13,13,59,0,1835,0,37,0.34782608695652173,0.1521625846795206,0.3783783783783784,0.054958183990442055,0.4857142857142857,0.34285714285714286,0.038011695906432746,0.7468354430379747,1e-13,0.007947094438333146,1e-13,1.6098438013277454e-06,0.16165097034677073
org.apache.ivy.ant.IvyDeliver.doExecute(),22,287,15,67,89,19,17,40,0,1241,0,40,0.04347826086956519,0.14903595622720167,0.40540540540540543,0.08004778972520908,0.49714285714285716,0.5142857142857142,0.049707602339181284,0.5063291139240507,1e-13,0.005374574494807321,1e-13,1.743997451438391e-06,0.15689840246650594
"org.apache.ivy.core.search.SearchEngine.findModuleRevisionIds(DependencyResolver, ModuleRevisionId, PatternMatcher)",22,207,15,46,76,15,4,36,3,2,0,4,0.04347826086956519,0.10734757686294945,0.40540540540540543,0.054958183990442055,0.4228571428571429,0.4,0.011695906432748537,0.45569620253164556,0.2727272727272727,8.661683311534763e-06,1e-13,1.3415365011064545e-07,0.1562978764516566
org.apache.ivy.core.cache.DefaultRepositoryCacheManager.getSavedArtifactOrigin(Artifact),10,425,24,117,81,16,12,38,1,21347,83,5221,0.5652173913043479,0.22094841063053675,0.6486486486486487,0.13978494623655913,0.4514285714285714,0.42857142857142855,0.03508771929824561,0.4810126582278481,0.09090909090909091,0.0924504768256663,0.012633181126331812,0.0002334273511925231,0.15561062263490405
org.apache.ivy.ant.IvyBuildNumber.doExecute(),22,269,15,46,84,16,8,34,2,254,0,16,0.04347826086956519,0.13965607087024492,0.40540540540540543,0.054958183990442055,0.4685714285714286,0.42857142857142855,0.023391812865497075,0.43037974683544306,0.18181818181818182,0.001100033780564915,1e-13,6.707682505532273e-07,0.1533027724115734
"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.doFindModuleInCache(ModuleRevisionId, CacheMetadataOptions, String)",15,414,19,91,92,15,8,42,0,25619,73,4540,0.34782608695652173,0.21521625846795206,0.5135135135135135,0.1087216248506571,0.5142857142857142,0.4,0.023391812865497075,0.5316455696202531,1e-13,0.11095183237910455,0.011111111111111112,0.00020297447261740658,0.15297060299366042
"org.apache.ivy.core.resolve.ResolveEngine.doFetchDependencies(VisitNode, String)",17,471,13,94,46,13,4,24,4,140430,30,4836,0.26086956521739135,0.24491922876498176,0.35135135135135137,0.11230585424133811,0.25142857142857145,0.34285714285714286,0.011695906432748537,0.3037974683544304,0.36363636363636365,0.6081800937194134,0.0045662100456621,0.00021621096609499027,0.15210129767907582
"org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor.transformInstance(ModuleDescriptor, Namespace)",6,120,8,34,56,7,10,51,4,1064,1,1479,0.7391304347826086,0.06201146430432517,0.21621621621621623,0.04062126642771804,0.30857142857142855,0.17142857142857143,0.029239766081871343,0.6455696202531646,0.36363636363636365,0.004608015521736494,0.00015220700152207003,6.6093031621178e-05,0.15205733092825618
org.apache.ivy.osgi.core.ManifestParser.parseManifest(Manifest),1,463,25,86,79,12,29,32,3,301,9,504,0.9565217391304348,0.24075039082855654,0.6756756756756757,0.1027479091995221,0.44,0.3142857142857143,0.0847953216374269,0.4050632911392405,0.2727272727272727,0.0013035833383859819,0.0013698630136986301,2.249309533521822e-05,0.15190909147953707
"org.apache.ivy.plugins.resolver.BasicResolver.findResource(ResolvedResource[], ResourceMDParser, ModuleRevisionId, Date)",15,241,19,52,80,14,6,45,1,1803,11,603,0.34782608695652173,0.12506513809275666,0.5135135135135135,0.06212664277180406,0.44571428571428573,0.37142857142857144,0.017543859649122806,0.569620253164557,0.09090909090909091,0.0078085075053485895,0.0016742770167427702,2.6920165788869524e-05,0.14993707374458226
"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.downloadRepositoryResource(Resource, String, String, String, CacheResourceOptions, Repository)",22,292,15,41,81,10,10,43,0,184087,6,571,0.04347826086956519,0.15164147993746743,0.40540540540540543,0.04898446833930705,0.4514285714285714,0.2571428571428571,0.029239766081871343,0.5443037974683544,1e-13,0.79725164788525,0.0009132420091324201,2.5489193521022638e-05,0.1498128461063544
"org.apache.ivy.osgi.repo.AbstractOSGiResolver.findResource(ResolvedResource[], ResourceMDParser, ModuleRevisionId, Date)",22,361,25,81,52,15,11,25,5,79,0,103,0.04347826086956519,0.18759770713913496,0.6756756756756757,0.0967741935483871,0.2857142857142857,0.4,0.03216374269005848,0.31645569620253167,0.45454545454545453,0.0003421364908056232,1e-13,4.5612241037619454e-06,0.1489024145866798
