class path,method name,method arguments,Time,OwnTime,count
src\java\org\apache\ivy\core\resolve\IvyNode.java,getEvictedRevisions,"ModuleId, String",85,3,4363
src\java\org\apache\ivy\core\module\descriptor\License.java,<init>,"String, String",0,0,26
src\java\org\apache\ivy\core\install\InstallOptions.java,<init>,,0,0,39
src\java\org\apache\ivy\ant\IvyReport.java,getOutputPattern,"String, String",61,0,18
src\java\org\apache\ivy\Main.java,getParser,,5,0,4
src\java\org\apache\ivy\core\event\download\EndArtifactDownloadEvent.java,<init>,"DependencyResolver, Artifact, ArtifactDownloadReport, File",172,16,1111
src\java\org\apache\ivy\core\resolve\IvyNode.java,getDependencies,"String, String[]",1226,7,1459
src\java\org\apache\ivy\plugins\resolver\AbstractPatternsBasedResolver.java,resolveTokenValues,"String[], String, Map, boolean",102,3,151
src\java\org\apache\ivy\ant\IvyResolve.java,setKeep,boolean,0,0,49
src\java\org\apache\ivy\plugins\resolver\AbstractPatternsBasedResolver.java,findArtifactRef,"Artifact, Date",1609,5,1523
src\java\org\apache\ivy\plugins\resolver\AbstractPatternsBasedResolver.java,addArtifactPattern,String,0,0,66
test\java\org\apache\ivy\ant\IvyResolveTest.java,<init>,,0,0,23
test\java\org\apache\ivy\util\MockMessageLogger.java,log,"String, int",464,88,59001
src\java\org\apache\ivy\plugins\resolver\CacheResolver.java,<init>,,1,0,45
src\java\org\apache\ivy\Ivy.java,publish,"ModuleRevisionId, Collection, String, PublishOptions",763,0,18
src\java\org\apache\ivy\core\module\descriptor\DefaultDependencyDescriptor.java,getDependencyId,,2,2,14367
src\java\org\apache\ivy\core\event\EventManager.java,fireIvyEvent,IvyEvent,1108,4,8826
src\java\org\apache\ivy\core\event\retrieve\StartRetrieveEvent.java,<init>,"ModuleRevisionId, String[], RetrieveOptions",117,0,29
src\java\org\apache\ivy\util\Credentials.java,getPasswdAsStars,,0,0,19
src\java\org\apache\ivy\plugins\repository\url\URLResource.java,init,,25879,2,1900
test\java\org\apache\ivy\ant\IvyCachePathTest.java,testInline2,,263,0,1
