class path,method name,method arguments,Time,OwnTime,count
lang\java\avro\src\main\java\org\apache\avro\reflect\ReflectDatumWriter.java,write,"Schema, Object, Encoder",137,0,391
lang\java\avro\src\main\java\org\apache\avro\io\Encoder.java,writeString,CharSequence,737,34,147613
lang\java\avro\src\main\java\org\apache\avro\file\DataFileReader.java,sync,long,61,3,125
lang\java\avro\src\main\java\org\apache\avro\Schema.java,hashCode,,138,3,24198
lang\java\avro\src\test\java\org\apache\avro\TestCircularReferences.java,read,"GenericData, Schema, File",58,0,1
lang\java\avro\src\test\java\org\apache\avro\io\TestBlockingIO.java,testSkip,"int, int, String, int",58,0,282
lang\java\avro\src\main\java\org\apache\avro\io\EncoderFactory.java,blockingBinaryEncoder,"OutputStream, BinaryEncoder",80,1,4300
lang\java\avro\src\main\java\org\apache\avro\io\JsonEncoder.java,getJsonGenerator,"OutputStream, boolean",107,5,3853
lang\java\avro\src\main\java\org\apache\avro\io\BinaryEncoder.java,writeString,Utf8,62,8,31130
lang\java\avro\src\main\java\org\apache\avro\io\JsonDecoder.java,configure,InputStream,91,3,3847
lang\java\avro\src\main\java\org\apache\avro\file\DeflateCodec.java,writeAndClose,"ByteBuffer, OutputStream",59,2,2233
lang\java\avro\src\main\java\org\apache\avro\io\parsing\JsonGrammarGenerator.java,generate,"Schema, Map",121,17,18124
lang\java\avro\src\main\java\org\apache\avro\io\BinaryEncoder.java,writeBytes,"byte[], int, int",62,15,32389
lang\java\avro\src\main\java\org\apache\avro\io\DecoderFactory.java,binaryDecoder,"byte[], int, int, BinaryDecoder",79,6,14657
lang\java\avro\src\main\java\org\apache\avro\file\DataFileReader.java,blockFinished,,53,2,3920
lang\java\avro\src\main\java\org\apache\avro\io\BinaryDecoder.java,doReadBytes,"byte[], int, int",70,45,255333
lang\java\avro\src\main\java\org\apache\avro\Schema.java,toString,,670,0,1430
lang\java\avro\src\main\java\org\apache\avro\generic\GenericData.java,getField,"Object, String, int, Object",47,33,133088
lang\java\avro\src\main\java\org\apache\avro\file\DataFileWriter.java,appendTo,"SeekableInput, OutputStream",44,0,68
lang\java\avro\src\main\java\org\apache\avro\Schema.java,getOptionalText,"JsonNode, String",52,9,40499
lang\java\avro\src\main\java\org\apache\avro\io\parsing\ResolvingGrammarGenerator.java,resolveUnion,"Schema, Schema, Map",90,5,2237
lang\java\avro\src\main\java\org\apache\avro\generic\GenericData.java,newRecord,"Object, Schema",76,20,106816
lang\java\avro\src\main\java\org\apache\avro\file\SeekableFileInput.java,tell,,46,2,3940
lang\java\avro\src\test\java\org\apache\avro\TestSchemaBuilder.java,testFieldTypesAndDefaultValues,,41,0,1
lang\java\avro\src\main\java\org\apache\avro\file\DeflateCodec.java,decompress,ByteBuffer,41,2,1472
