method,layer,size,upperDepth,upperWidth,lowerDepth,lowerWidth
org.apache.avro.Schema.createRecord(List),4,66,5,22,4,3
org.apache.avro.generic.GenericDatumReader.GenericDatumReader(),0,128,8,30,0,0
org.apache.avro.io.BinaryEncoder.writeMapEnd(),9,2,0,0,1,1
"org.apache.avro.generic.GenericDatumReader.readFixed(Object, Schema, Decoder)",5,70,4,32,2,4
"org.apache.avro.io.DatumWriter.write(D, Encoder)",0,143,9,31,0,0
org.apache.avro.ipc.ByteBufferOutputStream.write(int),-1,1,0,0,0,0
org.apache.avro.Protocol.Message.hashCode(),9,3,0,0,2,1
"org.apache.avro.RandomData.RandomData(Schema, int, long)",0,2,1,1,0,0
org.apache.avro.generic.GenericDatumWriter.getArraySize(Object),3,59,6,19,1,1
org.apache.avro.Schema.Field.Order.valueOf(),4,40,4,20,0,0
org.apache.avro.file.DataFileWriter.init(OutputStream),1,114,8,28,2,6
"org.apache.avro.ipc.stats.StatsPlugin.publish(RPCContext, Stopwatch)",9,11,2,1,4,4
org.apache.avro.io.BinaryDecoder.mapNext(),5,86,6,27,5,3
org.apache.avro.io.BinaryEncoder.writeEnum(int),9,2,0,0,1,1
org.apache.avro.ipc.SocketTransceiver.close(),9,214,11,59,1,1
"org.apache.avro.io.parsing.JsonGrammarGenerator.generate(Schema, Map)",9,23,0,0,4,11
org.apache.avro.io.JsonEncoder.writeArrayStart(),9,9,0,0,3,3
"org.apache.avro.file.DataFileWriter.setMetaInternal(String, byte[])",9,5,2,1,2,1
org.apache.avro.file.DataFileStream.DataFileStream(DatumReader),6,89,7,29,0,0
org.apache.avro.ipc.LocalTransceiver.transceive(List),9,209,0,0,10,59
org.apache.avro.ipc.SocketTransceiver.writeLength(int),9,2,1,1,0,0
org.apache.avro.io.Perf.ReadDouble.ReadDouble(),9,9,3,6,0,0
org.apache.avro.util.Utf8.Utf8(String),0,197,9,59,0,0
org.apache.avro.io.Perf.ReadBoolean.ReadBoolean(),9,9,3,6,0,0
org.apache.avro.reflect.ReflectResponder.getDatumWriter(Schema),9,8,0,0,5,2
org.apache.avro.specific.SpecificCompiler.main(String[]),9,44,0,0,5,31
org.apache.avro.io.BinaryDecoder.init(InputStream),9,10,1,1,4,3
"org.apache.avro.io.JsonDecoder.doAction(Symbol, Symbol)",9,4,0,0,2,2
"org.apache.avro.generic.GenericDatumWriter.writeEnum(Schema, Object, Encoder)",3,59,5,24,2,2
"org.apache.avro.ipc.Responder.writeError(Schema, AvroRemoteException, Encoder)",6,208,10,59,0,0
"org.apache.avro.generic.GenericDatumReader.addToArray(Object, long, Object)",5,70,5,32,1,1
org.apache.avro.util.Utf8.toString(),0,277,9,74,0,0
"org.apache.avro.reflect.ReflectResponder.ReflectResponder(Protocol, Object)",9,26,0,0,11,9
"org.apache.avro.tool.GenAvroTool.run(InputStream, PrintStream, PrintStream, List)",9,21,0,0,7,9
org.apache.avro.io.Perf.main(String[]),9,9,0,0,2,7
org.apache.avro.io.ParsingEncoder.depth(),0,12,4,3,0,0
org.apache.avro.generic.GenericData.isMap(Object),2,13,3,10,0,0
org.apache.avro.ipc.stats.Histogram.TreeMapSegmenter.segment(T),9,2,0,0,1,1
org.apache.avro.specific.ProtocolTask.execute(),9,46,0,0,7,31
"org.apache.avro.tool.RpcReceiveTool.run1(InputStream, PrintStream, PrintStream, List)",9,265,3,1,10,58
org.apache.avro.io.ParsingDecoder.skipFixed(),9,15,2,13,0,0
org.apache.avro.ipc.Responder.getLocal(),6,208,10,59,0,0
org.apache.avro.io.ResolvingDecoder.readLong(),5,70,4,32,3,4
org.apache.avro.io.BinaryDecoder.ByteArrayByteSource.skipSourceBytes(long),9,5,0,0,2,3
org.apache.avro.ipc.RPCPlugin.clientStartConnect(RPCContext),6,85,9,30,0,0
org.apache.avro.reflect.ReflectDatumReader.ReflectDatumReader(Schema),2,25,6,11,2,1
org.apache.avro.io.BlockingBinaryEncoder.BlockedValue.BlockedValue(),0,2,1,1,0,0
org.apache.avro.file.DataFileReader.SeekableInputStream.length(),9,3,1,1,1,1
"org.apache.avro.Protocol.Protocol(String, String)",5,55,6,21,0,0
"org.apache.avro.ipc.Responder.writeResponse(Schema, Object, Encoder)",6,208,10,59,0,0
org.apache.avro.io.DecoderFactory.configureDecoderBufferSize(int),-1,1,0,0,0,0
org.apache.avro.io.BinaryEncoder.writeBoolean(boolean),-1,1,0,0,0,0
org.apache.avro.ipc.ByteBufferOutputStream.write(ByteBuffer),-1,1,0,0,0,0
org.apache.avro.io.ValidatingDecoder.skipMap(),9,12,0,0,3,4
"org.apache.avro.ipc.HttpServer.HttpServer(Responder, int)",9,32,13,9,1,2
org.apache.avro.file.DataFileWriter.assertOpen(),2,41,6,13,1,1
"org.apache.avro.tool.RpcReceiveTool.SinkResponder.respond(Message, Object)",9,84,0,0,7,29
"org.apache.avro.io.parsing.Symbol.SkipAction.flatten(Map, Map)",9,3,0,0,1,2
org.apache.avro.reflect.ReflectDatumWriter.getArrayElements.(Anon_1).next(),-1,1,0,0,0,0
"org.apache.avro.ipc.Requestor.Requestor(Protocol, Transceiver)",0,3,1,2,0,0
"org.apache.avro.ipc.Requestor.request(String, Object)",6,346,10,24,9,59
org.apache.avro.ipc.stats.FloatHistogram.add(Float),9,3,0,0,2,1
"org.apache.avro.io.ValidatingEncoder.writeFixed(byte[], int, int)",9,9,0,0,3,4
org.apache.avro.Schema.LockableArrayList.ensureUnlocked(),0,9,1,8,0,0
org.apache.avro.io.BinaryDecoder.BinaryDecoder(),3,3,2,1,0,0
"org.apache.avro.io.BinaryDecoder.ByteArrayByteSource.compactAndFill(byte[], int, int, int)",9,2,0,0,1,1
org.apache.avro.ipc.SocketServer.main(String[]),9,2,0,0,1,1
org.apache.avro.file.DeflateCodec.equals(Object),-1,1,0,0,0,0
org.apache.avro.SchemaParseException.SchemaParseException(String),1,51,3,27,1,1
org.apache.avro.ipc.ByteBufferInputStream.ByteBufferInputStream(List),0,233,10,59,0,0
org.apache.avro.io.Perf.ReadLongSmall.ReadLongSmall(ReadInt),9,9,3,6,0,0
"org.apache.avro.generic.GenericRecord.put(String, Object)",9,19,3,12,0,0
org.apache.avro.file.DataFileStream.hasNext(),8,33,2,2,5,8
org.apache.avro.Schema.createArray(Schema),2,44,5,17,2,1
org.apache.avro.io.ValidatingDecoder.skipFixed(),9,9,0,0,3,3
org.apache.avro.Schema.UnionSchema.equals(Object),-1,1,0,0,0,0
"org.apache.avro.io.BinaryData.compareBytes(byte[], int, int, byte[], int, int)",0,30,4,17,0,0
org.apache.avro.generic.GenericData.isArray(Object),2,13,3,10,0,0
org.apache.avro.file.DataFileStream.blockFinished(),8,33,7,8,0,0
org.apache.avro.util.Utf8.compareTo(Utf8),9,2,0,0,1,1
"org.apache.avro.file.DataFileReader.DataFileReader(SeekableInput, DatumReader)",6,104,4,6,6,29
"org.apache.avro.file.DataFileStream.DataBlock.DataBlock(long, int)",3,17,6,5,0,0
org.apache.avro.io.ValidatingDecoder.skipFixed(int),9,10,0,0,4,3
org.apache.avro.io.Encoder.writeString(Utf8),0,12,4,4,0,0
org.apache.avro.Schema.getEnumSymbols(),1,95,6,43,1,1
org.apache.avro.specific.SpecificCompiler.params(Schema),2,28,3,13,3,5
"org.apache.avro.reflect.ReflectDatumReader.getField(Object, String, int)",9,4,0,0,3,1
org.apache.avro.Schema.UnionSchema.UnionSchema(LockableArrayList),2,42,4,21,1,5
org.apache.avro.io.parsing.Symbol.EnumLabelsAction.findLabel(String),9,13,5,4,0,0
"org.apache.avro.generic.GenericDatumWriter.writeFixed(Schema, Object, Encoder)",3,59,5,23,2,3
"org.apache.avro.io.parsing.Symbol.ResolvingAction.ResolvingAction(Symbol, Symbol)",0,4,2,2,0,0
org.apache.avro.io.JsonDecoder.readNull(),9,11,0,0,4,4
org.apache.avro.util.Utf8.setLength(int),0,14,5,5,0,0
org.apache.avro.ipc.ByteBufferOutputStream.writeBuffer(ByteBuffer),9,4,2,1,1,1
org.apache.avro.io.ResolvingDecoder.readDouble(),5,70,4,31,3,5
"org.apache.avro.io.ResolvingDecoder.doAction(Symbol, Symbol)",9,25,0,0,6,8
org.apache.avro.ipc.stats.Stopwatch.elapsedNanos(),1,12,5,5,1,1
org.apache.avro.tool.Tool.getShortDescription(),9,5,2,3,0,0
org.apache.avro.io.DirectBinaryDecoder.doSkipBytes(long),-1,1,0,0,0,0
org.apache.avro.file.DataFileWriter.flush(),3,12,1,1,3,6
"org.apache.avro.reflect.ReflectDatumWriter.writeString(Object, Encoder)",9,5,2,1,1,2
"org.apache.avro.io.ValidatingDecoder.ValidatingDecoder(Schema, Decoder)",9,32,0,0,6,15
org.apache.avro.ipc.SocketTransceiver.getRemoteName(),0,3,1,2,0,0
"org.apache.avro.reflect.ReflectDatumWriter.ReflectDatumWriter(Schema, ReflectData)",2,26,6,11,3,2
org.apache.avro.tool.RpcReceiveTool.SinkResponder.respond.(Anon_1).run(),-1,1,0,0,0,0
"org.apache.avro.reflect.InduceSchemaTool.run(InputStream, PrintStream, PrintStream, List)",9,67,0,0,6,21
org.apache.avro.io.Encoder.init(OutputStream),0,115,9,30,0,0
org.apache.avro.Schema.LockableArrayList.addAll(Collection),9,2,0,0,1,1
org.apache.avro.io.BinaryDecoder.readBoolean(),6,218,10,59,1,1
org.apache.avro.Schema.EnumSchema.hashCode(),9,5,0,0,2,3
org.apache.avro.io.BinaryDecoder.skipFixed(int),9,28,3,17,2,1
org.apache.avro.Schema.Field.name(),0,187,5,72,0,0
"org.apache.avro.reflect.ReflectDatumReader.addToArray(Object, long, Object)",-1,1,0,0,0,0
"org.apache.avro.ipc.stats.StatsServlet.doGet(HttpServletRequest, HttpServletResponse)",9,14,0,0,4,9
org.apache.avro.file.DataFileReader.SeekableInputStream.seek(long),9,4,2,1,1,1
org.apache.avro.io.Decoder.readBytes(ByteBuffer),0,10,4,3,0,0
org.apache.avro.io.DirectBinaryDecoder.readBoolean(),-1,1,0,0,0,0
"org.apache.avro.specific.SpecificRequestor.SpecificRequestor(Class, Transceiver)",9,5,0,0,2,3
org.apache.avro.io.JsonEncoder.writeArrayEnd(),9,8,0,0,3,3
"org.apache.avro.specific.SpecificData.createSchema(java.lang.reflect.Type, Map)",3,41,5,9,3,11
org.apache.avro.ipc.HttpServer.getPort(),7,337,10,76,0,0
"org.apache.avro.io.parsing.Symbol.UnionAdjustAction.flatten(Map, Map)",9,3,0,0,1,2
