class path,method name,method arguments,Time,OwnTime,count
lang\java\avro\src\main\java\org\apache\avro\io\ValidatingDecoder.java,readNull,,0,0,3
lang\java\avro\src\main\java\org\apache\avro\io\BlockingBinaryEncoder.java,setItemCount,long,0,0,10
lang\java\ipc\src\test\java\org\apache\avro\ipc\stats\FakeTicks.java,<init>,,0,0,10
lang\java\ipc\src\main\java\org\apache\avro\ipc\DatagramTransceiver.java,writeBuffers,List,0,0,1
lang\java\avro\src\main\java\org\apache\avro\Protocol.java,parse,JsonNode,5,0,1
lang\java\ipc\src\main\java\org\apache\avro\ipc\generic\GenericResponder.java,<init>,Protocol,61,0,1
lang\java\ipc\src\main\java\org\apache\avro\ipc\NettyServer.java,<init>,"Responder, InetSocketAddress",23,0,1
lang\java\avro\src\main\java\org\apache\avro\file\DataFileWriter.java,setMetaInternal,"String, byte[]",0,0,4
lang\java\avro\src\main\java\org\apache\avro\io\parsing\Parser.java,pushSymbol,Symbol,0,0,11
lang\java\ipc\src\main\java\org\apache\avro\ipc\trace\StaticServlet.java,getResource,String,1,0,3
lang\java\avro\src\main\java\org\apache\avro\util\ByteBufferOutputStream.java,prepend,List,0,0,2
lang\java\avro\src\main\java\org\apache\avro\io\BinaryDecoder.java,readMapStart,,0,0,5
lang\java\avro\src\main\java\org\apache\avro\file\SeekableByteArrayInput.java,seek,long,0,0,9
lang\java\avro\src\main\java\org\apache\avro\io\DecoderFactory.java,binaryDecoder,"byte[], BinaryDecoder",0,0,1
lang\java\ipc\src\main\java\org\apache\avro\ipc\HttpTransceiver.java,readBuffers,InputStream,395,0,5
lang\java\ipc\src\main\java\org\apache\avro\ipc\NettyTransceiver.java,<init>,"InetSocketAddress, ChannelFactory",47,0,5
lang\java\avro\src\main\java\org\apache\avro\io\DecoderFactory.java,validatingDecoder,"Schema, Decoder",0,0,1
lang\java\ipc\src\main\java\org\apache\avro\ipc\LocalTransceiver.java,<init>,Responder,0,0,4
lang\java\avro\src\main\java\org\apache\avro\io\ValidatingDecoder.java,readString,,0,0,3
