method,Layer,Size,Depth,Width,LOC,Cyclomatic,FanIn,FanOut,Loop,Time,OwnTime,Count,N_Layer,N_Size,N_Depth,N_Width,N_LOC,N_Cyclomatic,N_FanIn,N_FanOut,N_Loop,N_Time,N_OwnTime,N_Count,score
"org.apache.avro.generic.GenericData.instanceOf(Schema, Object)",2,15,4,12,21,15,16,13,0,2,0,1241,0.8,0.03867403314917127,0.21052631578947367,0.12,0.20408163265306123,0.3684210526315789,0.22857142857142856,0.30952380952380953,1e-13,7.225329113741131e-06,1e-13,1.6831586121939168e-06,0.13882517441444622
"org.apache.avro.Protocol.parseMessage(String, JsonNode)",9,50,5,23,42,11,5,15,2,1,0,14,0.09999999999999998,0.13535911602209943,0.2631578947368421,0.23,0.41836734693877553,0.2631578947368421,0.07142857142857142,0.35714285714285715,0.5,3.6126645568705655e-06,1e-13,1.7646017708484612e-08,0.13876219397850914
org.apache.avro.io.BinaryDecoder.readLong(),2,14,6,6,58,12,6,5,0,1381,498,2516005,0.8,0.03591160220994475,0.3157894736842105,0.06,0.5816326530612245,0.2894736842105263,0.08571428571428572,0.11904761904761904,1e-13,0.004989089753038251,0.0031854671058943935,0.0034151885491244703,0.13506866804505205
org.apache.avro.file.DataFileStream.initialize(InputStream),5,90,7,31,27,6,11,20,2,288,2,218,0.5,0.24585635359116023,0.3684210526315789,0.31,0.2653061224489796,0.13157894736842105,0.15714285714285714,0.47619047619047616,0.5,0.001040447392378723,1.2793040585921259e-05,2.9455275713393544e-07,0.1288398223137096
org.apache.avro.Schema.create(Type),1,59,6,42,13,9,32,10,0,44,9,21781,0.9,0.16022099447513813,0.3157894736842105,0.42,0.12244897959183673,0.21052631578947367,0.45714285714285713,0.23809523809523808,1e-13,0.00015895724050230488,5.7568682636645664e-05,2.95638665915996e-05,0.12854508965402836
"org.apache.avro.reflect.ReflectData.getMessage(Method, Protocol, Map<String, Schema>)",5,55,10,22,32,9,7,16,3,14,0,34,0.5,0.14917127071823205,0.5263157894736842,0.22,0.3163265306122449,0.21052631578947367,0.1,0.38095238095238093,0.75,5.0577303796187913e-05,1e-13,4.47937372599994e-08,0.12597859685602106
"org.apache.avro.generic.GenericData.hashCode(Object, Schema)",3,31,5,15,26,9,14,14,2,0,0,42,0.7,0.08287292817679558,0.2631578947368421,0.15,0.25510204081632654,0.21052631578947367,0.2,0.3333333333333333,0.5,1e-13,1e-13,5.565282508060531e-08,0.12487021401583892
"org.apache.avro.tool.BinaryFragmentToJsonTool.run(InputStream, PrintStream, PrintStream, List<String>)",9,33,7,8,36,4,6,20,0,0,0,1,0.09999999999999998,0.08839779005524862,0.3684210526315789,0.08,0.35714285714285715,0.07894736842105263,0.08571428571428572,0.47619047619047616,1e-13,1e-13,1e-13,1e-13,0.12474937343359192
"org.apache.avro.ipc.Responder.handshake(Decoder, Encoder)",6,208,11,83,29,7,15,13,1,84,0,61,0.4,0.5718232044198895,0.5789473684210527,0.83,0.2857142857142857,0.15789473684210525,0.21428571428571427,0.30952380952380953,0.25,0.0003034638227771275,1e-13,8.144315865454435e-08,0.12095742961394364
org.apache.avro.file.DataFileWriter.appendTo(File),9,102,7,28,24,3,7,24,0,31,0,14,0.09999999999999998,0.27900552486187846,0.3684210526315789,0.28,0.23469387755102042,0.05263157894736842,0.1,0.5714285714285714,1e-13,0.00011199260126298753,1e-13,1.7646017708484612e-08,0.11984904858691629
