method,issue
org.apache.avro.specific.SpecificCompiler.type(Schema),AVRO-637
"org.apache.avro.ipc.Responder.handshake(Decoder, Encoder)",
org.apache.avro.Protocol.toJson(JsonGenerator),
"org.apache.avro.io.ResolvingDecoder.doAction(Symbol, Symbol)",
"org.apache.avro.file.DataFileWriter.create(Schema, OutputStream)",
org.apache.avro.ipc.HttpTransceiver.readBuffers(InputStream),
org.apache.avro.specific.SpecificCompiler.compileInterface(Protocol),
org.apache.avro.file.DataFileReader.sync(long),
"org.apache.avro.generic.GenericData.instanceOf(Schema, Object)",
org.apache.avro.reflect.ReflectData.getFields(Class),
org.apache.avro.file.DeflateCodec.decompress(ByteBuffer),
org.apache.avro.io.BinaryDecoder.readLong(),
org.apache.avro.Schema.create(Type),
"org.apache.avro.generic.GenericDatumReader.readArray(Object, Schema, ResolvingDecoder)",
org.apache.avro.ipc.Requestor.readHandshake(Decoder),
"org.apache.avro.tool.BinaryFragmentToJsonTool.run(InputStream, PrintStream, PrintStream, List<String>)",
"org.apache.avro.tool.DataFileReadTool.run(InputStream, PrintStream, PrintStream, List<String>)",
org.apache.avro.ipc.Requestor.writeHandshake(Encoder),
"org.apache.avro.specific.SpecificResponder.respond(Message, Object)",AVRO-512
"org.apache.avro.generic.GenericDatumReader.readMap(Object, Schema, ResolvingDecoder)",
org.apache.avro.file.DataFileWriter.appendTo(File),
org.apache.avro.ipc.stats.StatsServlet.writeStats(Writer),
org.apache.avro.reflect.ReflectData.getProtocol(Class),
org.apache.avro.file.DataFileStream.hasNext(),AVRO-512
org.apache.avro.io.BlockingBinaryEncoder.check(),
"org.apache.avro.io.BlockingBinaryEncoder.write(byte[], int, int)",
org.apache.avro.ipc.DatagramTransceiver.readBuffers(),
"org.apache.avro.io.JsonDecoder.doAction(Symbol, Symbol)",
"org.apache.avro.io.parsing.Symbol.flatten(Symbol[], int, Symbol[], int, Map<Sequence, Sequence>, Map<Sequence, List>)",
org.apache.avro.tool.Main.Main(),AVRO-512
org.apache.avro.io.BlockingBinaryEncoder.ensure(int),
org.apache.avro.io.ValidatingDecoder.skipMap(),
org.apache.avro.io.ValidatingDecoder.skipArray(),
"org.apache.avro.ipc.stats.StatsServlet.writeMethod(Writer, Message, FloatHistogram<?>)",
"org.apache.avro.tool.JsonToBinaryFragmentTool.run(InputStream, PrintStream, PrintStream, List<String>)",
"org.apache.avro.io.DecoderFactory.createBinaryDecoder(InputStream, BinaryDecoder)",
org.apache.avro.io.BinaryDecoder.readInt(),
org.apache.avro.io.BlockingBinaryEncoder.flush(),
"org.apache.avro.generic.GenericDatumWriter.writeMap(Schema, Object, Encoder)",
"org.apache.avro.generic.GenericDatumReader.readRecord(Object, Schema, ResolvingDecoder)",
org.apache.avro.reflect.ReflectData.getClass(Schema),
org.apache.avro.specific.SpecificCompiler.params(Schema),
org.apache.avro.file.DeflateCodec.compress(ByteBuffer),
org.apache.avro.util.Utf8.Utf8(String),
"org.apache.avro.generic.GenericDatumWriter.writeArray(Schema, Object, Encoder)",
org.apache.avro.ipc.SocketServer.run(),
org.apache.avro.io.ResolvingDecoder.skipAction(),
org.apache.avro.specific.SpecificCompiler.compile(),
"org.apache.avro.tool.GenAvroTool.run(InputStream, PrintStream, PrintStream, List<String>)",
org.apache.avro.ipc.ByteBufferInputStream.readBuffer(int),
org.apache.avro.ipc.DatagramServer.run(),
"org.apache.avro.io.parsing.ResolvingGrammarGenerator.resolveUnion(Schema, Schema, Map<LitS, Symbol>)",
"org.apache.avro.io.BlockingBinaryEncoder.BlockingBinaryEncoder(OutputStream, int)",
org.apache.avro.io.JsonDecoder.readIndex(),
org.apache.avro.ipc.stats.Histogram.toString(),
org.apache.avro.io.parsing.Parser.processImplicitActions(),
"org.apache.avro.ipc.ByteBufferOutputStream.write(byte[], int, int)",
org.apache.avro.ipc.DatagramTransceiver.writeBuffers(List<ByteBuffer>),
org.apache.avro.io.DirectBinaryDecoder.readInt(),
org.apache.avro.file.DataFileStream.hasNextBlock(),AVRO-512
org.apache.avro.Protocol.parseTypes(JsonNode),
org.apache.avro.io.DirectBinaryDecoder.readLong(),
org.apache.avro.AvroRuntimeException.AvroRuntimeException(String),
org.apache.avro.io.JsonEncoder.writeBytes(ByteBuffer),
"org.apache.avro.io.DirectBinaryDecoder.doReadBytes(byte[], int, int)",
org.apache.avro.ipc.ByteBufferInputStream.getBuffer(),
org.apache.avro.io.parsing.Parser.processTrailingImplicitActions(),
org.apache.avro.file.DataFileWriter.init(OutputStream),
org.apache.avro.specific.SpecificCompiler.errors(Schema),
"org.apache.avro.ipc.HttpTransceiver.writeBuffers(List<ByteBuffer>, OutputStream)",
"org.apache.avro.reflect.ReflectDatumReader.newArray(Object, int, Schema)",
"org.apache.avro.io.BinaryData.compareBytes(byte[], int, int, byte[], int, int)",
"org.apache.avro.generic.GenericData.resolveUnion(Schema, Object)",
"org.apache.avro.io.BinaryEncoder.encodeLong(long, OutputStream)",
"org.apache.avro.io.parsing.ResolvingGrammarGenerator.mkEnumAdjust(List<String>, List<String>)",
"org.apache.avro.reflect.ReflectData.findField(Class, String)",
org.apache.avro.Protocol.parseMessages(JsonNode),
org.apache.avro.io.parsing.Parser.pushProduction(Symbol),
"org.apache.avro.ipc.SocketServer.SocketServer(Responder, SocketAddress)",
"org.apache.avro.io.parsing.Symbol.flattenedSize(Symbol[], int)",
"org.apache.avro.reflect.ReflectDatumReader.readString(Object, Schema, Decoder)",
org.apache.avro.file.DataFileStream.nextBlock(DataBlock),
org.apache.avro.io.JsonDecoder.advance(Symbol),
org.apache.avro.io.JsonDecoder.readString(Utf8),
"org.apache.avro.Schema.addProp(String, String)",
"org.apache.avro.generic.GenericDatumReader.read(D, Decoder)",AVRO-557
"org.apache.avro.generic.GenericDatumWriter.writeRecord(Schema, Object, Encoder)",
"org.apache.avro.reflect.ReflectData.getAnnotatedUnion(Union, Map<String, Schema>)",
org.apache.avro.file.DataFileWriter.writeBlock(),
org.apache.avro.io.ResolvingDecoder.readDouble(),
"org.apache.avro.RandomData.randomUtf8(Random, int)",
org.apache.avro.Schema.writeProps(JsonGenerator),
"org.apache.avro.specific.SpecificResponder.readRequest(Schema, Decoder)",
org.apache.avro.io.BlockingBinaryEncoder.expandStack(),
org.apache.avro.specific.SpecificData.getSchema(java.lang.reflect.Type),
org.apache.avro.io.BinaryEncoder.BinaryEncoder(OutputStream),
org.apache.avro.specific.SpecificCompiler.SpecificCompiler(Protocol),
"org.apache.avro.io.BinaryEncoder.encodeLong(long, byte[], int)",
org.apache.avro.AvroTypeException.AvroTypeException(String),
org.apache.avro.io.BinaryDecoder.isEnd(),
org.apache.avro.io.BlockingBinaryEncoder.finishOverflow(),
org.apache.avro.io.BinaryDecoder.doSkipItems(),
"org.apache.avro.specific.SpecificRequestor.writeRequest(Schema, Object, Encoder)",
org.apache.avro.io.JsonDecoder.readEnum(),
org.apache.avro.Schema.toString(boolean),
org.apache.avro.io.ResolvingDecoder.readLong(),
"org.apache.avro.io.BlockingBinaryEncoder.doWriteBytes(byte[], int, int)",
org.apache.avro.specific.SpecificDatumReader.newInstance(Class),
org.apache.avro.ipc.SocketTransceiver.writeBuffers(List<ByteBuffer>),
"org.apache.avro.specific.SpecificCompiler.line(StringBuilder, int, String)",
org.apache.avro.io.DirectBinaryDecoder.doSkipBytes(long),
org.apache.avro.Protocol.toString(boolean),
org.apache.avro.ipc.HttpTransceiver.getLength(List<ByteBuffer>),
org.apache.avro.ipc.ByteBufferOutputStream.getBufferList(),
org.apache.avro.io.JsonDecoder.skipString(),
"org.apache.avro.io.JsonDecoder.readFixed(byte[], int, int)",
"org.apache.avro.ipc.DatagramServer.DatagramServer(Responder, SocketAddress)",
"org.apache.avro.io.JsonEncoder.doAction(Symbol, Symbol)",
org.apache.avro.specific.SpecificCompiler.unbox(Schema),
"org.apache.avro.ipc.ResponderServlet.doPost(HttpServletRequest, HttpServletResponse)",
org.apache.avro.file.DataFileStream.next(D),
"org.apache.avro.Schema.toJson(Names, JsonGenerator)",
"org.apache.avro.ipc.stats.StatsPlugin.publish(RPCContext, Stopwatch)",
"org.apache.avro.tool.DataFileGetSchemaTool.run(InputStream, PrintStream, PrintStream, List<String>)",
org.apache.avro.Protocol.setTypes(Collection<Schema>),
org.apache.avro.io.BlockingBinaryEncoder.writeArrayStart(),
org.apache.avro.io.BlockingBinaryEncoder.writeMapStart(),
org.apache.avro.io.JsonDecoder.error(String),
org.apache.avro.io.parsing.SkipParser.skipSymbol(Symbol),
"org.apache.avro.reflect.ReflectData.getField(Class, String)",
org.apache.avro.file.DataFileWriter.append(D),
org.apache.avro.io.BinaryDecoder.readBytes(ByteBuffer),
org.apache.avro.Schema.equals(Object),
org.apache.avro.io.JsonEncoder.writeIndex(int),
"org.apache.avro.io.BinaryDecoder.doReadBytes(byte[], int, int)",
org.apache.avro.AvroRuntimeException.AvroRuntimeException(Throwable),
"org.apache.avro.reflect.ReflectDatumWriter.write(Schema, Object, Encoder)",
org.apache.avro.io.JsonDecoder.doSkipFixed(int),
org.apache.avro.Protocol.getMD5(),
"org.apache.avro.file.LengthLimitedInputStream.read(byte[], int, int)",
org.apache.avro.ipc.HttpTransceiver.transceive(List<ByteBuffer>),
org.apache.avro.io.BinaryDecoder.readBoolean(),
org.apache.avro.ipc.Responder.Responder(Protocol),
org.apache.avro.file.DataFileStream.getMetaString(String),
org.apache.avro.io.ResolvingDecoder.readEnum(),
org.apache.avro.Schema.parseJson(String),
"org.apache.avro.io.DecoderFactory.createBinaryDecoder(byte[], BinaryDecoder)",
org.apache.avro.file.DataFileWriter.generateSync(),
"org.apache.avro.io.BlockingBinaryEncoder.writeBytes(byte[], int, int)",
org.apache.avro.Schema.parse(File),
org.apache.avro.io.JsonDecoder.skipMap(),
org.apache.avro.io.JsonDecoder.skipArray(),
org.apache.avro.io.JsonDecoder.readBytes(ByteBuffer),
org.apache.avro.Protocol.parse(String),
org.apache.avro.io.parsing.Parser.pushSymbol(Symbol),
org.apache.avro.ipc.stats.Stopwatch.elapsedNanos(),
org.apache.avro.ipc.ByteBufferOutputStream.writeBuffer(ByteBuffer),AVRO-512
"org.apache.avro.io.DecoderFactory.createBinaryDecoder(byte[], int, int, BinaryDecoder)",
org.apache.avro.io.BinaryDecoder.readDouble(),
org.apache.avro.io.ResolvingDecoder.readIndex(),
"org.apache.avro.ipc.ByteBufferInputStream.read(byte[], int, int)",
org.apache.avro.specific.SpecificData.getProtocol(Class),
"org.apache.avro.reflect.ReflectData.getClassProp(Schema, String)",
"org.apache.avro.io.ValidatingEncoder.writeFixed(byte[], int, int)",
org.apache.avro.io.BlockingBinaryEncoder.startItem(),
org.apache.avro.io.JsonEncoder.writeEnum(int),
org.apache.avro.io.BinaryDecoder.readFloat(),
org.apache.avro.io.ValidatingDecoder.readEnum(),
org.apache.avro.io.JsonDecoder.readLong(),
org.apache.avro.io.JsonDecoder.readInt(),
org.apache.avro.io.JsonDecoder.readFloat(),
org.apache.avro.io.BinaryDecoder.doSkipBytes(long),
org.apache.avro.io.JsonDecoder.readDouble(),
org.apache.avro.Protocol.equals(Object),
org.apache.avro.generic.GenericDatumWriter.GenericDatumWriter(),
"org.apache.avro.io.JsonEncoder.writeFixed(byte[], int, int)",
"org.apache.avro.ipc.HttpServer.HttpServer(ResponderServlet, int)",
org.apache.avro.io.JsonEncoder.writeString(Utf8),
org.apache.avro.io.BlockingBinaryEncoder.writeArrayEnd(),
org.apache.avro.io.BlockingBinaryEncoder.writeMapEnd(),
org.apache.avro.io.JsonDecoder.readBoolean(),
org.apache.avro.file.DataFileWriter.setCodec(CodecFactory),
org.apache.avro.io.JsonDecoder.readMapStart(),
org.apache.avro.io.JsonDecoder.readArrayStart(),
"org.apache.avro.tool.Util.datumFromFile(Schema, String)",
org.apache.avro.Schema.parse(InputStream),
org.apache.avro.io.JsonDecoder.doArrayNext(),
org.apache.avro.generic.GenericDatumWriter.GenericDatumWriter(Schema),
org.apache.avro.generic.GenericDatumReader.GenericDatumReader(Schema),
"org.apache.avro.generic.GenericDatumWriter.write(D, Encoder)",
"org.apache.avro.file.DataFileReader.DataFileReader(SeekableInput, DatumReader<D>)",
org.apache.avro.io.ValidatingEncoder.writeEnum(int),
org.apache.avro.file.DataFileWriter.close(),
org.apache.avro.ipc.ByteBufferOutputStream.write(int),
"org.apache.avro.file.DataFileWriter.setMeta(String, String)",
org.apache.avro.file.DataFileWriter.DataFileWriter(DatumWriter<D>),
org.apache.avro.io.JsonEncoder.writeArrayEnd(),
org.apache.avro.io.JsonEncoder.writeMapEnd(),
"org.apache.avro.specific.SpecificData.compare(Object, Object, Schema)",
org.apache.avro.ipc.stats.Stopwatch.stop(),
org.apache.avro.util.Utf8.setLength(int),
org.apache.avro.io.JsonDecoder.doMapNext(),
"org.apache.avro.reflect.ReflectData.getSchema(Type, Map<String, Schema>)",
"org.apache.avro.reflect.ReflectDatumReader.readInt(Object, Schema, Decoder)",
org.apache.avro.Protocol.parse(JsonParser),
org.apache.avro.io.ValidatingDecoder.checkFixed(int),
org.apache.avro.file.DataFileStream.next(),
org.apache.avro.file.DataFileReader.seek(long),
org.apache.avro.io.JsonDecoder.checkFixed(int),
"org.apache.avro.RandomData.RandomData(Schema, int, long)",
"org.apache.avro.file.DataFileReader.DataFileReader(File, DatumReader<D>)",
org.apache.avro.io.JsonEncoder.startItem(),
org.apache.avro.io.BinaryDecoder.readString(Utf8),
org.apache.avro.ipc.stats.Stopwatch.start(),
"org.apache.avro.ipc.Requestor.Requestor(Protocol, Transceiver)",
"org.apache.avro.RandomData.randomBytes(Random, int)",
"org.apache.avro.io.JsonEncoder.JsonEncoder(Schema, JsonGenerator)",
org.apache.avro.file.DataFileStream.resolveCodec(),
org.apache.avro.util.Utf8.toString(),
org.apache.avro.io.parsing.SkipParser.skipRepeater(),
org.apache.avro.ipc.SocketTransceiver.SocketTransceiver(SocketChannel),
"org.apache.avro.specific.SpecificCompiler.makePath(String, String)",
org.apache.avro.io.BlockingBinaryEncoder.writeInt(int),
"org.apache.avro.file.DataFileWriter.setMetaInternal(String, String)",
org.apache.avro.io.BinaryDecoder.ensureBounds(int),
org.apache.avro.io.ValidatingDecoder.arrayNext(),
org.apache.avro.io.ValidatingDecoder.mapNext(),
"org.apache.avro.reflect.ReflectDatumWriter.getField(Object, String, int)",
org.apache.avro.Schema.createUnion(List<Schema>),
org.apache.avro.ipc.SocketTransceiver.SocketTransceiver(SocketAddress),
org.apache.avro.io.ParsingEncoder.push(),
org.apache.avro.specific.SpecificData.getClassName(Schema),
"org.apache.avro.specific.SpecificRequestor.getClient(Class<?>, Transceiver, SpecificData)",
org.apache.avro.io.ValidatingDecoder.readIndex(),
org.apache.avro.io.BlockingBinaryEncoder.writeBoolean(boolean),
org.apache.avro.io.ValidatingDecoder.readArrayStart(),
"org.apache.avro.reflect.ReflectData.setElement(Schema, Type)",
"org.apache.avro.ipc.stats.StatsServlet.writeActiveRpc(Writer, RPCContext, Stopwatch)",
org.apache.avro.io.ValidatingDecoder.readMapStart(),
org.apache.avro.io.BlockingBinaryEncoder.writeIndex(int),
org.apache.avro.io.BlockingBinaryEncoder.writeFloat(float),
org.apache.avro.io.BlockingBinaryEncoder.writeLong(long),
org.apache.avro.io.BlockingBinaryEncoder.writeDouble(double),
"org.apache.avro.reflect.ReflectDatumReader.setField(Object, String, int, Object)",
org.apache.avro.specific.SpecificCompiler.mangle(String),
"org.apache.avro.reflect.ReflectRequestor.getClient(Class<?>, Transceiver, ReflectData)",
org.apache.avro.io.JsonDecoder.readNull(),
"org.apache.avro.tool.Util.fileOrStdin(String, InputStream)",
org.apache.avro.io.JsonDecoder.skipBytes(),
org.apache.avro.Schema.Schema(Type),
"org.apache.avro.generic.GenericDatumReader.readFixed(Object, Schema, Decoder)",
"org.apache.avro.io.BinaryDecoder.configureSource(int, ByteSource)",
"org.apache.avro.specific.SpecificResponder.SpecificResponder(Protocol, Object, SpecificData)",
org.apache.avro.file.CodecFactory.fromString(String),
org.apache.avro.ipc.stats.FloatHistogram.getUnbiasedStdDev(),
org.apache.avro.file.LengthLimitedInputStream.read(),
org.apache.avro.Protocol.parseNamespace(JsonNode),
"org.apache.avro.io.parsing.Parser.Parser(Symbol, ActionHandler)",
org.apache.avro.io.ValidatingEncoder.writeIndex(int),
org.apache.avro.io.JsonEncoder.writeArrayStart(),
org.apache.avro.io.JsonEncoder.writeMapStart(),
"org.apache.avro.io.BinaryEncoder.encodeDouble(double, byte[], int)",
"org.apache.avro.Schema.getRequiredText(JsonNode, String, String)",
org.apache.avro.io.DirectBinaryDecoder.DirectBinaryDecoder(InputStream),
org.apache.avro.io.ResolvingDecoder.readFieldOrder(),
org.apache.avro.generic.GenericDatumReader.GenericDatumReader(),
org.apache.avro.ipc.AvroRemoteException.AvroRemoteException(Object),
org.apache.avro.file.DataFileWriter.writeRawBlock(DataBlock),
"org.apache.avro.generic.GenericDatumReader.createFixed(Object, Schema)",
"org.apache.avro.Schema.createEnum(String, String, String, List<String>)",
org.apache.avro.io.ParsingEncoder.pop(),
"org.apache.avro.io.JsonDecoder.JsonDecoder(Schema, InputStream)",
org.apache.avro.BarRecord.equals(Object),
org.apache.avro.ipc.RPCContext.requestCallMeta(),
org.apache.avro.specific.SpecificCompiler.SpecificCompiler(Schema),
org.apache.avro.file.DataFileWriter.setSyncInterval(int),
"org.apache.avro.generic.GenericDatumReader.newRecord(Object, Schema)",
org.apache.avro.specific.SpecificRecordBase.equals(Object),
org.apache.avro.ipc.SocketTransceiver.close(),
"org.apache.avro.file.DataFileWriter.setMeta(String, byte[])",
"org.apache.avro.io.parsing.ResolvingGrammarGenerator.getBinary(Schema, JsonNode)",
"org.apache.avro.generic.GenericDatumReader.GenericDatumReader(Schema, Schema)",
org.apache.avro.file.DataFileStream.close(),
org.apache.avro.Schema.hashCode(),
org.apache.avro.io.BlockingBinaryEncoder.setItemCount(long),
org.apache.avro.io.JsonDecoder.init(InputStream),
"org.apache.avro.generic.GenericRequestor.GenericRequestor(Protocol, Transceiver)",
org.apache.avro.ipc.RPCContext.responseCallMeta(),
org.apache.avro.ipc.RPCContext.responseHandshakeMeta(),
org.apache.avro.ipc.RPCContext.requestHandshakeMeta(),
"org.apache.avro.reflect.ReflectDatumWriter.writeString(Schema, Object, Encoder)",
"org.apache.avro.specific.SpecificDatumReader.newRecord(Object, Schema)",
"org.apache.avro.specific.SpecificDatumReader.createFixed(Object, Schema)",
org.apache.avro.io.BinaryDecoder.doReadItemCount(),
"org.apache.avro.tool.Util.jsonToGenericDatum(Schema, String)",
org.apache.avro.ipc.SocketTransceiver.writeLength(int),
"org.apache.avro.Schema.createRecord(String, String, String, boolean)",
"org.apache.avro.Schema.createFixed(String, String, String, int)",
org.apache.avro.Protocol.parseName(JsonNode),
org.apache.avro.file.DeflateCodec.equals(Object),
org.apache.avro.io.DirectBinaryDecoder.readDouble(),
org.apache.avro.file.DataFileStream.skipSync(),
org.apache.avro.Schema.getProp(String),
org.apache.avro.Schema.getName(),
org.apache.avro.ipc.HttpServer.close(),
org.apache.avro.Protocol.parse(JsonNode),
org.apache.avro.file.DataFileWriter.sync(),
org.apache.avro.io.JsonDecoder.init(String),
"org.apache.avro.io.BinaryEncoder.encodeDouble(double, OutputStream)",
org.apache.avro.io.ParsingEncoder.setItemCount(long),
"org.apache.avro.ipc.HttpServer.HttpServer(Responder, int)",
"org.apache.avro.file.DataFileWriter.create(Schema, File)",
"org.apache.avro.io.JsonEncoder.JsonEncoder(Schema, OutputStream)",
org.apache.avro.Protocol.parse(File),
"org.apache.avro.generic.GenericDatumReader.newMap(Object, int)",
org.apache.avro.reflect.ReflectDatumWriter.getArrayElements(Object),
"org.apache.avro.io.JsonEncoder.writeByteArray(byte[], int, int)",
"org.apache.avro.io.ResolvingDecoder.ResolvingDecoder(Schema, Schema, Decoder)",
"org.apache.avro.io.parsing.Symbol.Symbol(Kind, Symbol[])",
org.apache.avro.ipc.stats.FloatHistogram.getMean(),
"org.apache.avro.specific.SpecificCompiler.doc(StringBuilder, int, String)",
"org.apache.avro.io.BinaryEncoder.encodeFloat(float, byte[], int)",
"org.apache.avro.Schema.getOptionalText(JsonNode, String)",
org.apache.avro.Schema.createRecord(List<Field>),
"org.apache.avro.file.DataFileWriter.setMetaInternal(String, byte[])",
org.apache.avro.ipc.stats.Histogram.add(T),
"org.apache.avro.generic.GenericDatumReader.newArray(Object, int, Schema)",AVRO-637
org.apache.avro.ipc.ByteBufferOutputStream.reset(),
"org.apache.avro.ipc.stats.Histogram.Histogram(Segmenter<B, T>)",
"org.apache.avro.generic.GenericDatumReader.readEnum(Schema, Decoder)",
org.apache.avro.ipc.stats.Stopwatch.Stopwatch(Ticks),
org.apache.avro.io.JsonEncoder.flush(),
org.apache.avro.Protocol.parseDocNode(JsonNode),
"org.apache.avro.io.BinaryDecoder.init(byte[], int, int)",
org.apache.avro.reflect.ReflectData.isRecord(Object),
"org.apache.avro.io.parsing.SkipParser.SkipParser(Symbol, ActionHandler, SkipHandler)",
org.apache.avro.generic.GenericData.toString(Object),AVRO-637
"org.apache.avro.Protocol.createMessage(String, String, Schema, Schema, Schema)",
"org.apache.avro.reflect.ReflectDatumReader.addToArray(Object, long, Object)",
org.apache.avro.Schema.toString(),
org.apache.avro.io.ValidatingDecoder.readString(Utf8),
org.apache.avro.io.JsonDecoder.readByteArray(),
"org.apache.avro.generic.GenericDatumWriter.GenericDatumWriter(Schema, GenericData)",
org.apache.avro.io.DirectBinaryDecoder.readBoolean(),
org.apache.avro.io.parsing.JsonGrammarGenerator.generate(Schema),
org.apache.avro.io.JsonEncoder.getJsonGenerator(OutputStream),
org.apache.avro.ipc.SocketServer.getPort(),
"org.apache.avro.io.parsing.ResolvingGrammarGenerator.generate(Schema, Schema)",
org.apache.avro.file.DataFileWriter.flush(),
org.apache.avro.ipc.stats.StatsPlugin.serverReceiveRequest(RPCContext),
org.apache.avro.io.ValidatingDecoder.skipFixed(),
"org.apache.avro.file.DataFileStream.DataFileStream(InputStream, DatumReader<D>)",
org.apache.avro.io.ValidatingEncoder.init(OutputStream),
"org.apache.avro.io.ValidatingEncoder.ValidatingEncoder(Symbol, Encoder)",
org.apache.avro.ipc.AvroRemoteException.AvroRemoteException(Throwable),
org.apache.avro.generic.GenericResponder.GenericResponder(Protocol),
org.apache.avro.file.LengthLimitedInputStream.skip(long),
"org.apache.avro.io.ValidatingEncoder.writeBytes(byte[], int, int)",
"org.apache.avro.io.JsonEncoder.writeBytes(byte[], int, int)",
"org.apache.avro.io.ValidatingEncoder.ValidatingEncoder(Schema, Encoder)",
"org.apache.avro.io.ValidatingDecoder.ValidatingDecoder(Schema, Decoder)",
"org.apache.avro.RandomData.RandomData(Schema, int)",
org.apache.avro.SchemaParseException.SchemaParseException(String),
"org.apache.avro.io.ValidatingDecoder.ValidatingDecoder(Symbol, Decoder)",
org.apache.avro.io.ValidatingDecoder.readBoolean(),
"org.apache.avro.reflect.ReflectDatumReader.readBytes(Object, Decoder)",
org.apache.avro.io.ValidatingDecoder.readFloat(),
org.apache.avro.io.ValidatingDecoder.readBytes(ByteBuffer),
org.apache.avro.io.ValidatingDecoder.readInt(),
"org.apache.avro.generic.GenericDatumWriter.writeFixed(Schema, Object, Encoder)",
"org.apache.avro.Protocol.Protocol(String, String)",
"org.apache.avro.ipc.stats.StatsPlugin.StatsPlugin(Ticks, Segmenter<?, Float>)",
"org.apache.avro.file.LengthLimitedInputStream.LengthLimitedInputStream(InputStream, long)",
org.apache.avro.io.parsing.ValidatingGrammarGenerator.generate(Schema),
"org.apache.avro.reflect.ReflectResponder.ReflectResponder(Class, Object)",
org.apache.avro.ipc.SocketTransceiver.getRemoteName(),
org.apache.avro.ipc.Responder.addRPCPlugin(RPCPlugin),
"org.apache.avro.specific.SpecificCompiler.header(StringBuilder, String)",
org.apache.avro.io.DirectBinaryDecoder.readFloat(),
org.apache.avro.ipc.Transceiver.transceive(List<ByteBuffer>),
org.apache.avro.io.ValidatingEncoder.writeArrayEnd(),
org.apache.avro.io.ValidatingEncoder.writeMapStart(),
org.apache.avro.io.ValidatingEncoder.writeMapEnd(),
org.apache.avro.io.ValidatingEncoder.writeArrayStart(),
org.apache.avro.ipc.stats.StatsPlugin.serverSendResponse(RPCContext),
org.apache.avro.ipc.stats.FloatHistogram.add(Float),
org.apache.avro.io.JsonDecoder.skipFixed(),
org.apache.avro.io.BinaryEncoder.writeString(Utf8),
"org.apache.avro.reflect.ReflectRequestor.ReflectRequestor(Class<?>, Transceiver)",
"org.apache.avro.specific.SpecificRequestor.SpecificRequestor(Class<?>, Transceiver)",
org.apache.avro.ipc.DatagramTransceiver.DatagramTransceiver(SocketAddress),
org.apache.avro.io.parsing.Symbol.seq(Symbol...),
org.apache.avro.reflect.ReflectDatumWriter.getArraySize(Object),
"org.apache.avro.io.BinaryEncoder.encodeFloat(float, OutputStream)",
org.apache.avro.io.parsing.Parser.expandStack(),
org.apache.avro.io.ParsingDecoder.ParsingDecoder(Symbol),
org.apache.avro.ipc.DatagramServer.main(String[]),
org.apache.avro.ipc.SocketServer.main(String[]),
"org.apache.avro.io.BinaryDecoder.BinaryDecoder(byte[], int, int)",
