class,path,package,methods
StreamValidationProcess,preflight\src\main\java\org\apache\pdfbox\preflight\process\StreamValidationProcess.java,org.apache.pdfbox.preflight.process,"validate,validateStreamObject,checkFilters,readUntilStream,checkStreamLength,checkDictionaryEntries,addStreamLengthValidationError"
COSObjectKey,pdfbox\src\main\java\org\apache\pdfbox\cos\COSObjectKey.java,org.apache.pdfbox.cos,"COSObjectKey,COSObjectKey,equals,getGeneration,getNumber,hashCode,toString,compareTo"
FilterHelper,preflight\src\main\java\org\apache\pdfbox\preflight\utils\FilterHelper.java,org.apache.pdfbox.preflight.utils,"FilterHelper,isAuthorizedFilter,isAuthorizedFilterInPDFA"
Charsets,pdfbox\src\main\java\org\apache\pdfbox\util\Charsets.java,org.apache.pdfbox.util,Charsets
AbstractProcess,preflight\src\main\java\org\apache\pdfbox\preflight\process\AbstractProcess.java,org.apache.pdfbox.preflight.process,"addValidationError,addValidationErrors,addFontError"
PDFText2HTML,tools\src\main\java\org\apache\pdfbox\tools\PDFText2HTML.java,org.apache.pdfbox.tools,"PDFText2HTML,writeHeader,startDocument,endDocument,getTitle,startArticle,endArticle,writeString,writeString,writeParagraphEnd,escape,appendEscaped"
PDFTextStripper,pdfbox\src\main\java\org\apache\pdfbox\text\PDFTextStripper.java,org.apache.pdfbox.text,"PDFTextStripper,getText,resetEngine,writeText,processPages,startDocument,endDocument,processPage,fillBeadRectangles,startArticle,startArticle,endArticle,startPage,endPage,writePage,overlap,writeLineSeparator,writeWordSeparator,writeCharacters,writeString,writeString,within,processTextPosition,getStartPage,setStartPage,getEndPage,setEndPage,setLineSeparator,getLineSeparator,getWordSeparator,setWordSeparator,getSuppressDuplicateOverlappingText,getCurrentPageNo,getOutput,getCharactersByArticle,setSuppressDuplicateOverlappingText,getSeparateByBeads,setShouldSeparateByBeads,getEndBookmark,setEndBookmark,getStartBookmark,setStartBookmark,getAddMoreFormatting,setAddMoreFormatting,getSortByPosition,setSortByPosition,getSpacingTolerance,setSpacingTolerance,getAverageCharTolerance,setAverageCharTolerance,getIndentThreshold,setIndentThreshold,getDropThreshold,setDropThreshold,getParagraphStart,setParagraphStart,getParagraphEnd,setParagraphEnd,getPageStart,setPageStart,getPageEnd,setPageEnd,getArticleStart,setArticleStart,getArticleEnd,setArticleEnd,handleLineSeparation,isParagraphSeparation,multiplyFloat,writeParagraphSeparator,writeParagraphStart,writeParagraphEnd,writePageStart,writePageEnd,matchListItemPattern,setListItemPatterns,getListItemPatterns,matchPattern,writeLine,normalize,handleDirection,parseBidiFile,createWord,normalizeWord,normalizeAdd"
TextPosition,pdfbox\src\main\java\org\apache\pdfbox\text\TextPosition.java,org.apache.pdfbox.text,"createDiacritics,TextPosition,getUnicode,getCharacterCodes,getTextMatrix,getDir,getXRot,getX,getXDirAdj,getYLowerLeftRot,getY,getYDirAdj,getWidthRot,getWidth,getWidthDirAdj,getHeight,getHeightDir,getFontSize,getFontSizeInPt,getFont,getWidthOfSpace,getXScale,getYScale,getIndividualWidths,contains,mergeDiacritic,insertDiacritic,combineDiacritic,isDiacritic,toString"
PDDocumentInformation,pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocumentInformation.java,org.apache.pdfbox.pdmodel,"PDDocumentInformation,PDDocumentInformation,getCOSObject,getPropertyStringValue,getTitle,setTitle,getAuthor,setAuthor,getSubject,setSubject,getKeywords,setKeywords,getCreator,setCreator,getProducer,setProducer,getCreationDate,setCreationDate,getModificationDate,setModificationDate,getTrapped,getMetadataKeys,getCustomMetadataValue,setCustomMetadataValue,setTrapped"
COSWriter,pdfbox\src\main\java\org\apache\pdfbox\pdfwriter\COSWriter.java,org.apache.pdfbox.pdfwriter,"COSWriter,COSWriter,prepareIncrement,addXRefEntry,close,getNumber,getObjectKeys,getOutput,getStandardOutput,getStartxref,getXRefEntries,setNumber,setOutput,setStandardOutput,setStartxref,doWriteBody,doWriteObjects,addObjectToWrite,doWriteObject,doWriteHeader,doWriteTrailer,doWriteXRefInc,doWriteXRefTable,doWriteIncrement,doWriteSignature,getDataToSign,writeExternalSignature,writeXrefRange,writeXrefEntry,getXRefRanges,getObjectKey,visitFromArray,visitFromBoolean,visitFromDictionary,visitFromDocument,visitFromFloat,visitFromInt,visitFromName,visitFromNull,writeReference,visitFromStream,visitFromString,write,write,write,write,writeString,writeString,writeString"
