method,Time,OwnTime,count
org.apache.ivy.core.retrieve.RetrieveOptions_ESTest.test05(),0,0,1
org.apache.ivy.plugins.repository.sftp.SFTPResource_ESTest.test15(),0,0,1
"org.apache.ivy.plugins.resolver.IvyRepResolver.getDependency(DependencyDescriptor, ResolveData)",0,0,1
org.apache.ivy.ant.IvyInfoRepositoryTest.testLatestSubversion(),154,0,1
org.apache.tools.ant.types.PatternSet.getIncludePatterns(Project),0,0,73
org.apache.ivy.core.deliver.DeliverOptions_ESTest.test31(),0,0,1
"org.apache.commons.logging.LogFactory$2.<init>(ClassLoader, String)",0,0,8
org.apache.ivy.ant.IvyArtifactPropertyTest.setUp(),2,0,3
org.apache.ivy.core.resolve.DownloadOptions_ESTest.<init>(),0,0,1
"org.apache.ivy.tools.analyser.RepositoryAnalyser.analyse(String, DependencyAnalyser)",53,0,3
org.apache.ivy.plugins.resolver.ChainResolver_ESTest.test21(),9,0,1
"org.apache.ivy.plugins.parser.AbstractModuleDescriptorParser$AbstractParser.parseDepsConfs(String[], DefaultDependencyDescriptor, boolean, boolean)",118,5,568
org.apache.ivy.Ivy_ESTest.test57(),6,0,1
java.io.PipedOutputStream.close(),0,0,1
"org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorWriter.write(ModuleDescriptor, File)",1517,0,151
org.apache.ivy.core.module.id.ModuleId_ESTest.test12(),0,0,1
org.apache.ivy.util.url.URLHandlerDispatcher.getURLInfo(URL),24668,1,706
org.apache.ivy.core.resolve.IvyNode.getConfiguration(String),108,5,1279
"org.apache.xerces.impl.XMLEntityManager$RewindableInputStream.<init>(XMLEntityManager,",2,1,5707
org.apache.tools.ant.DirectoryScanner.addDefaultExcludes(),1,0,73
org.apache.commons.httpclient.MultiThreadedHttpConnectionManager$HttpConnectionAdapter.<init>(HttpConnection),1,0,211
org.apache.ivy.plugins.resolver.util.ResolverHelper_ESTest.test09(),15,0,1
org.apache.ivy.ant.IvyAntSettingsBuildFileTest.testOverrideSetToFalse(),856,0,1
org.apache.ivy.core.module.id.ModuleRules_ESTest.test11(),0,0,1
"org.apache.xerces.impl.xs.traversers.XSDElementTraverser.traverseLocal(Element, XSDocumentInfo, SchemaGrammar, int,",4593,14,13916
org.apache.ivy.core.resolve.IvyNodeBlacklist_ESTest.test3(),0,0,1
org.apache.ivy.plugins.repository.AbstractRepository_ESTest.test08(),0,0,1
java.util.Vector.elements(),12,12,21973
junit.framework.Assert.assertTrue(boolean),0,0,237
org.apache.ivy.util.cli.OptionBuilder_ESTest.test2(),0,0,1
org.apache.ivy.plugins.resolver.BasicResolver_ESTest.test40(),0,0,1
org.apache.ivy.plugins.parser.m2.PomWriterOptions_ESTest.test23(),0,0,1
org.apache.ivy.plugins.resolver.FileSystemResolver_ESTest.test13(),5,0,1
org.apache.ivy.plugins.resolver.IvyRepResolver.listModules(OrganisationEntry),0,0,4
org.apache.ivy.ant.IvyArtifactPropertyTest.testWithResolveId(),459,0,1
java.io.File.<init>(String),8531,8531,93595
org.apache.ivy.ant.IvyConfigureTest.testOverrideVariables(),26,0,1
"org.evosuite.runtime.testdata.EvoSuiteAddress.<init>(String, int)",0,0,2
"org.apache.ivy.plugins.resolver.AbstractResolver.saveModuleRevisionIfNeeded(DependencyDescriptor, ResolvedModuleRevision)",551,1,199
"org.apache.ivy.plugins.resolver.IBiblioResolver$2.<init>(IBiblioResolver, List)",0,0,4
org.apache.ivy.ant.AddPathTask_ESTest.test10(),0,0,1
org.apache.tools.ant.AntClassLoader.buildFinished(BuildEvent),2,0,2
org.apache.ivy.plugins.namespace.NamespaceRule_ESTest.test09(),0,0,1
java.util.LinkedHashMap.<init>(),25,25,27816
org.apache.ivy.plugins.resolver.AbstractSshBasedResolver_ESTest.test16(),0,0,1
org.apache.ivy.plugins.resolver.ChainResolver_ESTest.test19(),0,0,1
"java.lang.Thread.<init>(ThreadGroup, Runnable, String)",10,10,209
"org.apache.ivy.core.module.descriptor.DefaultDependencyDescriptor.doesExclude(String[], ArtifactId)",6,0,210
org.apache.ivy.plugins.repository.vfs.VfsResourceTest.setUp(),109,0,6
org.apache.ivy.plugins.repository.file.FileRepository_ESTest.test10(),0,0,1
"org.apache.ivy.core.settings.XmlSettingsParser.cachesStarted(String, Map)",260,2,162
org.apache.ivy.core.resolve.IvyNodeCallers_ESTest.test05(),1,0,1
org.apache.ivy.util.url.HttpClientHandler.useAuthentication(URL),2,0,214
"org.apache.ivy.plugins.parser.m2.PomModuleDescriptorBuilder.addExtraInfo(String, String)",0,0,4
org.apache.ivy.core.module.descriptor.DefaultDependencyDescriptor.getDependencyArtifacts(String),3,2,1313
"org.apache.xerces.impl.xs.traversers.XSDAttributeGroupTraverser.<init>(XSDHandler,",4,0,497
"org.apache.xerces.impl.dtd.XMLDTDValidator.handleEndElement(QName, Augmentations,",1,0,720
org.apache.ivy.util.ChecksumHelper_ESTest.test00(),3,0,1
org.apache.ivy.plugins.repository.ssh.SshResource_ESTest.test23(),0,0,1
java.util.HashMap$KeySet.contains(Object),4,4,1460
org.apache.ivy.ant.IvyResolveTest.testDoubleResolveWithResolveId(),500,0,1
org.apache.ivy.ant.IvyResolveTest.getResolvedIvyFileInCache(ModuleRevisionId),1,0,5
org.apache.ivy.plugins.repository.file.FileResource.getName(),0,0,3548
org.apache.ivy.core.IvyContext_ESTest.test03(),80,0,1
"java.util.Date.<init>(int, int, int)",7,7,16
"ivy_report$7.test(int, int, int, int, AbstractTranslet, DTMAxisIterator) pred(=(step(""attribute"", 29),",0,0,8
"org.apache.oro.text.regex.Perl5Compiler.__programAddOperatorTail(int,",0,0,111
org.apache.ivy.ant.IvyTask_ESTest.test03(),0,0,1
org.apache.ivy.plugins.resolver.packager.BuiltFileResource.getLastModified(),0,0,4
org.apache.ivy.core.deliver.DeliverOptions_ESTest.test55(),0,0,1
org.apache.ivy.core.event.download.DownloadEvent_ESTest.test0(),70,0,1
org.apache.ivy.util.filter.AndFilter_ESTest.test3(),0,0,1
"org.apache.ivy.plugins.repository.TransferEvent.<init>(Repository, Resource, long, int)",1518,0,22
