method,LOC,Cyclomatic,FanIn,FanOut,Loop
org.apache.ivy.core.settings.IvySettings.setDefaultCacheArtifactPattern(String),4,1,3,2,0
org.apache.ivy.core.settings.IvySettings.getDefaultCacheArtifactPattern(),3,1,4,1,0
org.apache.ivy.core.settings.IvySettings.setDefaultUseOrigin(boolean),3,1,6,1,0
org.apache.ivy.core.settings.IvySettings.isDefaultUseOrigin(),3,1,3,1,0
org.apache.ivy.core.settings.IvySettings.useDeprecatedUseOrigin(),5,1,3,2,0
org.apache.ivy.core.settings.IvySettings.validate(),11,1,15,2,0
org.apache.ivy.core.settings.IvySettings.validateAll(Collection),8,3,2,4,1
org.apache.ivy.core.settings.IvySettings.getContextNamespace(),3,1,1,1,0
org.apache.ivy.ant.IvyTask.doValidate(IvySettings),6,2,11,3,0
org.apache.ivy.ant.IvyTask.isValidate(),3,2,1,2,0
org.apache.ivy.ant.IvyTask.setValidate(boolean),3,1,7,2,0
org.apache.ivy.ant.IvyTask.setSettingsRef(Reference),3,1,5,1,0
org.apache.ivy.ant.IvyTask.getSettingsRef(),3,1,3,1,0
org.apache.ivy.ant.IvyTask.getSettings(),3,1,8,3,0
org.apache.ivy.ant.IvyTask.getIvyInstance(),23,4,43,11,0
"org.apache.ivy.ant.IvyTask.setResolved(ResolveReport, boolean)",14,2,3,8,0
"org.apache.ivy.ant.IvyTask.setResolved(ResolveReport, String, boolean)",10,2,4,5,0
"org.apache.ivy.ant.IvyTask.getResolvedConfigurations(String, String, boolean)",3,1,5,2,0
org.apache.ivy.ant.IvyTask.getResolvedDescriptor(String),3,1,2,2,0
"org.apache.ivy.ant.IvyTask.getResolvedDescriptor(String, boolean)",8,2,4,3,0
"org.apache.ivy.ant.IvyTask.getResolvedDescriptor(String, String)",3,1,2,2,0
"org.apache.ivy.ant.IvyTask.getResolvedDescriptor(String, String, boolean)",3,1,6,2,0
"org.apache.ivy.ant.IvyTask.getReference(String, String, String, boolean)",10,3,7,3,0
"org.apache.ivy.ant.IvyTask.getResolvedReport(String, String, String)",10,2,4,2,0
org.apache.ivy.ant.IvyTask.splitConfs(String),10,3,14,3,1
org.apache.ivy.ant.IvyTask.mergeConfs(String[]),3,1,3,2,0
"org.apache.ivy.ant.IvyTask.getPubDate(String, Date)",16,4,7,5,0
"org.apache.ivy.ant.IvyTask.getProperty(String, IvySettings, String)",9,2,13,4,0
"org.apache.ivy.ant.IvyTask.getProperty(String, IvySettings, String, String)",7,2,6,2,0
"org.apache.ivy.ant.IvyTask.getProperty(IvySettings, String, String)",7,2,5,2,0
"org.apache.ivy.ant.IvyTask.getProperty(IvySettings, String)",15,3,9,7,0
org.apache.ivy.ant.IvyTask.prepareTask(),6,1,4,8,0
org.apache.ivy.ant.IvyTask.finalizeTask(),6,2,2,5,0
org.apache.ivy.ant.IvyTask.execute(),8,1,176,3,0
org.apache.ivy.ant.IvyTask.doExecute(),1,1,1,0,0
org.apache.ivy.ant.IvyTask.toString(),3,1,0,4,0
org.apache.ivy.ant.IvyTask.cacheAttributeNotSupported(),4,1,7,0,0
org.apache.ivy.Ivy.getIvyVersion(),3,1,10,1,0
org.apache.ivy.Ivy.getIvyDate(),3,1,4,1,0
org.apache.ivy.Ivy.getIvyHomeURL(),3,1,5,1,0
org.apache.ivy.Ivy.newInstance(),5,1,27,3,0
org.apache.ivy.Ivy.newInstance(IvySettings),6,1,2,4,0
org.apache.ivy.Ivy.Ivy(),2,1,113,1,0
org.apache.ivy.Ivy.bind(),63,11,17,23,0
org.apache.ivy.Ivy.execute(IvyCallback),8,1,1,5,0
org.apache.ivy.Ivy.pushContext(),8,2,42,5,0
org.apache.ivy.Ivy.popContext(),3,1,42,1,0
org.apache.ivy.Ivy.configure(File),10,1,91,5,0
org.apache.ivy.Ivy.configure(URL),10,1,42,5,0
org.apache.ivy.Ivy.configureDefault(),10,1,7,5,0
org.apache.ivy.Ivy.configureDefault14(),10,1,2,5,0
"org.apache.ivy.Ivy.check(URL, String)",8,1,5,4,0
org.apache.ivy.Ivy.resolve(File),8,1,4,4,0
org.apache.ivy.Ivy.resolve(URL),8,1,3,4,0
"org.apache.ivy.Ivy.resolve(ModuleRevisionId, ResolveOptions, boolean)",9,1,11,4,0
"org.apache.ivy.Ivy.resolve(URL, ResolveOptions)",9,1,256,4,0
"org.apache.ivy.Ivy.resolve(ModuleDescriptor, ResolveOptions)",9,1,11,4,0
"org.apache.ivy.Ivy.install(ModuleRevisionId, String, String, InstallOptions)",9,1,16,4,0
"org.apache.ivy.Ivy.retrieve(ModuleRevisionId, String, RetrieveOptions)",9,1,17,4,0
"org.apache.ivy.Ivy.retrieve(ModuleRevisionId, RetrieveOptions)",9,1,4,4,0
"org.apache.ivy.Ivy.deliver(ModuleRevisionId, String, String)",10,1,5,4,0
"org.apache.ivy.Ivy.deliver(String, String, DeliverOptions)",9,1,9,3,0
"org.apache.ivy.Ivy.deliver(ModuleRevisionId, String, String, DeliverOptions)",9,1,8,3,0
"org.apache.ivy.Ivy.publish(ModuleRevisionId, Collection, String, PublishOptions)",9,1,11,4,0
"org.apache.ivy.Ivy.sortNodes(Collection, SortOptions)",8,1,3,5,0
"org.apache.ivy.Ivy.sortModuleDescriptors(Collection, SortOptions)",8,1,4,5,0
org.apache.ivy.Ivy.findModule(ModuleRevisionId),10,1,5,6,0
org.apache.ivy.Ivy.listModuleEntries(OrganisationEntry),8,1,3,4,0
"org.apache.ivy.Ivy.listModules(ModuleId, PatternMatcher)",8,1,4,4,0
"org.apache.ivy.Ivy.listModules(ModuleRevisionId, PatternMatcher)",8,1,6,4,0
org.apache.ivy.Ivy.listModules(String),8,1,3,4,0
org.apache.ivy.Ivy.listOrganisationEntries(),8,1,2,4,0
org.apache.ivy.Ivy.listOrganisations(),8,1,2,4,0
org.apache.ivy.Ivy.listRevisionEntries(ModuleEntry),8,1,3,4,0
"org.apache.ivy.Ivy.listRevisions(String, String)",8,1,4,4,0
"org.apache.ivy.Ivy.listTokenValues(String, Map)",8,1,6,4,0
org.apache.ivy.Ivy.interrupt(),4,1,1,3,0
org.apache.ivy.Ivy.interrupt(Thread),25,5,4,10,0
org.apache.ivy.Ivy.isInterrupted(),3,1,3,1,0
org.apache.ivy.Ivy.checkInterrupted(),6,2,4,3,0
org.apache.ivy.Ivy.getWorkingRevision(),3,1,24,2,0
org.apache.ivy.Ivy.getResolutionCacheManager(),3,1,21,2,0
org.apache.ivy.Ivy.assertBound(),5,2,8,1,0
org.apache.ivy.Ivy.postConfigure(),13,4,6,8,2
org.apache.ivy.Ivy.getVariable(String),9,1,12,5,0
org.apache.ivy.Ivy.substitute(String),9,1,5,5,0
"org.apache.ivy.Ivy.setVariable(String, String)",9,1,10,4,0
org.apache.ivy.Ivy.getSettings(),3,1,120,1,0
org.apache.ivy.Ivy.getEventManager(),3,1,6,1,0
org.apache.ivy.Ivy.getCheckEngine(),3,1,1,1,0
org.apache.ivy.Ivy.setCheckEngine(CheckEngine),3,1,1,1,0
org.apache.ivy.Ivy.getDeliverEngine(),3,1,1,1,0
org.apache.ivy.Ivy.setDeliverEngine(DeliverEngine),3,1,1,1,0
org.apache.ivy.Ivy.getInstallEngine(),3,1,1,1,0
org.apache.ivy.Ivy.setInstallEngine(InstallEngine),3,1,1,1,0
org.apache.ivy.Ivy.getPublishEngine(),3,1,3,1,0
org.apache.ivy.Ivy.setPublishEngine(PublishEngine),3,1,1,1,0
org.apache.ivy.Ivy.getResolveEngine(),3,1,13,1,0
org.apache.ivy.Ivy.setResolveEngine(ResolveEngine),3,1,1,1,0
org.apache.ivy.Ivy.getRetrieveEngine(),3,1,5,1,0
org.apache.ivy.Ivy.setRetrieveEngine(RetrieveEngine),3,1,1,1,0
org.apache.ivy.Ivy.getSearchEngine(),3,1,1,1,0
org.apache.ivy.Ivy.setSearchEngine(SearchEngine),3,1,1,1,0
org.apache.ivy.Ivy.getSortEngine(),3,1,5,1,0
org.apache.ivy.Ivy.setSortEngine(SortEngine),3,1,1,1,0
org.apache.ivy.Ivy.getRepositoryEngine(),3,1,1,1,0
org.apache.ivy.Ivy.setRepositoryEngine(RepositoryManagementEngine),3,1,1,1,0
org.apache.ivy.Ivy.setEventManager(EventManager),3,1,1,1,0
org.apache.ivy.Ivy.setSettings(IvySettings),3,1,6,1,0
org.apache.ivy.Ivy.getLoggerEngine(),3,1,10,1,0
org.apache.ivy.ant.IvyConfigure.setSettingsId(String),3,1,4,1,0
org.apache.ivy.ant.IvyConfigure.getSettingsId(),3,1,3,2,0
org.apache.ivy.ant.IvyConfigure.setOverride(String),7,2,6,4,0
org.apache.ivy.ant.IvyConfigure.getOverride(),3,1,1,1,0
org.apache.ivy.ant.IvyConfigure.getFile(),3,1,1,2,0
org.apache.ivy.ant.IvyConfigure.setFile(File),3,1,8,1,0
org.apache.ivy.ant.IvyConfigure.getUrl(),3,1,1,2,0
org.apache.ivy.ant.IvyConfigure.setUrl(String),3,1,7,1,0
org.apache.ivy.ant.IvyConfigure.setUrl(URL),6,2,3,2,0
org.apache.ivy.ant.IvyConfigure.getRealm(),3,1,1,2,0
org.apache.ivy.ant.IvyConfigure.setRealm(String),3,1,2,1,0
org.apache.ivy.ant.IvyConfigure.getHost(),3,1,1,2,0
org.apache.ivy.ant.IvyConfigure.setHost(String),3,1,2,1,0
org.apache.ivy.ant.IvyConfigure.getUserName(),3,1,1,2,0
org.apache.ivy.ant.IvyConfigure.setUserName(String),3,1,2,1,0
org.apache.ivy.ant.IvyConfigure.getPasswd(),3,1,1,2,0
org.apache.ivy.ant.IvyConfigure.setPasswd(String),3,1,2,1,0
org.apache.ivy.ant.IvyConfigure.execute(),17,3,17,8,0
org.apache.ivy.ant.IvyConfigure.verbose(String),3,1,3,1,0
org.apache.ivy.ant.IvyAntSettings.getDefaultInstance(ProjectComponent),27,4,4,10,0
org.apache.ivy.ant.IvyAntSettings.getDefaultInstance(Task),3,1,1,2,0
org.apache.ivy.ant.IvyAntSettings.getFile(),3,1,2,1,0
org.apache.ivy.ant.IvyAntSettings.getUrl(),3,1,2,1,0
org.apache.ivy.ant.IvyAntSettings.getPasswd(),3,1,3,1,0
org.apache.ivy.ant.IvyAntSettings.setPasswd(String),3,1,2,1,0
org.apache.ivy.ant.IvyAntSettings.getRealm(),3,1,3,1,0
org.apache.ivy.ant.IvyAntSettings.setRealm(String),3,1,2,2,0
org.apache.ivy.ant.IvyAntSettings.getHost(),3,1,3,1,0
org.apache.ivy.ant.IvyAntSettings.setHost(String),3,1,2,2,0
org.apache.ivy.ant.IvyAntSettings.getUsername(),3,1,3,1,0
org.apache.ivy.ant.IvyAntSettings.setUsername(String),3,1,2,2,0
org.apache.ivy.ant.IvyAntSettings.setProject(Project),7,2,5,7,0
org.apache.ivy.ant.IvyAntSettings.format(String),3,3,7,3,0
org.apache.ivy.ant.IvyAntSettings.addConfiguredCredentials(Credentials),4,1,2,5,0
org.apache.ivy.ant.IvyAntSettings.setFile(File),3,1,3,1,0
org.apache.ivy.ant.IvyAntSettings.setUrl(String),3,1,2,2,0
org.apache.ivy.ant.IvyAntSettings.setUrl(URL),3,1,2,1,0
org.apache.ivy.ant.IvyAntSettings.setId(String),10,3,4,7,0
org.apache.ivy.ant.IvyAntSettings.getId(),3,1,3,1,0
org.apache.ivy.ant.IvyAntSettings.getConfiguredIvyInstance(ProjectComponent),6,2,3,2,0
org.apache.ivy.ant.IvyAntSettings.getConfiguredIvyInstance(Task),3,1,1,2,0
org.apache.ivy.ant.IvyAntSettings.createIvyEngine(ProjectComponent),47,9,9,21,0
org.apache.ivy.ant.IvyAntSettings.getDefaultProperties(ProjectComponent),18,3,4,7,0
"org.apache.ivy.ant.IvyAntSettings.defineDefaultSettingFile(IvyVariableContainer, ProjectComponent)",42,8,8,16,1
org.apache.ivy.ant.IvyAntSettings.configureURLHandler(),8,1,2,9,0
org.apache.ivy.ant.AntCallTrigger.progress(IvyEvent),28,6,4,21,1
org.apache.ivy.ant.AntCallTrigger.markTriggered(IvyEvent),3,1,3,1,0
org.apache.ivy.ant.AntCallTrigger.isTriggered(IvyEvent),3,1,3,2,0
org.apache.ivy.ant.AntCallTrigger.getTarget(),3,1,2,1,0
org.apache.ivy.ant.AntCallTrigger.setTarget(String),3,1,1,1,0
org.apache.ivy.ant.AntCallTrigger.isOnlyonce(),3,1,1,1,0
org.apache.ivy.ant.AntCallTrigger.setOnlyonce(boolean),3,1,1,1,0
org.apache.ivy.ant.AntCallTrigger.getPrefix(),3,1,1,1,0
org.apache.ivy.ant.AntCallTrigger.setPrefix(String),6,2,1,2,0
org.apache.ivy.core.IvyContext.IvyContext(),2,1,2,1,0
org.apache.ivy.core.IvyContext.IvyContext(IvyContext),8,1,8,8,0
org.apache.ivy.core.IvyContext.getContext(),7,2,48,6,0
org.apache.ivy.core.IvyContext.getCurrentStack(),8,2,5,4,0
org.apache.ivy.core.IvyContext.pushNewContext(),3,1,2,3,0
org.apache.ivy.core.IvyContext.pushNewCopyContext(),3,1,3,4,0
org.apache.ivy.core.IvyContext.pushContext(IvyContext),4,1,5,3,0
org.apache.ivy.core.IvyContext.popContext(),3,1,5,3,0
org.apache.ivy.core.IvyContext.peekInContextStack(String),9,2,3,5,1
org.apache.ivy.core.IvyContext.getIvy(),4,2,11,3,0
org.apache.ivy.core.IvyContext.peekIvy(),4,1,5,2,0
org.apache.ivy.core.IvyContext.getDefaultIvy(),10,3,2,4,0
org.apache.ivy.core.IvyContext.setIvy(Ivy),4,1,3,4,0
org.apache.ivy.core.IvyContext.getSettings(),3,1,12,3,0
org.apache.ivy.core.IvyContext.getCircularDependencyStrategy(),3,1,2,3,0
org.apache.ivy.core.IvyContext.get(String),4,2,3,3,0
"org.apache.ivy.core.IvyContext.set(String, Object)",3,1,4,2,0
org.apache.ivy.core.IvyContext.peek(String),17,4,7,6,0
org.apache.ivy.core.IvyContext.pop(String),17,4,3,6,0
"org.apache.ivy.core.IvyContext.pop(String, Object)",21,5,4,8,0
"org.apache.ivy.core.IvyContext.push(String, Object)",13,3,5,7,0
org.apache.ivy.core.IvyContext.getOperatingThread(),3,1,2,1,0
