method,Time,Count
java.util.HashSet.isEmpty(),12916,24960
"org.apache.cxf.common.util.ReflectionInvokationHandler.invoke(Object, Method, Object[])",12812,27648
"org.apache.cxf.common.classloader.ClassLoaderUtils.loadClass(String, Class)",12752,7950
sun.net.www.protocol.http.HttpURLConnection.getInputStream(),12724,752
org.apache.cxf.aegis.type.AbstractTypeCreator.createTypeForClass(TypeClassInfo),12694,3878
com.sun.tools.javac.api.JavacTaskImpl.call(),12442,14
"org.apache.cxf.common.annotation.AnnotationProcessor.processMethods(AnnotationVisitor, Class)",12404,5526
"javax.xml.bind.JAXBContext.newInstance(Class[], Map)",12168,1204
org.apache.cxf.tools.validator.internal.WSDL11Validator.isValid(),12100,38
"org.apache.cxf.staxutils.StaxUtils.read(XMLStreamReader, boolean)",11462,662
"org.apache.derby.impl.jdbc.EmbedPreparedStatement.<init>(EmbedConnection, String, boolean, int, int, int, int, int[],",11358,616
org.apache.cxf.aegis.type.java5.XMLGregorianCalendarType.<init>(),10806,4528
"org.apache.cxf.common.logging.LogUtils.createLogger(Class, String, String)",10588,2430
"org.apache.cxf.management.web.logging.ReadOnlyFileStorageTest.readPage(int, SearchCondition, int, int)",10432,86
"org.apache.cxf.management.web.logging.ReadOnlyFileStorage.load(List, SearchCondition, int, int)",10430,86
java.net.HttpURLConnection.getResponseCode(),10342,326
org.apache.cxf.management.web.logging.ReadOnlyFileStorage.readRecord(ReadOnlyFileStorage$FileInfo),10330,1238
"java.lang.String.format(String, Object[])",9954,93728
"org.apache.cxf.management.web.logging.ReadOnlyFileStorage.readTheLine(RandomAccessFile, Map, int)",9478,2720
"org.apache.cxf.bus.spring.TunedDocumentLoader.loadDocument(InputSource, EntityResolver, ErrorHandler, int, boolean)",9458,94
java.io.RandomAccessFile.readLine(),9426,2682
org.apache.cxf.bus.spring.ControlledValidationXmlBeanDefinitionReader.loadBeanDefinitions(EncodedResource),9422,70
"org.apache.cxf.bus.spring.ControlledValidationXmlBeanDefinitionReader.doLoadBeanDefinitions(InputSource, Resource)",9364,70
"org.apache.cxf.common.jaxb.JAXBContextCache.addJaxbObjectFactory(JAXBException, Set)",9188,824
"org.apache.wss4j.dom.processor.EncryptedKeyProcessor.handleToken(Element, RequestData, WSDocInfo, AlgorithmSuite)",9112,80
"org.apache.cxf.bus.CXFBusFactory.createBus(Map, Map)",9092,432
org.apache.cxf.phase.PhaseInterceptorChain.doIntercept(Message),8974,460
org.apache.cxf.tools.common.toolspec.parser.CommandDocument.getParameters(String),8754,1432
org.apache.cxf.tools.common.toolspec.ToolSpec.getParameterDefault(String),8696,680
org.apache.cxf.tools.common.toolspec.ToolSpec.getElementById(String),8674,680
"com.sun.org.apache.xalan.internal.xsltc.trax.TransformerImpl.transform(Source, Result)",8670,876
"java.io.File.<init>(File, String)",8538,417816
"org.apache.cxf.common.classloader.ClassLoaderUtils.getResource(String, Class)",8482,1196
org.apache.cxf.aegis.type.XMLTypeCreator.findMapping(Type),8294,6200
org.apache.cxf.wsdl.service.factory.ReflectionServiceFactoryBean.createInterface(ServiceInfo),7804,276
java.net.URL.openStream(),7726,12682
org.apache.cxf.bus.extension.ExtensionManagerImpl$1.run(),7674,14436
com.sun.org.apache.xerces.internal.jaxp.DocumentBuilderImpl.parse(InputSource),7504,436
"org.apache.pdfbox.util.operator.SetTextFont.process(PDFOperator, List)",7494,2820
org.apache.pdfbox.util.PDFStreamEngine.getFonts(),7482,2820
"com.sun.org.apache.xpath.internal.jaxp.XPathImpl.evaluate(String, Object, QName)",7444,536
"org.bouncycastle.crypto.engines.RSABlindedEngine.processBlock(byte[], int,",7308,270
org.apache.cxf.common.i18n.BundleUtils.getBundle(Class),7256,1732
org.apache.cxf.common.injection.ResourceInjector.inject(Object),7218,7248
"org.apache.cxf.common.injection.ResourceInjector.inject(Object, Class)",7214,7248
org.apache.cxf.tools.common.toolspec.parser.CommandDocument.hasParameter(String),7162,760
"sun.launcher.LauncherHelper.checkAndLoadMain(boolean, int, String)",7156,58
"java.math.BigInteger.modPow(BigInteger, BigInteger)",7072,580
"org.apache.cxf.transport.http_jetty.JettyHTTPServerEngine.addServant(URL, JettyHTTPHandler)",7068,26
java.util.regex.Matcher.find(),6788,118064
"java.beans.Introspector.getBeanInfo(Class, Class)",6762,618
javax.xml.parsers.DocumentBuilder.parse(InputStream),6516,528
"org.apache.cxf.xmlbeans.XmlBeansSchemaInitializer.mapClass(MessagePartInfo, Class)",6446,350
"org.apache.cxf.aegis.type.XMLTypeCreator.createClassInfo(Method, int)",6426,1556
"org.apache.cxf.common.jaxb.JAXBContextCache.getCachedContextAndSchemas(Set, String, Map, Collection, boolean)",6402,338
org.apache.cxf.sdo.SDODataBinding.initialize(Service),6382,16
"java.lang.reflect.Proxy.newProxyInstance(ClassLoader, Class[], InvocationHandler)",6348,27336
java.io.DataInputStream.readBoolean(),6336,1700
org.apache.cxf.jaxws.support.JaxWsServiceConfiguration.getResponseWrapper(Method),6248,1802
"org.apache.cxf.wsdl.service.factory.ReflectionServiceFactoryBean.createOutputWrappedMessageParts(OperationInfo, Method, MessageInfo)",6226,1670
"org.apache.cxf.wsdl.service.factory.ReflectionServiceFactoryBean.createInputWrappedMessageParts(OperationInfo, Method, MessageInfo)",6206,1690
"org.apache.cxf.common.annotation.AnnotationProcessor.accept(AnnotationVisitor, Class)",6188,1906
java.net.URL.openConnection(),6158,15926
org.apache.cxf.tools.common.toolspec.parser.CommandLineParser.parseArguments(String[]),6058,100
org.apache.cxf.ws.security.wss4j.AbstractSecurityTest.getSoapMessageForDom(Document),5670,180
org.apache.cxf.aegis.type.AbstractTypeCreator.createType(Type),5638,884
"org.apache.cxf.wsdl.JAXBExtensionHelper.createExtensionClass(Class, QName)",5562,654
javax.crypto.Cipher.getInstance(String),5560,32
"org.apache.cxf.tools.wadlto.jaxrs.SourceGenerator.createCodeModel(List, Set)",5446,40
java.lang.Class.getResource(String),5426,3378
java.lang.reflect.Method.getParameterAnnotations(),5378,32500
org.apache.cxf.ws.rm.persistence.jdbc.RMTxStoreConfigurationTest.testTxStoreBean(),5124,2
com.sun.xml.internal.messaging.saaj.soap.MessageImpl.saveChanges(),5108,236
javax.crypto.KeyGenerator.getInstance(String),5056,44
"org.apache.cxf.ws.rm.persistence.jdbc.RMTxStore.verifyTable(Connection, String, String[][])",5056,132
org.apache.cxf.bus.extension.TextExtensionFragmentParser.getExtensions(InputStream),4964,10558
org.apache.cxf.management.jmx.BusRegistrationTest.testRegisterMultipleBuses(String),4962,4
"org.apache.cxf.wsdl11.WSDLServiceBuilder.buildServices(Definition, Service, QName, DescriptionInfo)",4950,258
org.apache.cxf.wsdl.service.factory.ReflectionServiceFactoryBean.initializeWSDLOperations(),4850,108
"java.lang.Class.getMethod(String, Class[])",4772,29412
"org.apache.cxf.aegis.type.XMLTypeCreator.getMatch(Node, String)",4682,4894
java.lang.Class.getConstructor(Class[]),4596,34184
"org.apache.cxf.wsdl.JAXBExtensionHelper.addExtensions(ExtensionRegistry, Class, Class, String)",4548,634
org.apache.cxf.aegis.type.XMLTypeCreator.getDocument(Class),4534,6198
org.apache.cxf.common.logging.LogUtils.getL7dLogger(Class),4488,970
"org.apache.cxf.tools.common.toolspec.ToolSpec.transform(InputStream, OutputStream)",4458,24
org.apache.cxf.tools.corba.processors.idl.IDLProcessor.process(),4388,134
"org.apache.ws.commons.schema.SchemaBuilder.handleXmlSchemaElement(Element, String)",4376,184
org.apache.cxf.bus.spring.BusApplicationContext.loadBeanDefinitions(DefaultListableBeanFactory),4342,10
"org.apache.ws.commons.schema.SchemaBuilder.handleSchemaElementChild(Element, Element)",4234,1862
"org.apache.derby.impl.store.raw.data.RAFContainer.padFile(StorageRandomAccessFile,",4228,158
"org.apache.cxf.tools.corba.processors.idl.WSDLASTVisitor.<init>(String, String, String, String)",4088,134
"org.apache.derby.impl.sql.catalog.DataDictionaryImpl.getDescriptorViaIndex(int, ExecIndexRow, ScanQualifier[][], TabInfoImpl, TupleDescriptor, List,",4084,2874
org.apache.cxf.tools.corba.processors.idl.WSDLASTVisitor.visit(AST),3936,134
org.apache.cxf.bus.spring.ControlledValidationXmlBeanDefinitionReader$1.run(),3932,40
org.apache.cxf.aegis.type.basic.BeanTypeInfo.getType(QName),3742,4684
java.security.KeyPairGenerator$Delegate.generateKeyPair(),3738,4
org.apache.cxf.aegis.type.AbstractTypeCreator.createType(PropertyDescriptor),3730,1188
org.apache.cxf.bus.extension.Extension.getClassObject(ClassLoader),3730,32952
org.apache.cxf.wsdl.service.factory.ReflectionServiceFactoryBean.getResponseWrapper(Method),3704,1528
"org.apache.cxf.common.injection.ResourceInjector.visitMethod(Method, Annotation)",3680,212
org.apache.cxf.tools.corba.processors.idl.WSDLSchemaManager.createWSDLDefinition(String),3672,168
org.apache.cxf.ws.security.wss4j.WSS4JOutInterceptor$WSS4JOutInterceptorInternal.handleMessage(SoapMessage),3642,72
"org.apache.wss4j.dom.handler.WSHandler.doSenderAction(Document, RequestData, List, boolean)",3610,68
org.apache.cxf.tools.wadlto.jaxrs.SourceGenerator.getSchemaElements(SourceGenerator$Application),3542,56
org.apache.cxf.binding.soap.SoapBindingFactory.createSoapBinding(SoapBindingInfo),3512,300
com.sun.xml.internal.messaging.saaj.soap.SOAPPartImpl.getEnvelope(),3460,3018
"org.apache.cxf.tools.wadlto.jaxrs.SourceGenerator.createSchemaInfo(Element, String)",3442,46
org.opensaml.xml.io.AbstractXMLObjectMarshaller.<init>(),3442,2124
"org.apache.ws.commons.schema.XmlSchemaCollection.read(Element, String)",3430,46
org.apache.cxf.frontend.AbstractWSDLBasedEndpointFactory.createEndpoint(),3392,26
"org.bouncycastle.crypto.encodings.PKCS1Encoding.decodeBlock(byte[], int,",3388,164
"org.apache.cxf.wsdl11.SchemaUtil.extractSchema(Definition, SchemaCollection, List)",3384,276
org.apache.cxf.aegis.type.XMLTypeCreator.isEnum(Class),3334,2586
org.apache.jcp.xml.dsig.internal.dom.DOMXMLSignature.sign(XMLSignContext),3328,56
org.apache.cxf.transport.http_jetty.JettyHTTPServerEngine.shutdown(),3320,70
org.apache.cxf.tools.corba.processors.idl.IDLParser.specification(),3304,134
java.lang.String.length(),3228,26045532
"org.apache.cxf.wsdl.service.factory.ReflectionServiceFactoryBean.createMessageParts(InterfaceInfo, OperationInfo, Method)",3226,1256
org.apache.cxf.transport.http_jetty.JettyHTTPServerEngineTest.testaddServants(),3198,2
org.apache.cxf.wsdl.service.factory.ReflectionServiceFactoryBean.create(),3198,36
java.lang.System.gc(),3156,142
"org.apache.derby.impl.jdbc.EmbedDatabaseMetaData.prepareSPS(String, String,",3144,134
java.beans.Introspector.getBeanInfo(Class),3128,370
org.apache.cxf.wsdl.service.factory.ReflectionServiceFactoryBean.getRequestWrapper(Method),3122,1628
org.apache.cxf.jaxws.support.JaxWsServiceConfiguration.getRequestWrapper(Method),3116,1616
com.ibm.wsdl.factory.WSDLFactoryImpl.newPopulatedExtensionRegistry(),3094,416
org.apache.cxf.jaxrs.client.JAXRSClientFactoryBeanTest.testCreateClientWithTwoUserResources(),3084,2
"org.apache.cxf.wsdl11.SchemaUtil.getSchemas(Definition, SchemaCollection, List)",3082,244
org.apache.activemq.thread.PooledTaskRunner$1.run(),2966,1684
org.apache.activemq.thread.PooledTaskRunner.runTask(),2962,1684
"org.mozilla.javascript.Context.evaluateReader(Scriptable, Reader, String, int, Object)",2960,18
org.apache.neethi.PolicyBuilder.getPolicyOperator(Object),2832,1182
org.apache.cxf.tools.corba.processors.idl.IDLLexer.nextToken(),2818,16966
"org.apache.neethi.PolicyBuilder.processOperationElement(Object, PolicyOperator)",2796,1668
javax.net.ssl.SSLContext.getInstance(String),2776,8
org.apache.neethi.AssertionBuilderFactoryImpl.build(Object),2776,2028
org.apache.activemq.transport.ResponseCorrelator.onCommand(Object),2768,1136
org.apache.cxf.ws.rm.soap.RMSoapInInterceptorTest.setUpInboundMessage(String),2730,8
"org.eclipse.xsd.util.XSDResourceImpl.load(InputSource, Map)",2698,12
org.apache.cxf.rs.security.oauth2.utils.crypto.CryptoUtilsTest.testBearerTokenJSONCertificate(),2688,2
com.sun.org.apache.xerces.internal.jaxp.DocumentBuilderFactoryImpl.newDocumentBuilder(),2678,776
"org.apache.cxf.common.util.ReflectionUtil.getPropertyDescriptorsAvoidSunBug(Class, BeanInfo, Class, PropertyDescriptor[])",2634,542
"org.apache.cxf.helpers.FileUtils.removeDir(File, boolean)",2614,70
"org.apache.cxf.helpers.FileUtils.delete(File, boolean)",2580,112
"org.apache.cxf.jaxrs.model.ClassResourceInfo.<init>(Class, Class, boolean, boolean, Bus)",2570,454
"org.apache.cxf.transport.http_jetty.JettyHTTPDestinationTest.setUpDestination(boolean, boolean)",2562,30
java.lang.StringBuffer.append(char),2526,3862588
org.apache.cxf.aegis.type.basic.BeanType.getDependencies(),2506,436
org.apache.cxf.rs.security.oauth2.tokens.hawk.HawkAccessTokenValidatorTest.testValidateAccessToken(),2504,2
org.apache.cxf.bus.extension.ExtensionManagerBus.<init>(),2496,78
javax.xml.bind.JAXBException.printStackTrace(PrintStream),2462,536
"org.apache.cxf.binding.xml.interceptor.TestBase.common(String, QName, Class[])",2458,14
"org.apache.cxf.wsdl11.WSDLServiceBuilder.getSchemas(Definition, ServiceInfo)",2426,208
"org.apache.cxf.wsdl.service.factory.DefaultServiceConfiguration.getDefaultLocalName(OperationInfo, Method, int, String)",2400,2544
org.apache.cxf.ws.rm.DestinationSequenceTest.testMonitor(),2400,2
"org.apache.cxf.wsdl.service.factory.ReflectionServiceFactoryBean.getInParameterName(OperationInfo, Method, int)",2378,1362
org.apache.cxf.wsdl.service.factory.ParamReader.getParameterNamesFromDebugInfo(Method),2342,1168
"java.io.BufferedInputStream.read(byte[], int, int)",2322,9278
org.apache.cxf.bus.extension.ExtensionManagerBus.initialize(),2290,72
"org.apache.cxf.aegis.databinding.AegisDatabinding.addDependencies(Set, AegisType)",2276,2578
org.apache.cxf.transport.http.HTTPConduit.prepare(Message),2276,34
org.apache.cxf.tools.corba.processors.idl.DefinitionVisitor.visit(AST),2254,942
"org.apache.cxf.jaxrs.model.AbstractResourceInfo.findContexts(Class, Object, Map)",2246,534
java.io.File.<init>(String),2222,19720
"org.apache.cxf.transport.http.URLConnectionHTTPConduit.setupConnection(Message, URI, HTTPClientPolicy)",2194,34
"org.apache.cxf.transport.http.URLConnectionHTTPConduit.createConnection(Message, URI, HTTPClientPolicy)",2184,34
"org.apache.cxf.jaxrs.model.BeanResourceInfo.<init>(Class, Class, boolean, boolean, Bus)",2150,364
javax.xml.transform.TransformerFactory.newInstance(),2138,674
"org.apache.cxf.binding.soap.SoapBindingFactory.createBindingInfo(ServiceInfo, String, Object)",2122,244
org.apache.cxf.bus.spring.SpringBus.setApplicationContext(ApplicationContext),2082,34
"org.apache.cxf.jaxrs.utils.ResourceUtils.evaluateResourceClass(ClassResourceInfo, boolean)",2074,302
org.apache.cxf.transport.http_jetty.JettyHTTPServerEngineTest.testHttpAndHttps(),2070,2
org.apache.cxf.tools.corba.processors.idl.IDLParser.definition(),2060,942
"org.apache.cxf.aegis.type.XMLTypeCreator.getMatches(Node, String)",2044,1476
org.apache.cxf.jaxrs.provider.aegis.AbstractAegisProvider.getClassContext(Type),2038,38
org.apache.cxf.ws.rm.SourceSequenceTest.testSetExpires(),2020,2
org.apache.cxf.management.jmx.MBServerConnectorTest.testMBServerConnector(),2010,2
org.apache.cxf.tools.corba.IDLToWSDL.checkParams(ErrorVisitor),2010,32
"org.apache.cxf.rs.security.oauth2.jwe.JweCompactReaderWriterTest.decrypt(String, String, boolean)",2006,4
org.apache.xml.resolver.CatalogManager.readProperties(),1994,516
org.eclipse.jetty.server.Server.addConnector(Connector),1994,14
org.apache.cxf.rs.security.oauth2.jwe.AbstractJweDecryption.doDecrypt(JweCompactConsumer),1990,6
org.apache.cxf.rs.security.oauth2.jwe.WrappedKeyJweDecryption.getContentEncryptionKey(JweCompactConsumer),1978,4
"org.apache.cxf.jaxrs.model.AbstractResourceInfo.findContextFields(Class, Object)",1968,1316
org.apache.cxf.ws.rm.soap.RetransmissionQueueImplTest.createMock(Class),1920,188
org.apache.cxf.tools.wsdlto.core.WSDLDefinitionBuilder.registerWSDLExtensibilityPlugins(ExtensionRegistry),1914,58
org.apache.cxf.tools.corba.IDLToWSDLTest.tearDown(),1912,40
org.apache.cxf.jaxrs.JAXRSServiceFactoryBean.setResourceClasses(List),1892,124
javax.xml.validation.SchemaFactory.newSchema(Source),1882,38
org.apache.cxf.jaxrs.provider.ServerProviderFactory.createInstance(Bus),1882,500
"org.apache.cxf.jaxrs.utils.ResourceUtils.createClassResourceInfo(Class, Class, ClassResourceInfo, boolean, boolean, Bus)",1870,264
"java.net.URL.<init>(URL, String, URLStreamHandler)",1868,72826
org.apache.cxf.wsdl11.WSDLServiceBuilder.buildMockServices(Definition),1864,88
org.apache.cxf.aegis.type.XMLTypeCreator.createClassInfo(PropertyDescriptor),1856,1174
org.apache.activemq.transport.vm.VMTransportFactory.doCompositeConnect(URI),1844,28
org.apache.cxf.jaxrs.client.JAXRSClientFactoryBean.createWithValues(Object[]),1840,34
"org.apache.cxf.aegis.type.java5.Java5TypeCreator.getOrCreateParameterizedType(TypeClassInfo, int, boolean)",1822,740
"org.apache.cxf.jaxrs.model.AbstractResourceInfo.getFieldThreadLocalProxy(Field, Object)",1796,1858
org.apache.cxf.bus.extension.ExtensionManagerImpl.activateAllByType(Class),1796,114
java.util.Properties.loadFromXML(InputStream),1794,108
"org.apache.xerces.impl.XMLEntityScanner.scanData(String,",1770,76684
java.lang.ClassLoader.getSystemResource(String),1766,856
sun.nio.ch.WindowsSelectorProvider.openSelector(),1762,576
java.lang.ClassLoader.getSystemResourceAsStream(String),1754,848
"org.apache.xerces.impl.xs.traversers.XSDElementTraverser.traverseNamedElement(Element, Object[], XSDocumentInfo, SchemaGrammar, boolean,",1738,7220
org.apache.cxf.jaxrs.utils.InjectionUtils.createThreadLocalProxy(Class),1722,2424
"org.springframework.core.io.support.PropertiesLoaderUtils.loadAllProperties(String, ClassLoader)",1714,152
"com.sun.org.apache.xml.internal.serialize.DOMSerializerImpl.write(Node, LSOutput)",1706,164
org.apache.cxf.rs.security.oauth2.jwe.JweCompactReaderWriterTest.testEncryptDecryptJwsToken(),1700,2
"org.apache.cxf.wsdl11.WSDLServiceBuilder.buildMockService(Definition, PortType)",1678,98
"org.apache.cxf.bus.extension.Extension.tryClass(String, ClassLoader)",1670,4464
"org.apache.xerces.impl.xs.traversers.XSAttributeChecker.checkAttributes(Element, boolean,",1664,84796
org.apache.cxf.binding.soap.TestBase.getMockedServiceModel(String),1660,12
"org.apache.xerces.impl.xs.traversers.XSAttributeChecker.checkAttributes(Element, boolean, XSDocumentInfo,",1654,86884
"org.apache.cxf.rs.security.oauth2.utils.crypto.CryptoUtils.processBytes(byte[], Key, KeyProperties, int)",1648,76
org.apache.cxf.BusFactory.getThreadDefaultBus(boolean),1640,1042
