method,method,invocation counts
"org.apache.pdfbox.debugger.streampane.tooltip.ToolTipController.getToolTip(int, JTextComponent)",org.apache.pdfbox.debugger.streampane.tooltip.ToolTipController.getWord(int),11
org.apache.pdfbox.debugger.streampane.tooltip.ToolTipController.getWord(int),"javax.swing.text.Utilities.getWordStart(JTextComponent, int)",11
org.apache.pdfbox.debugger.streampane.tooltip.ToolTipController.getWord(int),"javax.swing.text.Utilities.getWordEnd(JTextComponent, int)",9
org.apache.pdfbox.debugger.streampane.tooltip.ToolTipController.getWord(int),java.lang.ClassLoader.loadClass(String),1
org.apache.pdfbox.debugger.streampane.tooltip.ToolTipController.getWord(int),"javax.swing.text.AbstractDocument.getText(int, int)",9
org.apache.pdfbox.debugger.streampane.tooltip.ToolTipController.getWord(int),"java.lang.ClassLoader.checkPackageAccess(Class, ProtectionDomain)",2
org.apache.pdfbox.debugger.streampane.tooltip.ToolTipController.getWord(int),java.lang.String.trim(),9
"org.apache.pdfbox.debugger.streampane.tooltip.ToolTipController.getToolTip(int, JTextComponent)",org.apache.pdfbox.debugger.streampane.tooltip.ToolTipController.getRowText(int),10
org.apache.pdfbox.debugger.streampane.tooltip.ToolTipController.getRowText(int),java.lang.Throwable.printStackTrace(),11
org.apache.pdfbox.debugger.streampane.tooltip.ToolTipController.getRowText(int),"javax.swing.text.Utilities.getRowStart(JTextComponent, int)",12
org.apache.pdfbox.debugger.streampane.tooltip.ToolTipController.getRowText(int),"javax.swing.text.AbstractDocument.getText(int, int)",12
org.apache.pdfbox.debugger.streampane.tooltip.ToolTipController.getRowText(int),"javax.swing.text.Utilities.getRowEnd(JTextComponent, int)",12
"org.apache.pdfbox.debugger.streampane.tooltip.ToolTipController.getToolTip(int, JTextComponent)",java.lang.String.equals(Object),46
org.apache.pdfbox.debugger.streampane.tooltip.ToolTipController_ESTest.test00(),javax.swing.text.StyledEditorKit.createDefaultDocument(),1
org.apache.pdfbox.debugger.streampane.tooltip.ToolTipController_ESTest.test00(),javax.swing.JTextField.<clinit>(),1
org.apache.pdfbox.debugger.streampane.tooltip.ToolTipController_ESTest.test00(),java.lang.ClassLoader.loadClass(String),2
org.apache.pdfbox.debugger.streampane.tooltip.ToolTipController_ESTest.test00(),javax.swing.text.StyledEditorKit.<init>(),1
org.apache.pdfbox.debugger.streampane.tooltip.ToolTipController_ESTest.test00(),"java.lang.ClassLoader.checkPackageAccess(Class, ProtectionDomain)",3
org.apache.pdfbox.debugger.streampane.tooltip.ToolTipController_ESTest.test00(),org.apache.pdfbox.debugger.streampane.tooltip.ToolTipController.<init>(PDResources),1
org.apache.pdfbox.debugger.streampane.tooltip.ToolTipController_ESTest.test00(),org.apache.pdfbox.pdmodel.PDResources.<init>(),1
org.apache.pdfbox.pdmodel.PDResources.<init>(),org.apache.pdfbox.cos.COSDictionary.<init>(),61
org.apache.pdfbox.cos.COSDictionary.<init>(),java.util.LinkedHashMap.<init>(),3084
org.apache.pdfbox.cos.COSDictionary.<init>(),org.apache.pdfbox.cos.COSBase.<init>(),3084
org.apache.pdfbox.debugger.streampane.tooltip.ToolTipController_ESTest.test00(),java.lang.Class.getName(),4
org.apache.pdfbox.debugger.streampane.tooltip.ToolTipController_ESTest.test00(),java.lang.String.equals(Object),2
org.apache.pdfbox.debugger.streampane.tooltip.ToolTipController_ESTest.test00(),java.lang.String.startsWith(String),1
java.lang.Thread.run(),org.apache.pdfbox.debugger.flagbitspane.AnnotFlag_ESTest.test0(),1
org.apache.pdfbox.debugger.flagbitspane.AnnotFlag_ESTest.test0(),org.apache.pdfbox.debugger.flagbitspane.AnnotFlag.getFlagBits(),1
org.apache.pdfbox.debugger.flagbitspane.AnnotFlag.getFlagBits(),org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotation.<clinit>(),2
org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotation.<clinit>(),org.apache.commons.logging.LogFactory.getLog(Class),3
org.apache.commons.logging.LogFactory.getLog(Class),org.apache.commons.logging.LogFactory.getFactory(),173
org.apache.commons.logging.LogFactory.getFactory(),"org.apache.commons.logging.LogFactory.newFactory(String, ClassLoader, ClassLoader)",15
"org.apache.commons.logging.LogFactory.newFactory(String, ClassLoader, ClassLoader)",org.apache.commons.logging.LogFactory$2.run(),15
org.apache.commons.logging.LogFactory$2.run(),"org.apache.commons.logging.LogFactory.createFactory(String, ClassLoader)",15
"org.apache.commons.logging.LogFactory.createFactory(String, ClassLoader)",java.lang.ClassLoader.loadClass(String),15
