method,LOC,Cyclomatic,FanIn,FanOut,Loop
org.apache.avro.generic.GenericDatumReader.GenericDatumReader(Schema),4,1,13,3,0
"org.apache.avro.generic.GenericDatumReader.GenericDatumReader(Schema, Schema)",5,1,7,3,0
org.apache.avro.generic.GenericDatumReader.setSchema(Schema),7,2,3,3,0
org.apache.avro.generic.GenericDatumReader.setExpected(Schema),3,1,1,1,0
"org.apache.avro.generic.GenericDatumReader.read(D, Decoder)",6,2,18,5,0
"org.apache.avro.generic.GenericDatumReader.read(Object, Schema, ResolvingDecoder)",20,15,21,19,0
"org.apache.avro.generic.GenericDatumReader.readRecord(Object, Schema, ResolvingDecoder)",11,3,4,9,1
"org.apache.avro.generic.GenericDatumReader.setField(Object, String, int, Object)",3,1,4,1,0
"org.apache.avro.generic.GenericDatumReader.getField(Object, String, int)",3,1,3,2,0
"org.apache.avro.generic.GenericDatumReader.removeField(Object, String, int)",3,1,2,1,0
"org.apache.avro.generic.GenericDatumReader.readEnum(Schema, Decoder)",3,1,3,5,0
"org.apache.avro.generic.GenericDatumReader.createEnum(String, Schema)",1,1,2,1,0
"org.apache.avro.generic.GenericDatumReader.readArray(Object, Schema, ResolvingDecoder)",18,4,4,8,2
org.apache.avro.generic.GenericDatumReader.peekArray(Object),3,1,2,2,0
"org.apache.avro.generic.GenericDatumReader.addToArray(Object, long, Object)",3,1,3,1,0
"org.apache.avro.generic.GenericDatumReader.readMap(Object, Schema, ResolvingDecoder)",14,4,4,8,2
"org.apache.avro.generic.GenericDatumReader.addToMap(Object, Object, Object)",3,1,4,1,0
"org.apache.avro.generic.GenericDatumReader.readFixed(Object, Schema, Decoder)",6,1,4,5,0
"org.apache.avro.generic.GenericDatumReader.createFixed(Object, Schema)",6,2,5,3,0
"org.apache.avro.generic.GenericDatumReader.createFixed(Object, byte[], Schema)",5,1,3,5,0
"org.apache.avro.generic.GenericDatumReader.newRecord(Object, Schema)",8,3,3,2,0
"org.apache.avro.generic.GenericDatumReader.newArray(Object, int, Schema)",6,2,4,2,0
"org.apache.avro.generic.GenericDatumReader.newMap(Object, int)",6,2,3,3,0
"org.apache.avro.generic.GenericDatumReader.readString(Object, Schema, Decoder)",4,1,3,2,0
"org.apache.avro.generic.GenericDatumReader.readString(Object, Decoder)",3,1,5,2,0
org.apache.avro.generic.GenericDatumReader.createString(String),1,1,1,2,0
"org.apache.avro.generic.GenericDatumReader.readBytes(Object, Decoder)",3,1,3,2,0
"org.apache.avro.generic.GenericDatumReader.readInt(Object, Schema, Decoder)",4,1,2,2,0
org.apache.avro.generic.GenericDatumReader.createBytes(byte[]),1,1,1,2,0
"org.apache.avro.generic.GenericDatumReader.skip(Schema, Decoder)",47,20,17,20,5
"org.apache.avro.ipc.stats.FloatHistogram.FloatHistogram(Segmenter<B, Float>)",3,1,3,2,0
org.apache.avro.ipc.stats.FloatHistogram.add(Float),5,1,3,3,0
org.apache.avro.ipc.stats.FloatHistogram.getMean(),6,2,6,1,0
org.apache.avro.ipc.stats.FloatHistogram.getUnbiasedStdDev(),7,2,5,3,0
"org.apache.avro.ipc.stats.Histogram.Histogram(Segmenter<B, T>)",4,1,4,4,0
org.apache.avro.ipc.stats.Histogram.add(T),5,1,5,3,0
org.apache.avro.ipc.stats.Histogram.getHistogram(),3,1,2,1,0
org.apache.avro.ipc.stats.Histogram.getCount(),3,1,4,1,0
org.apache.avro.ipc.stats.Histogram.toString(),13,3,3,7,1
org.apache.avro.ipc.stats.Histogram.entries(),3,1,3,1,0
org.apache.avro.tool.TestMain.testToolDescriptionLength(),8,3,2,6,1
org.apache.avro.tool.Main.Main(),22,3,4,10,1
org.apache.avro.tool.Main.main(String[]),4,1,1,3,0
org.apache.avro.tool.Main.run(String[]),19,4,8,14,1
org.apache.avro.tool.Main.printStream(InputStream),5,2,3,2,1
org.apache.avro.tool.DataFileReadTool.getName(),3,1,0,1,0
org.apache.avro.tool.DataFileReadTool.getShortDescription(),3,1,0,1,0
"org.apache.avro.tool.DataFileReadTool.run(InputStream, PrintStream, PrintStream, List<String>)",25,3,4,16,1
"org.apache.avro.file.DataFileReader.DataFileReader(File, DatumReader<D>)",3,1,12,3,0
"org.apache.avro.file.DataFileReader.DataFileReader(SeekableInput, DatumReader<D>)",6,1,8,5,0
org.apache.avro.file.DataFileReader.seek(long),6,1,5,6,0
org.apache.avro.file.DataFileReader.sync(long),24,6,7,7,2
org.apache.avro.file.DataFileReader.blockFinished(),3,1,2,4,0
org.apache.avro.file.DataFileReader.pastSync(long),3,1,5,2,0
"org.apache.avro.file.DataFileStream.DataFileStream(InputStream, DatumReader<D>)",5,1,4,3,0
org.apache.avro.file.DataFileStream.DataFileStream(DatumReader<D>),3,1,2,2,0
org.apache.avro.file.DataFileStream.initialize(InputStream),27,6,11,20,2
org.apache.avro.file.DataFileStream.resolveCodec(),8,2,3,5,0
org.apache.avro.file.DataFileStream.getSchema(),1,1,6,1,0
org.apache.avro.file.DataFileStream.getMeta(String),3,1,3,2,0
org.apache.avro.file.DataFileStream.getMetaString(String),11,3,7,4,0
org.apache.avro.file.DataFileStream.getMetaLong(String),3,1,1,3,0
org.apache.avro.file.DataFileStream.iterator(),1,1,0,1,0
org.apache.avro.file.DataFileStream.hasNext(),25,7,9,16,0
org.apache.avro.file.DataFileStream.next(),7,2,4,3,0
org.apache.avro.file.DataFileStream.next(D),9,3,8,6,0
org.apache.avro.file.DataFileStream.blockFinished(),2,1,1,0,0
org.apache.avro.file.DataFileStream.hasNextBlock(),19,6,8,8,0
org.apache.avro.file.DataFileStream.nextBlock(DataBlock),15,3,9,9,0
org.apache.avro.file.DataFileStream.skipSync(),5,2,4,3,0
org.apache.avro.file.DataFileStream.remove(),1,1,0,1,0
org.apache.avro.file.DataFileStream.close(),3,1,10,2,0
org.apache.avro.ipc.AvroRemoteException.AvroRemoteException(),1,1,0,1,0
org.apache.avro.ipc.AvroRemoteException.AvroRemoteException(Throwable),4,1,3,4,0
org.apache.avro.ipc.AvroRemoteException.AvroRemoteException(Object),4,2,5,4,0
org.apache.avro.ipc.AvroRemoteException.getValue(),1,1,3,1,0
"org.apache.avro.io.TestBlockingIO2.TestBlockingIO2(int, int, String)",11,1,3,12,0
org.apache.avro.io.TestBlockingIO2.testScan(),3,1,3,1,0
org.apache.avro.io.TestBlockingIO2.data(),88,1,0,2,0
