method,method,invocation counts
org.apache.ivy.core.settings.IvySettings.getDefaultBranch(ModuleId),"org.apache.ivy.core.module.id.ModuleRules.getRule(ModuleId, Filter)",2266
"org.apache.ivy.core.module.id.ModuleRules.getRule(ModuleId, Filter)","org.apache.ivy.core.module.id.ModuleRules.getRule(Map, Filter)",10957
"org.apache.ivy.core.module.id.ModuleRules.getRule(Map, Filter)",org.apache.ivy.core.module.id.MatcherLookup.get(Map),11387
org.apache.ivy.core.module.id.MatcherLookup.get(Map),org.apache.ivy.core.module.id.MatcherLookup.key(Map),17894
"org.apache.ivy.core.module.id.ModuleRules.getRule(ModuleId, Filter)","org.apache.ivy.util.Checks.checkNotNull(Object, String)",10962
"org.apache.ivy.core.module.id.ModuleRevisionId.<init>(ModuleId, String, String, Map, boolean)",org.apache.ivy.core.IvyContext.getSettings(),2264
org.apache.ivy.core.IvyContext.getSettings(),org.apache.ivy.core.IvyContext.getIvy(),4689
org.apache.ivy.core.IvyContext.getIvy(),org.apache.ivy.core.IvyContext.peekIvy(),9289
"org.apache.ivy.core.module.id.ModuleRevisionId.<init>(ModuleId, String, String, Map, boolean)",org.apache.ivy.core.IvyContext.peekIvy(),5895
"org.apache.ivy.core.module.id.ModuleRevisionId.newInstance(String, String, String, String, Map)","org.apache.ivy.core.module.id.ModuleId.newInstance(String, String)",1189
"org.apache.ivy.core.module.id.ModuleRevisionId.newInstance(String, String, String, String, Map)",org.apache.ivy.core.module.id.ModuleRevisionId.intern(ModuleRevisionId),1185
org.apache.ivy.core.settings.IvySettings.substitute(String),"org.apache.ivy.core.IvyPatternHelper.substituteVariables(String, IvyVariableContainer)",45052
"org.apache.ivy.core.IvyPatternHelper.substituteVariables(String, IvyVariableContainer)","org.apache.ivy.core.IvyPatternHelper.substituteVariables(String, IvyVariableContainer, Stack)",204584
"org.apache.ivy.core.module.descriptor.DefaultDependencyDescriptor.<init>(ModuleDescriptor, ModuleRevisionId, ModuleRevisionId, boolean, boolean, boolean)","org.apache.ivy.util.Checks.checkNotNull(Object, String)",4077
"org.apache.ivy.util.extendable.ExtendableItemHelper.fillExtraAttributes(ParserSettings, DefaultExtendableItem, Attributes, String[])","org.apache.ivy.util.extendable.ExtendableItemHelper.getExtraAttributes(ParserSettings, Attributes, String[])",847
"org.apache.ivy.core.module.descriptor.Configuration.<init>(String, Configuration$Visibility, String, String[], boolean, String)","org.apache.ivy.core.module.descriptor.Configuration.<init>(Map, Map, String, Configuration$Visibility, String, String[], boolean, String, ModuleRevisionId)",3073
"org.apache.ivy.core.module.descriptor.Configuration.<init>(Map, Map, String, Configuration$Visibility, String, String[], boolean, String, ModuleRevisionId)","org.apache.ivy.util.extendable.DefaultExtendableItem.<init>(Map, Map)",3077
"org.apache.ivy.util.extendable.DefaultExtendableItem.<init>(Map, Map)","org.apache.ivy.util.extendable.UnmodifiableExtendableItem.<init>(Map, Map)",3086
org.apache.ivy.core.module.descriptor.AbstractArtifact.hashCode(),org.apache.ivy.core.module.descriptor.AbstractArtifact.getQualifiedExtraAttributes(),2732
org.apache.ivy.core.module.descriptor.AbstractArtifact.getQualifiedExtraAttributes(),org.apache.ivy.core.module.descriptor.MDArtifact.getId(),3321
org.apache.ivy.core.module.descriptor.MDArtifact.getId(),"org.apache.ivy.core.module.id.ArtifactRevisionId.newInstance(ModuleRevisionId, String, String, String, Map)",5324
"org.apache.ivy.core.module.id.ArtifactRevisionId.newInstance(ModuleRevisionId, String, String, String, Map)","org.apache.ivy.core.module.id.ArtifactRevisionId.<init>(ArtifactId, ModuleRevisionId, Map)",29358
"org.apache.ivy.core.module.id.ArtifactRevisionId.<init>(ArtifactId, ModuleRevisionId, Map)","org.apache.ivy.util.extendable.UnmodifiableExtendableItem.<init>(Map, Map)",29375
"org.apache.ivy.util.extendable.UnmodifiableExtendableItem.<init>(Map, Map)","org.apache.ivy.util.extendable.UnmodifiableExtendableItem.setExtraAttribute(String, String)",314
"org.apache.ivy.core.module.id.ArtifactRevisionId.<init>(ArtifactId, ModuleRevisionId, Map)","org.apache.ivy.util.extendable.UnmodifiableExtendableItem.setStandardAttribute(String, String)",176190
"org.apache.ivy.core.module.id.ArtifactRevisionId.<init>(ArtifactId, ModuleRevisionId, Map)",org.apache.ivy.core.module.id.ModuleRevisionId.getOrganisation(),29366
"org.apache.ivy.core.module.id.ArtifactRevisionId.<init>(ArtifactId, ModuleRevisionId, Map)",org.apache.ivy.core.module.id.ArtifactRevisionId.getType(),29364
"org.apache.ivy.core.module.id.ArtifactRevisionId.<init>(ArtifactId, ModuleRevisionId, Map)",org.apache.ivy.core.module.id.ArtifactRevisionId.getExt(),29364
"org.apache.ivy.core.module.id.ArtifactRevisionId.<init>(ArtifactId, ModuleRevisionId, Map)",org.apache.ivy.core.module.id.ModuleRevisionId.getName(),29366
"org.apache.ivy.core.module.id.ArtifactRevisionId.<init>(ArtifactId, ModuleRevisionId, Map)",org.apache.ivy.core.module.id.ArtifactRevisionId.getName(),29366
"org.apache.ivy.core.module.id.ArtifactRevisionId.newInstance(ModuleRevisionId, String, String, String, Map)","org.apache.ivy.core.module.id.ArtifactId.<init>(ModuleId, String, String, String)",29358
org.apache.ivy.core.module.descriptor.AbstractArtifact.hashCode(),org.apache.ivy.core.module.descriptor.MDArtifact.getModuleRevisionId(),2259
org.apache.ivy.core.module.descriptor.AbstractArtifact.hashCode(),org.apache.ivy.core.module.descriptor.MDArtifact.getPublicationDate(),4516
org.apache.ivy.core.module.descriptor.AbstractArtifact.hashCode(),org.apache.ivy.core.module.id.ModuleRevisionId.hashCode(),2732
"org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor.addArtifact(String, Artifact)",org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor.getConfiguration(String),1005
"org.apache.ivy.util.extendable.ExtendableItemHelper.getExtraAttributes(ParserSettings, Attributes, String[])",org.apache.ivy.core.settings.IvySettings.substitute(String),111
"org.apache.ivy.core.module.descriptor.MDArtifact.<init>(ModuleDescriptor, String, String, String, URL, Map)",org.apache.ivy.core.module.descriptor.AbstractArtifact.<init>(),1090
"org.apache.ivy.util.XMLHelper.parse(InputSource, URL, DefaultHandler, LexicalHandler, boolean)","org.apache.ivy.util.XMLHelper.newSAXParser(URL, InputStream, boolean)",701
"org.apache.ivy.util.XMLHelper.parse(InputSource, URL, DefaultHandler, LexicalHandler, boolean)",org.apache.ivy.util.url.URLHandlerDispatcher.openStream(URL),69
org.apache.ivy.util.url.URLHandlerDispatcher.openStream(URL),org.apache.ivy.util.url.BasicURLHandler.openStream(URL),324
org.apache.ivy.util.url.BasicURLHandler.openStream(URL),org.apache.ivy.util.url.BasicURLHandler.disconnect(URLConnection),4826
org.apache.ivy.util.url.BasicURLHandler.openStream(URL),org.apache.ivy.util.url.AbstractURLHandler.getUserAgent(),4821
org.apache.ivy.util.url.BasicURLHandler.openStream(URL),"org.apache.ivy.util.url.AbstractURLHandler.getDecodingInputStream(String, InputStream)",4803
org.apache.ivy.util.url.BasicURLHandler.openStream(URL),org.apache.ivy.util.url.AbstractURLHandler.normalizeToURL(URL),4826
org.apache.ivy.util.url.URLHandlerDispatcher.openStream(URL),org.apache.ivy.util.url.URLHandlerDispatcher.getHandler(String),324
"org.apache.ivy.util.XMLHelper.parse(URL, URL, DefaultHandler, LexicalHandler)",org.apache.ivy.util.url.URLHandlerDispatcher.openStream(URL),69
"org.apache.ivy.util.XMLHelper.parse(URL, URL, DefaultHandler, LexicalHandler)",org.apache.ivy.util.XMLHelper.toSystemId(URL),356
org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor.check(),"org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor.checkConf(Stack, String)",313
"org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor.checkConf(Stack, String)","org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor.checkConf(Stack, String)",135
"org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor.checkConf(Stack, String)",org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor.getConfiguration(String),446
"org.apache.ivy.core.module.descriptor.DefaultArtifact.newIvyArtifact(ModuleRevisionId, Date)","org.apache.ivy.core.module.descriptor.DefaultArtifact.<init>(ModuleRevisionId, Date, String, String, String, boolean)",16209
"org.apache.ivy.core.module.descriptor.DefaultArtifact.<init>(ModuleRevisionId, Date, String, String, String, boolean)","org.apache.ivy.core.module.descriptor.DefaultArtifact.<init>(ModuleRevisionId, Date, String, String, String, URL, Map)",22329
"org.apache.ivy.core.module.descriptor.DefaultArtifact.<init>(ModuleRevisionId, Date, String, String, String, URL, Map)","org.apache.ivy.core.module.id.ArtifactRevisionId.newInstance(ModuleRevisionId, String, String, String, Map)",22851
"org.apache.ivy.core.module.descriptor.DefaultArtifact.<init>(ModuleRevisionId, Date, String, String, String, URL, Map)","org.apache.ivy.core.module.descriptor.DefaultArtifact.<init>(ArtifactRevisionId, Date, URL, boolean)",22814
"org.apache.ivy.core.module.descriptor.DefaultArtifact.<init>(ArtifactRevisionId, Date, URL, boolean)",org.apache.ivy.core.module.descriptor.AbstractArtifact.<init>(),23705
org.apache.ivy.plugins.repository.ResourceHelper.getLastModifiedOrDefault(Resource),org.apache.ivy.plugins.repository.url.URLResource.getLastModified(),377
org.apache.ivy.plugins.repository.url.URLResource.getLastModified(),org.apache.ivy.plugins.repository.url.URLResource.init(),440
org.apache.ivy.plugins.repository.url.URLResource.init(),org.apache.ivy.util.url.URLHandlerDispatcher.getURLInfo(URL),93
org.apache.ivy.util.url.URLHandlerDispatcher.getURLInfo(URL),org.apache.ivy.util.url.BasicURLHandler.getURLInfo(URL),75
org.apache.ivy.util.url.BasicURLHandler.getURLInfo(URL),"org.apache.ivy.util.url.BasicURLHandler.getURLInfo(URL, int)",733
"org.apache.ivy.util.url.BasicURLHandler.getURLInfo(URL, int)",org.apache.ivy.util.url.BasicURLHandler.disconnect(URLConnection),746
"org.apache.ivy.util.url.BasicURLHandler.getURLInfo(URL, int)",org.apache.ivy.util.url.BasicURLHandler.getCharSetFromContentType(String),532
"org.apache.ivy.util.url.BasicURLHandler.getURLInfo(URL, int)",org.apache.ivy.util.url.AbstractURLHandler.getUserAgent(),736
"org.apache.ivy.util.url.BasicURLHandler.getURLInfo(URL, int)",org.apache.ivy.util.url.AbstractURLHandler.normalizeToURL(URL),746
org.apache.ivy.util.url.URLHandlerDispatcher.getURLInfo(URL),org.apache.ivy.util.url.URLHandlerDispatcher.getHandler(String),96
"org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor.<init>(ModuleDescriptorParser, Resource)",org.apache.ivy.core.module.status.StatusManager.getCurrent(),757
org.apache.ivy.core.module.status.StatusManager.getCurrent(),org.apache.ivy.core.IvyContext.getSettings(),1529
org.apache.ivy.core.module.status.StatusManager.getCurrent(),org.apache.ivy.core.IvyContext.getContext(),1524
org.apache.ivy.core.module.status.StatusManager.getCurrent(),org.apache.ivy.core.settings.IvySettings.getStatusManager(),1524
"org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor.<init>(ModuleDescriptorParser, Resource)",org.apache.ivy.core.module.id.ModuleRules.<init>(),1506
org.apache.ivy.core.module.id.ModuleRules.<init>(),org.apache.ivy.core.module.id.MatcherLookup.<init>(),5948
"org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor.<init>(ModuleDescriptorParser, Resource)",org.apache.ivy.core.module.status.StatusManager.getDefaultStatus(),753
"org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorParser.parseDescriptor(ParserSettings, URL, Resource, boolean)",org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorParser.newParser(ParserSettings),381
"org.apache.ivy.plugins.parser.AbstractModuleDescriptorParser.parseDescriptor(ParserSettings, URL, boolean)",org.apache.ivy.plugins.repository.url.URLResource.<init>(URL),403
"org.apache.ivy.core.cache.ModuleDescriptorMemoryCache.getStale(File, ParserSettings, boolean, ModuleDescriptorProvider)","org.apache.ivy.core.cache.ModuleDescriptorMemoryCache.putInCache(File, ParserSettingsMonitor, boolean, ModuleDescriptor)",264
"org.apache.ivy.core.cache.ModuleDescriptorMemoryCache.getStale(File, ParserSettings, boolean, ModuleDescriptorProvider)",org.apache.ivy.core.cache.ParserSettingsMonitor.<init>(ParserSettings),269
"org.apache.ivy.core.cache.ModuleDescriptorMemoryCache.get(File, ParserSettings, boolean, ModuleDescriptorProvider)","org.apache.ivy.core.cache.ModuleDescriptorMemoryCache.getFromCache(File, ParserSettings, boolean)",337
"org.apache.ivy.core.cache.ModuleDescriptorMemoryCache.getFromCache(File, ParserSettings, boolean)",org.apache.ivy.util.Message.debug(String),342
"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.getMdFromCache(ModuleDescriptorParser, CacheMetadataOptions, File)",org.apache.ivy.core.cache.DefaultRepositoryCacheManager.getMemoryCache(),335
"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.doFindModuleInCache(ModuleRevisionId, CacheMetadataOptions, String)",org.apache.ivy.core.cache.DefaultRepositoryCacheManager.unlockMetadataArtifact(ModuleRevisionId),642
org.apache.ivy.core.cache.DefaultRepositoryCacheManager.unlockMetadataArtifact(ModuleRevisionId),"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.getArchiveFileInCache(Artifact, ArtifactOrigin)",3181
"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.getArchiveFileInCache(Artifact, ArtifactOrigin)","org.apache.ivy.core.cache.DefaultRepositoryCacheManager.getArchivePathInCache(Artifact, ArtifactOrigin)",6328
"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.getArchivePathInCache(Artifact, ArtifactOrigin)","org.apache.ivy.core.IvyPatternHelper.substitute(String, Artifact, ArtifactOrigin)",7254
"org.apache.ivy.core.IvyPatternHelper.substitute(String, Artifact, ArtifactOrigin)","org.apache.ivy.core.IvyPatternHelper.substitute(String, ModuleRevisionId, Artifact, String, ArtifactOrigin)",7254
"org.apache.ivy.core.IvyPatternHelper.substitute(String, ModuleRevisionId, Artifact, String, ArtifactOrigin)","org.apache.ivy.core.IvyPatternHelper.substitute(String, String, String, String, String, String, String, String, String, ArtifactOrigin, Map, Map)",14830
"org.apache.ivy.core.IvyPatternHelper.substitute(String, String, String, String, String, String, String, String, String, ArtifactOrigin, Map, Map)","org.apache.ivy.core.IvyPatternHelper.substituteTokens(String, Map)",18016
"org.apache.ivy.core.IvyPatternHelper.substitute(String, ModuleRevisionId, Artifact, String, ArtifactOrigin)",org.apache.ivy.core.module.descriptor.DefaultArtifact.getExt(),14392
org.apache.ivy.core.module.descriptor.DefaultArtifact.getExt(),org.apache.ivy.core.module.id.ArtifactRevisionId.getExt(),23747
"org.apache.ivy.core.IvyPatternHelper.substitute(String, ModuleRevisionId, Artifact, String, ArtifactOrigin)",org.apache.ivy.core.module.descriptor.DefaultArtifact.getName(),14392
org.apache.ivy.core.module.descriptor.DefaultArtifact.getName(),org.apache.ivy.core.module.id.ArtifactRevisionId.getName(),23813
"org.apache.ivy.core.IvyPatternHelper.substitute(String, ModuleRevisionId, Artifact, String, ArtifactOrigin)",org.apache.ivy.core.module.descriptor.DefaultArtifact.getType(),14392
org.apache.ivy.core.module.descriptor.DefaultArtifact.getType(),org.apache.ivy.core.module.id.ArtifactRevisionId.getType(),30362
"org.apache.ivy.core.IvyPatternHelper.substitute(String, ModuleRevisionId, Artifact, String, ArtifactOrigin)",org.apache.ivy.core.module.descriptor.AbstractArtifact.getQualifiedExtraAttributes(),14831
"org.apache.ivy.core.IvyPatternHelper.substitute(String, ModuleRevisionId, Artifact, String, ArtifactOrigin)",org.apache.ivy.core.module.id.ModuleRevisionId.getName(),14831
"org.apache.ivy.core.IvyPatternHelper.substitute(String, ModuleRevisionId, Artifact, String, ArtifactOrigin)",org.apache.ivy.core.module.id.ModuleRevisionId.getOrganisation(),14831
"org.apache.ivy.core.IvyPatternHelper.substitute(String, Artifact, ArtifactOrigin)",org.apache.ivy.core.module.descriptor.DefaultArtifact.getModuleRevisionId(),7096
"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.getArchivePathInCache(Artifact, ArtifactOrigin)",org.apache.ivy.core.cache.DefaultRepositoryCacheManager.isOriginalMetadataArtifact(Artifact),7255
org.apache.ivy.core.cache.DefaultRepositoryCacheManager.isOriginalMetadataArtifact(Artifact),org.apache.ivy.core.module.descriptor.DefaultArtifact.getType(),6713
"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.getArchivePathInCache(Artifact, ArtifactOrigin)",org.apache.ivy.core.cache.DefaultRepositoryCacheManager.getArtifactPattern(),6649
"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.getArchiveFileInCache(Artifact, ArtifactOrigin)",org.apache.ivy.core.cache.ArtifactOrigin.isUnknown(ArtifactOrigin),6114
"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.getArchiveFileInCache(Artifact, ArtifactOrigin)",org.apache.ivy.core.cache.DefaultRepositoryCacheManager.getRepositoryCacheRoot(),6328
org.apache.ivy.core.cache.DefaultRepositoryCacheManager.getRepositoryCacheRoot(),org.apache.ivy.core.cache.DefaultRepositoryCacheManager.getBasedir(),16981
org.apache.ivy.core.cache.DefaultRepositoryCacheManager.unlockMetadataArtifact(ModuleRevisionId),org.apache.ivy.core.cache.DefaultRepositoryCacheManager.getDefaultMetadataArtifactOrigin(ModuleRevisionId),3181
org.apache.ivy.core.cache.DefaultRepositoryCacheManager.getDefaultMetadataArtifactOrigin(ModuleRevisionId),org.apache.ivy.core.cache.DefaultRepositoryCacheManager.getIvyFileInCache(ModuleRevisionId),6059
org.apache.ivy.core.cache.DefaultRepositoryCacheManager.getIvyFileInCache(ModuleRevisionId),"org.apache.ivy.core.IvyPatternHelper.substitute(String, Artifact)",6819
"org.apache.ivy.core.IvyPatternHelper.substitute(String, Artifact)","org.apache.ivy.core.IvyPatternHelper.substitute(String, Artifact, String)",6830
"org.apache.ivy.core.IvyPatternHelper.substitute(String, Artifact, String)","org.apache.ivy.core.IvyPatternHelper.substitute(String, ModuleRevisionId, Artifact, String, ArtifactOrigin)",6829
"org.apache.ivy.core.IvyPatternHelper.substitute(String, Artifact, String)",org.apache.ivy.core.module.descriptor.DefaultArtifact.getModuleRevisionId(),6826
org.apache.ivy.core.cache.DefaultRepositoryCacheManager.getIvyFileInCache(ModuleRevisionId),"org.apache.ivy.core.module.descriptor.DefaultArtifact.newIvyArtifact(ModuleRevisionId, Date)",6819
org.apache.ivy.core.cache.DefaultRepositoryCacheManager.getIvyFileInCache(ModuleRevisionId),org.apache.ivy.core.cache.DefaultRepositoryCacheManager.getRepositoryCacheRoot(),6819
org.apache.ivy.core.cache.DefaultRepositoryCacheManager.getIvyFileInCache(ModuleRevisionId),org.apache.ivy.core.cache.DefaultRepositoryCacheManager.getIvyPattern(),6819
org.apache.ivy.core.cache.DefaultRepositoryCacheManager.getDefaultMetadataArtifactOrigin(ModuleRevisionId),"org.apache.ivy.core.module.descriptor.DefaultArtifact.newIvyArtifact(ModuleRevisionId, Date)",6059
