id, seed, size, upperDepth, upperWidth, lowerDepth, lowerWidth
56,org.apache.ivy.core.retrieve.RetrieveOptions.getMapper(),72,5,39,0,0
57,org.apache.ivy.core.settings.IvySettings.setBaseDir(File),181,8,59,6,5
58,org.apache.ivy.core.report.ResolveReport.getUnresolvedDependencies(),265,16,48,2,2
59,"org.apache.ivy.ant.IvyArtifactReport.writeCacheLocationIfPresent(RepositoryCacheManager, TransformerHandler, ArtifactDownloadReport)",235,21,49,1,1
60,org.apache.ivy.osgi.core.ExecutionEnvironmentProfileProvider.ExecutionEnvironmentProfileProvider(),423,18,63,6,5
61,org.apache.ivy.plugins.latest.LatestLexicographicStrategy.LatestLexicographicStrategy(),74,5,28,1,2
62,org.apache.ivy.core.settings.IvySettings.setSettingsVariables(URL),75,6,19,5,7
63,org.apache.ivy.plugins.circular.ErrorCircularDependencyStrategy.ErrorCircularDependencyStrategy(),2,0,0,1,1
64,org.apache.ivy.plugins.conflict.NoConflictManager.NoConflictManager(),663,13,106,1,1
65,org.apache.ivy.plugins.resolver.packager.PackagerCacheEntry.getBuiltArtifact(Artifact),285,17,46,6,9
66,org.apache.ivy.plugins.resolver.DualResolver.add(DependencyResolver),1,0,0,0,0
67,org.apache.ivy.core.event.IvyListener.progress(IvyEvent),4,2,2,0,0
68,org.apache.ivy.osgi.core.BundleInfo.isSource(),43,5,16,0,0
69,org.apache.ivy.osgi.filter.OSGiFilterParser.Parser.parseNot(),20,0,0,4,6
70,org.apache.ivy.plugins.version.Match.getArgs(),158,12,49,0,0
71,org.apache.ivy.osgi.p2.P2MetadataParser.ProvidesHandler.handleAttributes(Attributes),1,0,0,0,0
72,org.apache.ivy.core.module.descriptor.DefaultDependencyDescriptor.getAttribute(String),8,3,4,1,1
73,org.apache.ivy.util.url.ApacheURLLister.listAll(URL),19,1,2,5,6
74,org.apache.ivy.plugins.resolver.AbstractResolver.getTypeName(),15,5,5,0,0
75,org.apache.ivy.core.settings.XmlSettingsParser.endDocument(),27,0,0,4,12
76,org.apache.ivy.core.module.descriptor.DependencyDescriptor.getDependencyId(),455,15,66,0,0
77,org.apache.ivy.core.resolve.ResolveData.blacklist(IvyNode),45,7,9,2,8
78,org.apache.ivy.plugins.parser.xml.UpdateOptions.setResolvedRevisions(Map),248,15,46,0,0
79,org.apache.ivy.core.module.descriptor.DefaultDependencyDescriptor.setIncludeRules(Map),23,3,19,0,0
80,org.apache.ivy.osgi.repo.EditableRepoDescriptor.getCapabilityValues(String),8,2,6,0,0
81,org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor.check(),88,9,15,9,6
82,org.apache.ivy.plugins.namespace.MRIDRule.getModule(),189,15,49,0,0
83,org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor.getConfigurations(),216,19,49,0,0
84,org.apache.ivy.core.settings.IvySettings.getDefaultRepositoryCacheManager(),36,0,0,6,9
85,"org.apache.ivy.osgi.obr.xml.OBRXMLWriter.startElement(ContentHandler, String)",34,5,13,0,0
86,org.apache.ivy.core.event.IvyEvent.addMDAttributes(ModuleDescriptor),164,13,50,3,8
87,"org.apache.ivy.plugins.resolver.BasicResolver.check(Resource, File, String)",28,3,2,4,8
88,org.apache.ivy.util.Credentials.getUserName(),199,15,44,0,0
89,org.apache.ivy.core.resolve.IvyNode.getAllEvictingNodes(),3,0,0,2,1
90,org.apache.ivy.ant.IvyDeliver.setConf(String),363,16,64,0,0
91,org.apache.ivy.plugins.resolver.ChainResolver.getResolvers(),8,3,4,0,0
92,org.apache.ivy.osgi.util.VersionRange.getEndVersion(),8,4,4,0,0
93,org.apache.ivy.util.CopyProgressEvent.CopyProgressEvent(),6,2,4,0,0
94,org.apache.ivy.plugins.repository.BasicResource.toString(),2,0,0,1,1
95,"org.apache.ivy.plugins.conflict.RegexpConflictManager.matchEquals(IvyNode, IvyNode)",28,4,2,6,6
96,org.apache.ivy.util.MessageLogger.debug(String),14,4,5,0,0
97,org.apache.ivy.util.DefaultMessageLogger.doEndProgress(String),1,0,0,0,0
98,org.apache.ivy.plugins.repository.AbstractRepository.hasTransferListener(TransferListener),1,0,0,0,0
99,org.apache.ivy.ant.IvyVar.getName(),31,8,7,0,0
100,"org.apache.ivy.plugins.repository.vfs.VfsURI.VfsURI(String, String, String, String, String)",97,10,29,1,1
101,org.apache.ivy.plugins.resolver.AbstractPatternsBasedResolver.exist(String),9,3,5,0,0
102,org.apache.ivy.core.report.ArtifactDownloadReport.toString(),598,12,140,0,0
103,org.apache.ivy.core.resolve.IvyNode.getSelectedArtifacts(Filter),302,5,23,19,47
104,org.apache.ivy.plugins.resolver.SshResolver.setExistCommand(String),3,0,0,1,2
105,"org.apache.ivy.core.settings.XmlSettingsParser.endElement(String, String, String)",59,0,0,8,13
106,org.apache.ivy.util.filter.Filter.accept(Object),296,22,43,0,0
107,org.apache.ivy.ant.IvyVar.getUrl(),31,8,7,0,0
108,org.apache.ivy.core.cache.CacheMetadataOptions.getChangingMatcherName(),5,2,3,0,0
109,org.apache.ivy.core.IvyContext.getIvy(),198,5,20,9,50
110,org.apache.ivy.plugins.resolver.ChainResolver.resolvedRevision(ResolvedModuleRevision),232,12,46,1,6
111,org.apache.ivy.plugins.report.XmlReportParser.SaxXmlReportParser.getResolvedModule(),2,1,1,0,0
112,org.apache.ivy.plugins.repository.jar.JarResource.getContentLength(),1,0,0,0,0
113,org.apache.ivy.plugins.parser.xml.UpdateOptions.getBranch(),199,15,49,0,0
114,org.apache.ivy.plugins.resolver.AbstractResolver.ResolverParserSettings.getStatusManager(),3,0,0,1,2
115,org.apache.ivy.plugins.circular.AbstractLogCircularDependencyStrategy.handleCircularDependency(ModuleRevisionId[]),9,0,0,3,4
116,org.apache.ivy.util.Configurator.MacroRecord.MacroRecord(String),4,1,3,0,0
117,org.apache.ivy.util.extendable.UnmodifiableExtendableItem.getQualifiedExtraAttributes(),335,14,100,0,0
118,org.apache.ivy.osgi.filter.OSGiFilterParser.Parser.parseCompare(),20,4,4,2,3
119,"org.apache.ivy.core.resolve.IvyNodeCallers.Caller.Caller(ModuleDescriptor, ModuleRevisionId, DependencyDescriptor, boolean)",31,6,11,0,0
120,org.apache.ivy.plugins.repository.sftp.SFTPResource.getLastModified(),202,0,0,18,44
121,"org.apache.ivy.plugins.resolver.AbstractPatternsBasedResolver.listTokenValues(String[], Map)",17,0,0,3,7
122,org.apache.ivy.core.install.InstallOptions.getArtifactFilter(),663,13,103,0,0
123,"org.apache.ivy.Ivy.listTokenValues(String, Map)",15,1,1,3,8
124,org.apache.ivy.plugins.resolver.IBiblioResolver.exists(Artifact),36,0,0,6,18
125,org.apache.ivy.core.resolve.ResolvedModuleRevision.getReport(),1020,12,236,0,0
126,"org.apache.ivy.ant.IvyPostResolveTask.getConfsToResolve(ModuleDescriptor, String, String[])",61,3,3,7,14
127,"org.apache.ivy.plugins.resolver.AbstractPatternsBasedResolver.findArtifactNames(Map, String)",13,3,2,2,5
128,org.apache.ivy.osgi.repo.AbstractFSManifestIterable.FSManifestIterator.FSManifestIterator(),2,1,1,0,0
129,org.apache.ivy.ant.IvyDependency.createConf(),1,0,0,0,0
130,org.apache.ivy.plugins.repository.ssh.SshRepository.setFileSeparator(char),3,2,1,0,0
131,org.apache.ivy.util.EncrytedProperties.getProperty(String),1,0,0,0,0
132,"org.apache.ivy.core.resolve.ResolveEngine.resolveConflict(VisitNode, String)",471,8,44,15,50
133,org.apache.ivy.core.module.id.ModuleRules.getRule(ModuleRevisionId),16,4,2,5,3
134,"org.apache.ivy.osgi.core.ManifestHeaderValue.ManifestHeaderParser.error(String, int)",18,6,5,0,0
135,"org.apache.ivy.osgi.repo.BundleRepoDescriptor.BundleRepoDescriptor(URI, ExecutionEnvironmentProfileProvider)",6,2,3,1,1
136,"org.apache.ivy.core.module.descriptor.DefaultArtifact.cloneWithAnotherMrid(Artifact, ModuleRevisionId)",28,0,0,4,9
137,org.apache.ivy.ant.IvyConvertPom.getIvyFile(),16,7,4,0,0
138,org.apache.ivy.plugins.repository.vfs.VfsResource.isLocal(),3,0,0,2,1
139,org.apache.ivy.core.resolve.IvyNode.getAllEvictingNodesDetails(),265,16,48,2,2
140,org.apache.ivy.core.module.descriptor.Configuration.Visibility.getVisibility(String),53,7,16,0,0
141,org.apache.ivy.ant.IvyReport.setConf(String),1,0,0,0,0
142,org.apache.ivy.core.settings.IvyPattern.setPattern(String),10,4,4,0,0
143,org.apache.ivy.plugins.resolver.IvyRepResolver.getWholeArtPattern(),3,2,1,0,0
144,org.apache.ivy.plugins.parser.m2.PomWriterOptions.setMapping(ConfigurationScopeMapping),29,3,18,0,0
145,org.apache.ivy.ant.IvyAntSettings.getDefaultInstance(ProjectComponent),184,1,1,8,65
146,org.apache.ivy.ant.IvyVar.doExecute(),31,0,0,7,8
147,org.apache.ivy.ant.BuildOBRTask.doExecute.AntMessageLogger2.AntMessageLogger2(),428,23,85,2,1
148,org.apache.ivy.core.resolve.ResolvedModuleRevision.getDescriptor(),1260,12,344,0,0
149,org.apache.ivy.core.settings.IvySettings.addVersionMatcher(VersionMatcher),16,2,3,2,5
150,org.apache.ivy.core.module.status.StatusManager.getCurrent(),171,3,11,11,50
151,org.apache.ivy.core.retrieve.RetrieveOptions.setUseOrigin(boolean),710,15,191,0,0
152,org.apache.ivy.osgi.obr.xml.OBRXMLParser.ResourceSizeHandler.ResourceSizeHandler(),16,3,9,1,2
153,org.apache.ivy.core.module.status.StatusManager.newDefaultInstance(),7,1,1,3,2
154,"org.apache.ivy.core.IvyPatternHelper.substitute(String, Artifact, String)",153,9,38,3,10
155,org.apache.ivy.osgi.obr.xml.OBRXMLParser.CapabilityHandler.CapabilityHandler.(Anon_10).childHanlded(CapabilityPropertyHandler),3,0,0,2,1
156,"org.apache.ivy.Ivy14.resolve(URL, String, String[], File, Date, boolean)",654,0,0,15,100
157,org.apache.ivy.osgi.core.OSGiManifestParser.accept(Resource),2,0,0,1,1
158,org.apache.ivy.plugins.parser.xml.UpdateOptions.setMergedDescriptor(ModuleDescriptor),326,14,70,0,0
159,"org.apache.ivy.plugins.namespace.NameSpaceHelper.transformOrganisation(String, NamespaceTransformer)",207,4,18,15,49
160,org.apache.ivy.Ivy.pushContext(),1109,12,332,2,5
161,org.apache.ivy.plugins.parser.m2.PomReader.PomPluginElement.getGroupId(),5,0,0,2,2
162,org.apache.ivy.plugins.repository.file.FileRepository.getProgressListener(),25,7,6,0,0
163,org.apache.ivy.ant.IvyCheck.addFileset(FileSet),1,0,0,0,0
164,org.apache.ivy.plugins.parser.m2.PomReader.getParentVersion(),399,12,105,2,2
165,org.apache.ivy.core.module.descriptor.ModuleDescriptor.getPublicationDate(),873,14,132,0,0
166,"org.apache.ivy.Main.run(CommandLineParser, String[])",638,4,9,14,137
167,org.apache.ivy.osgi.p2.PropertiesParser.PropertyHandler.PropertyHandler(),5,3,1,1,1
168,org.apache.ivy.ant.IvyDependencyTree.hasDependencies(IvyNode),215,20,49,1,1
169,"org.apache.ivy.osgi.repo.RepoDescriptor.findModules(String, String)",370,17,48,0,0
170,org.apache.ivy.core.report.MetadataArtifactDownloadReport.setOriginalLocalFile(File),431,15,101,0,0
