method,Time,OwnTime,count
org.apache.pdfbox.cos.COSDocument_ESTest.test10(),0,0,1
org.apache.pdfbox.util.operator.SetStrokingLabColor_ESTest.test0(),0,0,1
org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDLayoutAttributeObject_ESTest.test050(),0,0,1
org.apache.pdfbox.pdmodel.interactive.measurement.PDNumberFormatDictionary.<init>(),0,0,36
org.apache.pdfbox.pdmodel.interactive.documentnavigation.destination.PDPageFitRectangleDestination_ESTest.test18(),0,0,1
org.apache.pdfbox.pdmodel.common.PDNameTreeNode_ESTest.test24(),0,0,1
org.apache.pdfbox.pdfparser.BaseParser_ESTest.test40(),0,0,1
org.apache.pdfbox.pdmodel.PDDocumentInformation.setKeywords(String),0,0,5
org.apache.xmpbox.schema.XMPSchema_ESTest.test077(),1,0,1
org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotationSquareCircle.getBorderStyle(),0,0,3
java.time.Instant.ofEpochMilli(long),0,0,3
org.apache.pdfbox.pdmodel.common.COSDictionaryMap_ESTest.test22(),0,0,1
org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotationMarkup_ESTest.test09(),0,0,1
org.apache.pdfbox.pdmodel.common.function.type4.InstructionSequenceBuilder.parseReal(String),0,0,6
org.apache.pdfbox.cos.COSArray_ESTest.test25(),0,0,1
org.apache.pdfbox.pdmodel.PDPage.equals(Object),0,0,6
java.util.Calendar.get(int),10,10,7444
org.apache.pdfbox.pdmodel.interactive.digitalsignature.PDPropBuild.getCOSObject(),0,0,1
org.apache.pdfbox.pdfviewer.ArrayEntry_ESTest.test1(),0,0,1
java.io.ByteArrayOutputStream.<init>(),0,0,957
org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotation_ESTest.test58(),0,0,1
org.apache.pdfbox.pdmodel.common.function.type4.InstructionSequenceBuilder.token(String),0,0,11
"org.apache.pdfbox.preflight.font.Type1FontValidator.<init>(PreflightContext, PDFont)",0,0,15
org.apache.jempbox.xmp.XMPSchemaDublinCore_ESTest.test87(),2,0,1
java.awt.color.ICC_ColorSpace.<init>(ICC_Profile),0,0,2
org.evosuite.runtime.vfs.VirtualFileSystem.<clinit>(),722,0,6
