method,LOC,Cyclomatic,FanIn,FanOut
org.apache.cxf.sts.request.ReceivedToken.STATE.values(),0,1,0,1
org.apache.cxf.sts.request.ReceivedToken.STATE.valueOf(),0,1,0,1
org.apache.cxf.sts.token.provider.TokenProviderParameters.getTokenStore(),3,1,8,1
org.apache.cxf.sts.token.provider.TokenProviderParameters.setTokenStore(TokenStore),3,1,18,1
org.apache.cxf.sts.token.provider.TokenProviderParameters.getClaimsManager(),3,1,3,1
org.apache.cxf.sts.token.provider.TokenProviderParameters.setClaimsManager(ClaimsManager),3,1,21,1
org.apache.cxf.sts.token.provider.TokenProviderParameters.getAppliesToAddress(),3,1,8,1
org.apache.cxf.sts.token.provider.TokenProviderParameters.setAppliesToAddress(String),3,1,44,1
org.apache.cxf.sts.token.provider.TokenProviderParameters.getTokenRequirements(),3,1,57,1
org.apache.cxf.sts.token.provider.TokenProviderParameters.setTokenRequirements(TokenRequirements),3,1,44,1
org.apache.cxf.sts.token.provider.TokenProviderParameters.getKeyRequirements(),3,1,28,1
org.apache.cxf.sts.token.provider.TokenProviderParameters.setKeyRequirements(KeyRequirements),3,1,44,1
org.apache.cxf.sts.token.provider.TokenProviderParameters.getStsProperties(),3,1,26,1
org.apache.cxf.sts.token.provider.TokenProviderParameters.setStsProperties(STSPropertiesMBean),3,1,44,1
org.apache.cxf.sts.token.provider.TokenProviderParameters.getEncryptionProperties(),3,1,11,1
org.apache.cxf.sts.token.provider.TokenProviderParameters.setEncryptionProperties(EncryptionProperties),3,1,44,1
org.apache.cxf.sts.token.provider.TokenProviderParameters.setPrincipal(Principal),3,1,50,1
org.apache.cxf.sts.token.provider.TokenProviderParameters.getPrincipal(),3,1,11,1
"org.apache.cxf.sts.token.provider.TokenProviderParameters.setAdditionalProperties(Map<String, Object>)",3,1,4,1
org.apache.cxf.sts.token.provider.TokenProviderParameters.getAdditionalProperties(),3,1,4,1
org.apache.cxf.sts.token.provider.TokenProviderParameters.setRealm(String),3,1,18,1
org.apache.cxf.sts.token.provider.TokenProviderParameters.getRealm(),3,1,11,1
org.apache.cxf.sts.token.provider.TokenProviderParameters.getRequestedPrimaryClaims(),3,1,4,1
org.apache.cxf.sts.token.provider.TokenProviderParameters.setRequestedPrimaryClaims(ClaimCollection),3,1,15,1
org.apache.cxf.sts.token.provider.TokenProviderParameters.getRequestedSecondaryClaims(),3,1,4,1
org.apache.cxf.sts.token.provider.TokenProviderParameters.setRequestedSecondaryClaims(ClaimCollection),3,1,11,1
org.apache.cxf.sts.token.provider.TokenProviderParameters.isEncryptToken(),3,1,5,1
org.apache.cxf.sts.token.provider.TokenProviderParameters.setEncryptToken(boolean),3,1,5,1
org.apache.cxf.sts.token.provider.TokenProviderParameters.getMessageContext(),3,1,8,1
"org.apache.cxf.sts.token.provider.TokenProviderParameters.setMessageContext(Map<String, Object>)",3,1,44,1
org.apache.cxf.sts.token.provider.TokenProviderUtils.TokenProviderUtils(),2,1,0,1
org.apache.cxf.sts.token.provider.TokenProviderUtils.extractAddressFromParticipantsEPR(Object),35,8,7,13
"org.apache.cxf.sts.token.provider.TokenProviderUtils.encryptToken(Element, String, STSPropertiesMBean, EncryptionProperties, KeyRequirements, Map<String, Object>)",61,10,11,29
"org.apache.cxf.sts.token.provider.TokenProviderUtils.getReqSigCert(Map<String, Object>)",32,7,8,9
org.apache.cxf.ws.security.sts.provider.STSException.STSException(String),3,1,8,2
"org.apache.cxf.ws.security.sts.provider.STSException.STSException(String, QName)",4,1,37,3
"org.apache.cxf.ws.security.sts.provider.STSException.STSException(String, Throwable)",3,1,2,2
"org.apache.cxf.ws.security.sts.provider.STSException.STSException(String, Throwable, QName)",4,1,20,3
org.apache.cxf.ws.security.sts.provider.STSException.setFaultCode(QName),3,1,1,1
org.apache.cxf.ws.security.sts.provider.STSException.getFaultCode(),3,1,2,1
org.apache.cxf.ws.security.sts.provider.STSException.getMessage(),6,2,2,3
org.apache.cxf.sts.token.provider.jwt.JWTClaimsProviderParameters.getProviderParameters(),3,1,7,1
org.apache.cxf.sts.token.provider.jwt.JWTClaimsProviderParameters.setProviderParameters(TokenProviderParameters),3,1,2,1
org.apache.cxf.sts.token.provider.jwt.JWTClaimsProviderParameters.getIssuer(),3,1,2,1
org.apache.cxf.sts.token.provider.jwt.JWTClaimsProviderParameters.setIssuer(String),3,1,2,1
org.apache.cxf.sts.request.TokenRequirements.getRenewing(),3,1,5,1
org.apache.cxf.sts.request.TokenRequirements.setRenewing(Renewing),3,1,7,1
org.apache.cxf.sts.request.TokenRequirements.getTokenType(),3,1,27,1
org.apache.cxf.sts.request.TokenRequirements.setTokenType(String),3,1,57,1
org.apache.cxf.sts.request.TokenRequirements.getCancelTarget(),3,1,4,1
org.apache.cxf.sts.request.TokenRequirements.setCancelTarget(ReceivedToken),3,1,4,1
org.apache.cxf.sts.request.TokenRequirements.getRenewTarget(),3,1,3,1
org.apache.cxf.sts.request.TokenRequirements.setRenewTarget(ReceivedToken),3,1,7,1
org.apache.cxf.sts.request.TokenRequirements.getAppliesTo(),3,1,5,1
org.apache.cxf.sts.request.TokenRequirements.setAppliesTo(Element),3,1,2,1
org.apache.cxf.sts.request.TokenRequirements.getContext(),3,1,5,1
org.apache.cxf.sts.request.TokenRequirements.setContext(String),3,1,2,1
org.apache.cxf.sts.request.TokenRequirements.getValidateTarget(),3,1,6,1
org.apache.cxf.sts.request.TokenRequirements.setValidateTarget(ReceivedToken),3,1,44,1
org.apache.cxf.sts.request.TokenRequirements.getOnBehalfOf(),3,1,12,1
org.apache.cxf.sts.request.TokenRequirements.setOnBehalfOf(ReceivedToken),3,1,4,1
org.apache.cxf.sts.request.TokenRequirements.getActAs(),3,1,16,1
org.apache.cxf.sts.request.TokenRequirements.setActAs(ReceivedToken),3,1,4,1
org.apache.cxf.sts.request.TokenRequirements.getLifetime(),3,1,3,1
org.apache.cxf.sts.request.TokenRequirements.setLifetime(Lifetime),3,1,26,1
org.apache.cxf.sts.request.TokenRequirements.getPrimaryClaims(),3,1,2,1
org.apache.cxf.sts.request.TokenRequirements.setPrimaryClaims(ClaimCollection),3,1,2,1
org.apache.cxf.sts.request.TokenRequirements.getSecondaryClaims(),3,1,2,1
org.apache.cxf.sts.request.TokenRequirements.setSecondaryClaims(ClaimCollection),3,1,2,1
org.apache.cxf.sts.request.TokenRequirements.getParticipants(),3,1,3,1
org.apache.cxf.sts.request.TokenRequirements.setParticipants(Participants),3,1,2,1
org.apache.cxf.sts.request.TokenRequirements.getCustomContent(),3,1,2,2
org.apache.cxf.sts.request.TokenRequirements.addCustomContent(Element),5,2,3,1
org.apache.cxf.rt.security.claims.Claim.Claim(),2,1,36,1
org.apache.cxf.rt.security.claims.Claim.Claim(Claim),10,3,9,10
org.apache.cxf.rt.security.claims.Claim.getClaimType(),3,1,42,1
org.apache.cxf.rt.security.claims.Claim.setClaimType(URI),3,1,54,1
org.apache.cxf.rt.security.claims.Claim.isOptional(),3,1,5,1
org.apache.cxf.rt.security.claims.Claim.setOptional(boolean),3,1,16,1
org.apache.cxf.rt.security.claims.Claim.setValues(List<Object>),4,1,8,2
org.apache.cxf.rt.security.claims.Claim.addValue(Object),3,1,25,1
org.apache.cxf.rt.security.claims.Claim.getValues(),3,1,43,1
"org.apache.cxf.rt.security.claims.Claim.serialize(XMLStreamWriter, String, String)",23,6,8,7
org.apache.cxf.rt.security.claims.Claim.clone(),8,2,8,4
org.apache.cxf.rt.security.claims.Claim.hashCode(),14,4,5,3
org.apache.cxf.rt.security.claims.Claim.equals(Object),27,10,6,3
org.apache.cxf.rt.security.claims.Claim.toString(),11,1,4,6
org.apache.cxf.jaxrs.json.basic.JsonMapObject.JsonMapObject(),2,1,3,1
"org.apache.cxf.jaxrs.json.basic.JsonMapObject.JsonMapObject(Map<String, Object>)",3,1,7,2
"org.apache.cxf.jaxrs.json.basic.JsonMapObject.setProperty(String, Object)",11,4,96,5
org.apache.cxf.jaxrs.json.basic.JsonMapObject.containsProperty(String),3,1,7,2
org.apache.cxf.jaxrs.json.basic.JsonMapObject.getProperty(String),3,1,82,2
org.apache.cxf.jaxrs.json.basic.JsonMapObject.asMap(),3,1,42,1
org.apache.cxf.jaxrs.json.basic.JsonMapObject.getIntegerProperty(String),8,3,2,4
org.apache.cxf.jaxrs.json.basic.JsonMapObject.getLongProperty(String),8,3,9,4
org.apache.cxf.jaxrs.json.basic.JsonMapObject.getBooleanProperty(String),8,3,5,4
org.apache.cxf.jaxrs.json.basic.JsonMapObject.getStringProperty(String),8,2,22,3
org.apache.cxf.jaxrs.json.basic.JsonMapObject.getListStringProperty(String),8,2,8,3
org.apache.cxf.jaxrs.json.basic.JsonMapObject.hashCode(),3,1,2,2
org.apache.cxf.jaxrs.json.basic.JsonMapObject.equals(Object),3,1,3,2
org.apache.cxf.jaxrs.json.basic.JsonMapObject.getUpdateCount(),3,2,3,2
"org.apache.cxf.interceptor.Fault.Fault(Message, Throwable)",5,1,45,5
org.apache.cxf.interceptor.Fault.Fault(Message),5,1,48,5
"org.apache.cxf.interceptor.Fault.Fault(String, Logger)",3,1,14,3
"org.apache.cxf.interceptor.Fault.Fault(String, ResourceBundle)",3,1,3,3
"org.apache.cxf.interceptor.Fault.Fault(String, Logger, Throwable)",3,1,3,3
"org.apache.cxf.interceptor.Fault.Fault(String, ResourceBundle, Throwable)",3,1,3,3
"org.apache.cxf.interceptor.Fault.Fault(String, Logger, Throwable, Object...)",3,1,26,3
"org.apache.cxf.interceptor.Fault.Fault(String, ResourceBundle, Throwable, Object...)",3,1,4,3
org.apache.cxf.interceptor.Fault.Fault(Throwable),9,3,134,6
"org.apache.cxf.interceptor.Fault.Fault(Message, Throwable, QName)",5,1,6,5
"org.apache.cxf.interceptor.Fault.Fault(Message, QName)",5,1,9,5
"org.apache.cxf.interceptor.Fault.Fault(Throwable, QName)",9,3,4,6
org.apache.cxf.interceptor.Fault.getMessage(),3,1,29,1
org.apache.cxf.interceptor.Fault.setMessage(String),3,1,4,1
org.apache.cxf.interceptor.Fault.getFaultCode(),3,1,40,1
org.apache.cxf.interceptor.Fault.setFaultCode(QName),4,1,9,2
org.apache.cxf.interceptor.Fault.getDetail(),3,1,24,1
org.apache.cxf.interceptor.Fault.setDetail(Element),3,1,15,1
org.apache.cxf.interceptor.Fault.hasDetails(),3,1,8,1
org.apache.cxf.interceptor.Fault.getOrCreateDetail(),6,2,4,4
org.apache.cxf.interceptor.Fault.getStatusCode(),3,1,7,1
org.apache.cxf.interceptor.Fault.setStatusCode(int),3,1,2,1
org.apache.cxf.interceptor.Fault.setLang(String),3,1,4,1
org.apache.cxf.interceptor.Fault.getLang(),3,1,4,1
org.apache.cxf.jaxrs.client.blueprint.JAXRSBPNamespaceHandler.JAXRSBPNamespaceHandler(),3,1,1,2
org.apache.cxf.jaxrs.client.blueprint.JAXRSBPNamespaceHandler.getSchemaLocation(String),6,2,3,6
"org.apache.cxf.jaxrs.client.blueprint.JAXRSBPNamespaceHandler.parse(Element, ParserContext)",7,2,2,5
org.apache.cxf.jaxrs.client.blueprint.JAXRSBPNamespaceHandler.getManagedClasses(),3,1,0,1
"org.apache.cxf.jaxrs.client.blueprint.JAXRSBPNamespaceHandler.decorate(Node, ComponentMetadata, ParserContext)",3,1,0,1
org.apache.cxf.jaxrs.client.blueprint.JAXRSBPNamespaceHandler.getBlueprintContainer(),3,1,1,1
org.apache.cxf.jaxrs.client.blueprint.JAXRSBPNamespaceHandler.setBlueprintContainer(BlueprintContainer),3,1,1,1
org.apache.cxf.jaxrs.blueprint.JAXRSBPNamespaceHandler.JAXRSBPNamespaceHandler(),2,1,2,1
org.apache.cxf.jaxrs.blueprint.JAXRSBPNamespaceHandler.getSchemaLocation(String),9,3,3,6
"org.apache.cxf.jaxrs.blueprint.JAXRSBPNamespaceHandler.parse(Element, ParserContext)",10,3,3,7
org.apache.cxf.jaxrs.blueprint.JAXRSBPNamespaceHandler.getManagedClasses(),3,1,0,1
"org.apache.cxf.jaxrs.blueprint.JAXRSBPNamespaceHandler.decorate(Node, ComponentMetadata, ParserContext)",3,1,0,1
org.apache.cxf.jaxrs.blueprint.JAXRSBPNamespaceHandler.transformElement(Element),13,2,3,9
org.apache.cxf.jaxrs.blueprint.JAXRSBPNamespaceHandler.getBlueprintContainer(),3,1,1,1
org.apache.cxf.jaxrs.blueprint.JAXRSBPNamespaceHandler.setBlueprintContainer(BlueprintContainer),3,1,1,1
org.apache.cxf.jaxrs.client.blueprint.JAXRSClientFactoryBeanDefinitionParser.JAXRSClientFactoryBeanDefinitionParser(),3,1,1,2
org.apache.cxf.jaxrs.client.blueprint.JAXRSClientFactoryBeanDefinitionParser.getFactorySuffix(),3,1,0,1
org.apache.cxf.jaxrs.client.blueprint.JAXRSClientFactoryBeanDefinitionParser.getFactoryCreateType(Element),3,1,0,2
org.apache.cxf.jaxrs.client.blueprint.JAXRSClientFactoryBeanDefinitionParser.hasBusProperty(),3,1,0,1
"org.apache.cxf.jaxrs.client.blueprint.JAXRSClientFactoryBeanDefinitionParser.mapAttribute(MutableBeanMetadata, Element, String, String, ParserContext)",10,2,5,5
"org.apache.cxf.jaxrs.client.blueprint.JAXRSClientFactoryBeanDefinitionParser.mapElement(ParserContext, MutableBeanMetadata, Element, String)",30,8,5,13
org.apache.cxf.configuration.blueprint.SimpleBPBeanDefinitionParser.SimpleBPBeanDefinitionParser(Class<?>),3,1,11,2
org.apache.cxf.configuration.blueprint.SimpleBPBeanDefinitionParser.getFactorySuffix(),3,1,1,1
org.apache.cxf.configuration.blueprint.SimpleBPBeanDefinitionParser.getFactoryCreateType(Element),3,1,1,1
"org.apache.cxf.configuration.blueprint.SimpleBPBeanDefinitionParser.getId(Element, ParserContext)",3,2,3,3
"org.apache.cxf.configuration.blueprint.SimpleBPBeanDefinitionParser.parse(Element, ParserContext)",33,7,15,20
demo.jaxrs.server.IdTokenService.getIdTokenFromForm(IdTokenContext),3,1,1,2
demo.jaxrs.server.IdTokenService.getIdToken(IdTokenContext),3,1,2,4
org.apache.cxf.sts.token.provider.DefaultConditionsProvider.getFutureTimeToLive(),3,1,1,1
org.apache.cxf.sts.token.provider.DefaultConditionsProvider.setFutureTimeToLive(long),3,1,2,1
org.apache.cxf.sts.token.provider.DefaultConditionsProvider.setLifetime(long),3,1,3,1
org.apache.cxf.sts.token.provider.DefaultConditionsProvider.getLifetime(),3,1,2,1
org.apache.cxf.sts.token.provider.DefaultConditionsProvider.setMaxLifetime(long),3,1,5,1
org.apache.cxf.sts.token.provider.DefaultConditionsProvider.getMaxLifetime(),3,1,2,1
org.apache.cxf.sts.token.provider.DefaultConditionsProvider.isAcceptClientLifetime(),3,1,1,1
org.apache.cxf.sts.token.provider.DefaultConditionsProvider.setAcceptClientLifetime(boolean),3,1,18,1
org.apache.cxf.sts.token.provider.DefaultConditionsProvider.isFailLifetimeExceedance(),3,1,2,1
org.apache.cxf.sts.token.provider.DefaultConditionsProvider.setFailLifetimeExceedance(boolean),3,1,3,1
org.apache.cxf.sts.token.provider.DefaultConditionsProvider.getConditions(TokenProviderParameters),62,10,7,27
org.apache.cxf.sts.token.provider.DefaultConditionsProvider.createAudienceRestrictions(TokenProviderParameters),34,8,2,11
org.apache.cxf.sts.token.provider.DefaultConditionsProvider.extractAddressFromParticipantsEPR(Object),3,1,2,2
org.apache.cxf.systest.jms.continuations.HelloWorldContinuationsThrottleTest.startServers(),5,1,0,2
org.apache.cxf.systest.jms.continuations.HelloWorldContinuationsThrottleTest.testThrottleContinuations(),20,1,3,18
org.apache.cxf.systest.jms.AbstractVmJMSTest.startBusAndJMS(Class<?>),5,1,10,3
