method,method,invocation counts
org.apache.tools.ant.types.AbstractFileSet.getDataTypeName(),java.lang.String.lastIndexOf(String),74
org.apache.tools.ant.types.AbstractFileSet.getDataTypeName(),java.util.Hashtable.keys(),3
org.apache.tools.ant.types.AbstractFileSet.getDataTypeName(),java.lang.Class.getName(),74
org.apache.tools.ant.types.AbstractFileSet.getDataTypeName(),java.lang.String.substring(int),74
"org.apache.tools.ant.types.AbstractFileSet.setupDirectoryScanner(FileScanner, Project)",java.lang.StringBuffer.append(Object),146
java.lang.StringBuffer.append(Object),org.apache.tools.ant.types.PatternSet.toString(),73
org.apache.tools.ant.types.PatternSet.toString(),java.lang.StringBuffer.append(Object),146
java.lang.StringBuffer.append(Object),org.apache.tools.ant.types.PatternSet$NameEntry.toString(),98
org.apache.tools.ant.types.PatternSet$NameEntry.toString(),java.lang.StringBuffer.<init>(String),98
org.apache.tools.ant.types.PatternSet$NameEntry.toString(),java.lang.StringBuffer.toString(),98
org.apache.tools.ant.types.PatternSet.toString(),java.lang.StringBuffer.append(String),219
org.apache.tools.ant.types.PatternSet.toString(),java.lang.StringBuffer.<init>(),73
org.apache.tools.ant.types.PatternSet.toString(),java.lang.StringBuffer.toString(),73
"org.apache.tools.ant.types.AbstractFileSet.setupDirectoryScanner(FileScanner, Project)",org.apache.tools.ant.DirectoryScanner.addDefaultExcludes(),73
org.apache.tools.ant.DirectoryScanner.addDefaultExcludes(),"java.lang.String.replace(char, char)",2044
org.apache.tools.ant.DirectoryScanner.addDefaultExcludes(),org.apache.tools.ant.DirectoryScanner.getDefaultExcludes(),73
org.apache.tools.ant.DirectoryScanner.getDefaultExcludes(),java.util.Vector.toArray(Object[]),73
org.apache.tools.ant.DirectoryScanner.addDefaultExcludes(),"java.lang.System.arraycopy(Object, int, Object, int, int)",15
"org.apache.tools.ant.types.AbstractFileSet.setupDirectoryScanner(FileScanner, Project)",org.apache.tools.ant.types.PatternSet.getExcludePatterns(Project),73
org.apache.tools.ant.types.PatternSet.getExcludePatterns(Project),"org.apache.tools.ant.types.PatternSet.makeArray(Vector, Project)",73
"org.apache.tools.ant.types.PatternSet.makeArray(Vector, Project)",java.util.Vector.<init>(),87
