method,layer,size,upperDepth,upperWidth,lowerDepth,lowerWidth
org.apache.ivy.ant.IvyConfigure.getSettingsId(),18,2,0,0,1,1
org.apache.ivy.core.cache.DefaultRepositoryCacheManager.getRepositoryCacheRoot(),8,86,8,14,7,6
org.apache.ivy.plugins.version.Match.getPatternMatcher(ModuleRevisionId),18,153,3,2,11,44
org.apache.ivy.core.publish.PublishOptions.setStatus(String),0,384,11,65,0,0
org.apache.ivy.plugins.resolver.URLResolver.URLResolver(),18,2,0,0,1,1
"org.apache.ivy.plugins.resolver.RepositoryResolver.download(Artifact[], DownloadOptions)",11,175,4,6,12,41
org.apache.ivy.util.url.HttpClientHandler.useAuthentication(URL),4,31,6,9,3,1
org.apache.ivy.core.report.MetadataArtifactDownloadReport.isSearched(),0,308,15,79,0,0
org.apache.ivy.core.module.descriptor.DefaultDependencyDescriptor.getDependencyArtifacts(String),18,3,1,1,1,1
org.apache.ivy.ant.IvyPostResolveTask.getResolvedReport(),14,235,11,60,2,4
org.apache.ivy.core.settings.IvySettings.loadProperties(URL),18,2,0,0,1,1
org.apache.ivy.core.settings.IvySettings.setDictatorResolver(DependencyResolver),-1,1,0,0,0,0
org.apache.ivy.plugins.resolver.BasicResolver.listOrganisations(),1,57,8,16,1,2
org.apache.ivy.plugins.conflict.LatestConflictManager.IvyNodeArtifactInfo.IvyNodeArtifactInfo(IvyNode),18,2,1,1,0,0
org.apache.ivy.plugins.latest.LatestRevisionStrategy.addConfiguredSpecialMeaning(SpecialMeaning),18,6,0,0,2,4
org.apache.ivy.core.retrieve.RetrieveOptions.getDestIvyPattern(),4,237,12,50,0,0
org.apache.ivy.core.settings.IvyVariableContainer.setEnvironmentPrefix(String),0,16,5,5,0,0
org.apache.ivy.plugins.resolver.ChainResolver.ResolvedModuleRevisionArtifactInfo.getLastModified(),18,3,0,0,2,1
org.apache.ivy.plugins.repository.file.FileResource.getName(),18,2,1,1,0,0
"org.apache.ivy.ant.IvyBuildList.processFilterNodeFromLeaf(ModuleDescriptor, Set, Map)",18,19,5,5,1,6
org.apache.ivy.core.settings.IvySettings.getDefaultResolver(),6,42,5,12,0,0
org.apache.ivy.util.cli.CommandLineParser.parse(String[]),18,563,13,143,3,4
org.apache.ivy.plugins.resolver.packager.BuiltFileResource.getLastModified(),-1,1,0,0,0,0
org.apache.ivy.ant.IvyAntSettings.format(String),0,7,1,6,0,0
